cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
8,cluster-territoire-chat,PILIER,territoire-enrichissement-chat,,"Territoire, enrichissement et jeu : le guide du chat bien dans son espace",Territoire et enrichissement du chat | Gus & Frost,"Verticalité, arbre à chat, cachettes, jouets, jeu interactif, alimentation-jeu, odeurs, petit logement, accès extérieur sécurisé : la carte complète du matériel qui structure son territoire.","Le bien-être d'un chat ne se décrète pas, il s'aménage. Voici la carte du matériel et des aménagements qui font son territoire.","cluster-territoire-chat, territoire-chat, enrichissement-chat",articles/cluster-8-territoire-chat/territoire-enrichissement-chat.html,PROMPTS-IMAGES_CH8_territoire-chat.md,26,3
8,cluster-territoire-chat,SAT11,acces-exterieur-securise-catio-chat,territoire-enrichissement-chat,"L'accès extérieur sécurisé : catio, balcon, jardin clos et harnais",Accès extérieur sécurisé du chat : le catio | Gus & Frost,"Catio, balcon protégé par un filet, jardin rendu inévadable, promenade en harnais et identification : les dispositifs qui offrent le dehors à votre chat sans le livrer aux dangers de la rue.","Entre le chat enfermé et le chat livré à la rue, il existe tout un éventail. Voici les dispositifs qui sécurisent le dehors.","cluster-territoire-chat, catio-chat, chat-exterieur",articles/cluster-8-territoire-chat/acces-exterieur-securise-catio-chat.html,PROMPTS-IMAGES_CH8_territoire-chat.md,5,2
8,cluster-territoire-chat,SAT07,alimentation-jeu-distributeurs-chat,territoire-enrichissement-chat,L'alimentation-jeu et les distributeurs : transformer le repas en chasse,Alimentation-jeu et distributeurs pour chat | Gus & Frost,"Distributeurs mobiles à faire rouler, puzzles fixes à fouiller, cache-croquettes fait maison : comment démarrer facile, prélever sur la ration habituelle et ce que les vétérinaires observent.",Votre chat engloutit sa gamelle en trois minutes. Voici comment lui rendre la part de chasse que le repas lui a prise.,"cluster-territoire-chat, alimentation-jeu-chat, distributeur-croquettes",articles/cluster-8-territoire-chat/alimentation-jeu-distributeurs-chat.html,PROMPTS-IMAGES_CH8_territoire-chat.md,6,2
8,cluster-territoire-chat,SAT10,amenager-petit-appartement-chat,territoire-enrichissement-chat,Aménager un petit appartement pour un chat,Aménager un petit appartement pour un chat | Gus & Frost,"Compenser la surface par la verticalité, répartir les ressources sur peu de mètres carrés, créer des zones et des parcours, exploiter la fenêtre : le studio regardé avec des yeux de chat.",Un studio bien pensé vaut mieux qu'un grand logement vide. Voici comment aménager peu de mètres carrés pour votre chat.,"cluster-territoire-chat, petit-appartement-chat, amenagement-chat",articles/cluster-8-territoire-chat/amenager-petit-appartement-chat.html,PROMPTS-IMAGES_CH8_territoire-chat.md,6,2
8,cluster-territoire-chat,SAT04,cachettes-postes-observation-chat,territoire-enrichissement-chat,Cachettes et postes d'observation : se cacher et guetter,Cachettes et postes d'observation du chat | Gus & Frost,"Refuge et affût sont les deux faces d'un même besoin. Cachettes basses et closes, refuges en hauteur, fenêtre aménagée, cachettes de récup : ce que la recherche observe et comment les installer.","Un chat a besoin de disparaître autant que de tout surveiller. Voici comment lui offrir les deux, souvent pour presque rien.","cluster-territoire-chat, cachette-chat, poste-observation-chat",articles/cluster-8-territoire-chat/cachettes-postes-observation-chat.html,PROMPTS-IMAGES_CH8_territoire-chat.md,7,2
8,cluster-territoire-chat,SAT03,choisir-arbre-a-chat,territoire-enrichissement-chat,Choisir et placer un arbre à chat : ce qui fait vraiment la différence,Bien choisir et placer un arbre à chat | Gus & Frost,"La stabilité avant tout, la hauteur, la largeur des plateformes, le griffoir intégré, l'emplacement près d'une fenêtre : les critères qui décident si votre chat adoptera son arbre ou l'ignorera.",Un arbre à chat déserté n'est presque jamais un caprice. Voici les critères de choix et de placement qui changent tout.,"cluster-territoire-chat, arbre-a-chat, amenagement-chat",articles/cluster-8-territoire-chat/choisir-arbre-a-chat.html,PROMPTS-IMAGES_CH8_territoire-chat.md,7,2
8,cluster-territoire-chat,SAT05,choisir-jouets-chat,territoire-enrichissement-chat,"Bien choisir les jouets de son chat : familles, style de chasse et sécurité",Comment bien choisir les jouets de son chat | Gus & Frost,"Les grandes familles de jouets, le style de chasse propre à chaque chat, la rotation qui entretient la curiosité, et les pièges à écarter : ficelles, élastiques et petites pièces avalables.","Ce n'est pas le nombre de jouets qui compte, mais leur adéquation. Voici comment choisir, faire tourner et sécuriser les siens.","cluster-territoire-chat, jouets-chat, jeu-chat",articles/cluster-8-territoire-chat/choisir-jouets-chat.html,PROMPTS-IMAGES_CH8_territoire-chat.md,7,2
8,cluster-territoire-chat,SAT09,enrichir-sans-se-ruiner-chat,territoire-enrichissement-chat,Enrichir le territoire de son chat avec de la récup et un petit budget,Enrichir le territoire du chat sans se ruiner | Gus & Frost,"Carton, papier, rouleaux et bouchons : parcours, cachettes, postes de guet, cache-croquettes maison et rotation des jouets, avec les précautions qu'impose le matériel de récupération.",Un carton de livraison vaut parfois mieux qu'un achat. Voici comment enrichir son territoire avec ce que vous avez déjà.,"cluster-territoire-chat, enrichissement-chat, materiel-recup-chat",articles/cluster-8-territoire-chat/enrichir-sans-se-ruiner-chat.html,PROMPTS-IMAGES_CH8_territoire-chat.md,7,2
8,cluster-territoire-chat,SAT08,enrichissement-olfactif-chat,territoire-enrichissement-chat,"L'enrichissement olfactif : herbe à chat, cataire et matatabi",Enrichissement olfactif : cataire et matatabi | Gus & Frost,"L'herbe à chat n'est pas la cataire : deux plantes, deux usages. Cataire, matatabi, valériane, chèvrefeuille, odeurs à explorer, et les plantes d'intérieur toxiques à connaître chez soi.","L'odorat est le sens que nos intérieurs sollicitent le moins. Voici comment l'éveiller, et ce que la cataire fait vraiment.","cluster-territoire-chat, cataire-chat, herbe-a-chat",articles/cluster-8-territoire-chat/enrichissement-olfactif-chat.html,PROMPTS-IMAGES_CH8_territoire-chat.md,6,2
8,cluster-territoire-chat,SAT12,erreurs-idees-recues-territoire-chat,territoire-enrichissement-chat,Territoire et matériel du chat : les idées reçues les plus tenaces,Idées reçues sur le territoire du chat | Gus & Frost,"L'arbre à chat ignoré, les jouets qui traînent, l'idée qu'un chat n'a besoin de rien, la course aux mètres carrés, la liberté extérieure et la cataire : six croyances passées au crible.",Certaines évidences sur le chat partent d'une vraie observation mais en tirent la mauvaise conclusion. Voici la mise au point.,"cluster-territoire-chat, idees-recues-chat, territoire-chat",articles/cluster-8-territoire-chat/erreurs-idees-recues-territoire-chat.html,PROMPTS-IMAGES_CH8_territoire-chat.md,7,2
8,cluster-territoire-chat,SAT06,jeu-interactif-canne-chat,territoire-enrichissement-chat,Le jeu interactif : la canne à plumes et l'art de mimer la proie,Le jeu interactif : la canne à plumes | Gus & Frost,"Animer le leurre comme une proie, dérouler la séquence de traque, guet, bond et capture, laisser le chat gagner, bien conclure la séance, puis ranger la canne : le geste autant que l'objet.",La canne ne fait rien toute seule : c'est votre main qui lui donne vie. Voici comment mener une vraie séquence de chasse.,"cluster-territoire-chat, jeu-interactif-chat, canne-a-peche-chat",articles/cluster-8-territoire-chat/jeu-interactif-canne-chat.html,PROMPTS-IMAGES_CH8_territoire-chat.md,9,2
8,cluster-territoire-chat,SAT01,territoire-du-chat-domaine-vital,territoire-enrichissement-chat,"Comprendre le territoire du chat : domaine vital, zones et repères",Le territoire du chat et son domaine vital | Gus & Frost,"Domaine vital, zones de repos, d'alimentation et d'élimination, carte mentale, marquage, verticalité : comment le chat découpe et mémorise son espace, et ce que cela change chez vous.","Votre chat ne traverse jamais une pièce au hasard. Voici comment il découpe, mémorise et signe son territoire, zone par zone.","cluster-territoire-chat, territoire-chat, domaine-vital-chat",articles/cluster-8-territoire-chat/territoire-du-chat-domaine-vital.html,PROMPTS-IMAGES_CH8_territoire-chat.md,7,2
8,cluster-territoire-chat,SAT02,verticalite-hauteur-chat,territoire-enrichissement-chat,Le besoin de hauteur : pourquoi votre chat vit en trois dimensions,Verticalité : le besoin de hauteur du chat | Gus & Frost,"Observer, se sentir en sécurité, multiplier l'espace utile, apaiser les tensions à plusieurs chats : ce que la hauteur apporte, et comment en créer sans rien acheter et sans danger.",Votre chat lève la tête là où vous voyez un sol. Voici ce que la hauteur lui apporte et comment lui en offrir sans dépenser.,"cluster-territoire-chat, verticalite-chat, perchoir-chat",articles/cluster-8-territoire-chat/verticalite-hauteur-chat.html,PROMPTS-IMAGES_CH8_territoire-chat.md,6,2
