cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
5,cluster-repas-chat,PILIER,alimentation-chat-adulte,,Bien nourrir son chat : le guide de l'alimentation du chat adulte,Bien nourrir son chat adulte : le guide | Gus & Frost,"Carnivore strict, humide et sec, eau, rythme des repas, quantité, poids, aliments interdits : les repères pour nourrir un chat adulte, et les signes qui doivent mener chez le vétérinaire.","Nourrir son chat soulève les mêmes questions à chaque gamelle. Voici les repères solides, sans tableau parfait à recopier.","cluster-repas-chat, alimentation-chat, nourrir-son-chat",articles/cluster-5-repas-chat/alimentation-chat-adulte.html,PROMPTS-IMAGES_CH5_repas-chat.md,16,3
5,cluster-repas-chat,SAT10,aliments-dangereux-toxiques-chat,alimentation-chat-adulte,Les aliments dangereux et toxiques pour le chat,Aliments toxiques pour le chat : la liste | Gus & Frost,"Oignon, ail, poireau, chocolat, café, alcool, pâte à pain crue, raisin, os cuits, lait de vache : pourquoi ces aliments sont dangereux, et le réflexe en cas d'ingestion, appeler sans attendre.",Un morceau tombé de l'assiette peut être dangereux. Voici les aliments à tenir hors de portée et le réflexe en cas de doute.,"cluster-repas-chat, aliments-toxiques-chat, danger-alimentaire",articles/cluster-5-repas-chat/aliments-dangereux-toxiques-chat.html,PROMPTS-IMAGES_CH5_repas-chat.md,3,2
5,cluster-repas-chat,SAT01,besoins-nutritionnels-chat-carnivore,alimentation-chat-adulte,"Les besoins nutritionnels du chat, ce carnivore strict",Besoins nutritionnels du chat carnivore | Gus & Frost,"Protéines, taurine, acides gras, vitamine A, niacine : ce que l'organisme du chat ne sait pas fabriquer, pourquoi on ne le nourrit pas comme un chien, et ce que couvre un aliment complet.","Votre chat n'est pas un petit chien. Voici ce que réclame son organisme de carnivore strict, nutriment par nutriment.","cluster-repas-chat, carnivore-strict, taurine-chat",articles/cluster-5-repas-chat/besoins-nutritionnels-chat-carnivore.html,PROMPTS-IMAGES_CH5_repas-chat.md,4,2
5,cluster-repas-chat,SAT11,changer-alimentation-transition-chat,alimentation-chat-adulte,Changer d'alimentation en douceur : la transition,Transition alimentaire du chat en douceur | Gus & Frost,"Mêler l'ancien et le nouvel aliment sur plusieurs jours pour ménager la digestion et la méfiance du chat devant la nouveauté. Reconnaître une transition qui se passe bien, et quand consulter.",Changer d'aliment du jour au lendemain se passe rarement bien. Voici comment conduire une transition tout en douceur.,"cluster-repas-chat, transition-alimentaire, changer-croquettes",articles/cluster-5-repas-chat/changer-alimentation-transition-chat.html,PROMPTS-IMAGES_CH5_repas-chat.md,5,2
5,cluster-repas-chat,SAT08,chat-difficile-neophobie-alimentaire,alimentation-chat-adulte,Le chat difficile et la néophobie alimentaire,Chat difficile : la néophobie alimentaire | Gus & Frost,"Préférences formées tôt, méfiance devant la nouveauté, sensibilité à la texture et à l'odeur : comprendre un chat sélectif, l'accompagner sans forcer, et distinguer difficile de ne plus manger.",Un chat difficile n'est pas un chat capricieux. Voici ce qui explique sa sélectivité et comment l'accompagner sans forcer.,"cluster-repas-chat, chat-difficile, neophobie-alimentaire",articles/cluster-5-repas-chat/chat-difficile-neophobie-alimentaire.html,PROMPTS-IMAGES_CH5_repas-chat.md,5,2
5,cluster-repas-chat,SAT06,choisir-aliment-lire-etiquette-chat,alimentation-chat-adulte,Choisir un bon aliment pour chat et lire une étiquette,Choisir un aliment pour chat : lire l'étiquette | Gus & Frost,"La mention « aliment complet », l'adaptation à l'âge, la liste d'ingrédients, les constituants analytiques et la taurine : lire une étiquette et garder la tête froide devant les allégations.","Devant le rayon, tous les paquets promettent le meilleur. Voici les mentions qui comptent vraiment sur une étiquette.","cluster-repas-chat, etiquette-aliment-chat, choisir-croquettes",articles/cluster-5-repas-chat/choisir-aliment-lire-etiquette-chat.html,PROMPTS-IMAGES_CH5_repas-chat.md,4,2
5,cluster-repas-chat,SAT02,croquettes-ou-patee-humide-sec-chat,alimentation-chat-adulte,"Croquettes ou pâtée : le débat humide contre sec, en nuances",Croquettes ou pâtée : que choisir pour son chat | Gus & Frost,"L'apport en eau de l'humide, la praticité et les limites du sec, la promesse dentaire à nuancer, la combinaison des deux : de quoi choisir selon votre chat plutôt que selon les avis tranchés.","Aucune forme ne gagne pour tous les chats. Voici les atouts et les limites de chacune, et pourquoi les combiner est légitime.","cluster-repas-chat, croquettes-chat, patee-chat",articles/cluster-5-repas-chat/croquettes-ou-patee-humide-sec-chat.html,PROMPTS-IMAGES_CH5_repas-chat.md,6,2
5,cluster-repas-chat,SAT12,erreurs-idees-recues-alimentation-chat,alimentation-chat-adulte,Erreurs et idées reçues sur l'alimentation du chat,Idées reçues sur l'alimentation du chat | Gus & Frost,"Le bol de lait, les restes de table, le sans céréales, le tout cru, le chat qui saurait s'arrêter seul : cinq croyances tenaces passées au crible, sans moquerie, et ce qu'elles coûtent au chat.","Certains gestes se transmettent sans qu'on les questionne. Voici cinq idées reçues sur l'alimentation du chat, au crible.","cluster-repas-chat, idees-recues-chat, erreurs-alimentation",articles/cluster-5-repas-chat/erreurs-idees-recues-alimentation-chat.html,PROMPTS-IMAGES_CH5_repas-chat.md,5,2
5,cluster-repas-chat,SAT04,frequence-rythme-repas-chat,alimentation-chat-adulte,À quelle fréquence nourrir un chat,À quelle fréquence nourrir son chat par jour | Gus & Frost,"Le chat est un grignoteur fait pour de nombreux petits repas. Fractionner, raisonner le libre-service, distribuer par le jeu, et repérer quand le rythme des repas devient un signal à surveiller.",Deux repas par jour ne collent pas au rythme du chat. Voici comment organiser ses repas selon sa nature de grignoteur.,"cluster-repas-chat, rythme-repas-chat, repas-chat",articles/cluster-5-repas-chat/frequence-rythme-repas-chat.html,PROMPTS-IMAGES_CH5_repas-chat.md,5,2
5,cluster-repas-chat,SAT09,friandises-extras-chat,alimentation-chat-adulte,"Les friandises et les extras, avec mesure",Friandises pour chat : les donner avec mesure | Gus & Frost,"Les friandises récompensent et créent du lien, à condition de les compter dans les apports du jour et de les retirer de la ration. Quels extras donner en confiance, lesquels écarter, et pourquoi.",Donner une friandise n'a rien d'une faute. Voici comment doser les extras sans déséquilibrer les repas de votre chat.,"cluster-repas-chat, friandises-chat, recompense-chat",articles/cluster-5-repas-chat/friandises-extras-chat.html,PROMPTS-IMAGES_CH5_repas-chat.md,4,2
5,cluster-repas-chat,SAT03,hydratation-eau-chat,alimentation-chat-adulte,L'eau et l'hydratation du chat,L'hydratation du chat : l'aider à boire | Gus & Frost,"Le chat boit peu, héritage d'un prédateur des milieux secs. Points d'eau multiples et éloignés de la gamelle, part d'aliment humide, fontaine, et la soif qui change et doit vous faire consulter.","Votre chat boit peu, et c'est dans sa nature. Voici comment l'aider à s'hydrater et ce qui doit vous alerter.","cluster-repas-chat, hydratation-chat, eau-chat",articles/cluster-5-repas-chat/hydratation-eau-chat.html,PROMPTS-IMAGES_CH5_repas-chat.md,5,2
5,cluster-repas-chat,SAT05,quelle-quantite-nourrir-chat,alimentation-chat-adulte,Quelle quantité donner à son chat,Quelle quantité de nourriture donner au chat | Gus & Frost,"Aucune quantité ne vaut pour tous les chats. Les indications du paquet comme point de départ, la note d'état corporel, l'effet de la stérilisation, et la ration qui se cale avec le vétérinaire.","Vous cherchez un chiffre, et il n'en existe pas. Voici les repères concrets pour ajuster la ration de votre chat.","cluster-repas-chat, ration-chat, quantite-nourriture-chat",articles/cluster-5-repas-chat/quelle-quantite-nourrir-chat.html,PROMPTS-IMAGES_CH5_repas-chat.md,4,2
5,cluster-repas-chat,SAT07,surpoids-obesite-chat,alimentation-chat-adulte,Le surpoids et l'obésité du chat,"Surpoids et obésité du chat : repérer, prévenir | Gus & Frost","Palper les côtes, suivre la note d'état corporel, ajuster la ration, entretenir le mouvement : repérer tôt le surpoids, et pourquoi un amaigrissement se conduit toujours avec le vétérinaire.",Le surpoids du chat est fréquent et n'a rien d'une fatalité. Voici comment le repérer tôt et le prévenir au quotidien.,"cluster-repas-chat, surpoids-chat, obesite-chat",articles/cluster-5-repas-chat/surpoids-obesite-chat.html,PROMPTS-IMAGES_CH5_repas-chat.md,5,2
