cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
10,cluster-transitions,PILIER,chien-changements-de-vie,,Accompagner son chien dans les grands changements de vie,Chien et changements de vie : bien l'accompagner | Gus & Frost,"Déménagement, bébé, nouvel animal, adoption, deuil : votre chien traverse un grand changement. Voici comment l'anticiper, lui offrir des repères et l'accompagner en douceur.","Un grand changement bouscule autant le chien que nous. Voici les principes qui traversent chaque transition — anticiper, rassurer, avancer à son rythme — et où trouver l'aide adaptée.","cluster-transitions, changements-de-vie-chien, transitions-chien",articles/cluster-10-transitions/chien-changements-de-vie.html,PROMPTS-IMAGES_C10_transitions.md,23,3
10,cluster-transitions,SAT05,chien-bebe-cohabitation-securite,chien-changements-de-vie,Chien et bébé : une cohabitation en toute sécurité,Chien et bébé : une cohabitation en sécurité | Gus & Frost,"Chien et bébé sous le même toit demandent des règles claires. Découvrez comment superviser, lire les signaux de votre chien et poser un cadre sûr, jamais laissés seuls.","La sécurité d'abord, toujours : un chien et un bébé ne restent jamais seuls ensemble. Voici comment organiser une cohabitation sereine et lire votre chien au quotidien.","cluster-transitions, chien-bebe-securite, cohabitation-chien-enfant",articles/cluster-10-transitions/chien-bebe-cohabitation-securite.html,PROMPTS-IMAGES_C10_transitions.md,10,2
10,cluster-transitions,SAT10,chien-changement-de-rythme,chien-changements-de-vie,"Nouveau travail, nouvelle organisation : adapter le rythme de son chien",Changement de rythme : adapter son chien | Gus & Frost,"Nouveau travail, nouvelle organisation : votre emploi du temps change, celui du chien aussi. Découvrez comment adapter son rythme en douceur et préserver ses repères.","Quand votre emploi du temps bascule, celui de votre chien suit. Voici comment amortir un changement de rythme sans le déstabiliser ni creuser sa solitude.","cluster-transitions, changement-rythme-chien, routine-chien",articles/cluster-10-transitions/chien-changement-de-rythme.html,PROMPTS-IMAGES_C10_transitions.md,9,2
10,cluster-transitions,SAT11,chien-deuil-perte-compagnon,chien-changements-de-vie,Quand un chien perd un compagnon : l'accompagner dans le deuil,Quand un chien perd un compagnon : le deuil | Gus & Frost,Un chien peut être affecté par la perte d'un autre animal ou d'un humain du foyer. Découvrez comment reconnaître son mal-être et l'accompagner avec délicatesse.,"Les chiens aussi ressentent l'absence. Voici comment reconnaître le mal-être d'un chien qui perd un compagnon et l'entourer, sans forcer ni précipiter les choses.","cluster-transitions, chien-deuil, perte-compagnon-chien",articles/cluster-10-transitions/chien-deuil-perte-compagnon.html,PROMPTS-IMAGES_C10_transitions.md,5,2
10,cluster-transitions,SAT03,chien-nouveau-logement-adaptation,chien-changements-de-vie,Aider son chien à s'adapter à un nouveau logement,Chien et nouveau logement : réussir l'adaptation | Gus & Frost,"Une fois installé, votre chien doit retrouver ses repères. Découvrez comment reconstruire une routine, aménager son espace et prévenir l'anxiété dans un nouveau logement.","Un nouveau logement, ce sont des odeurs, des sons et des repères à réinventer. Voici comment aider votre chien à s'y sentir chez lui, pas à pas.","cluster-transitions, nouveau-logement-chien, adaptation-chien",articles/cluster-10-transitions/chien-nouveau-logement-adaptation.html,PROMPTS-IMAGES_C10_transitions.md,8,2
10,cluster-transitions,SAT01,chien-stress-changement-signes,chien-changements-de-vie,Reconnaître le stress d'un chien face au changement,Stress du chien face au changement : les signes | Gus & Frost,Un changement dans sa vie peut stresser un chien sans qu'on le remarque. Apprenez à repérer les signes du mal-être pour l'accompagner avant que la situation s'installe.,"Un chien déstabilisé ne le dit pas toujours clairement. Voici les signes qui montrent qu'un changement pèse sur lui, et comment y répondre avec justesse.","cluster-transitions, stress-chien-changement, signes-mal-etre-chien",articles/cluster-10-transitions/chien-stress-changement-signes.html,PROMPTS-IMAGES_C10_transitions.md,7,2
10,cluster-transitions,SAT07,cohabitation-premiers-jours-nouvel-animal,chien-changements-de-vie,Deux animaux à la maison : réussir les premiers jours,Deux animaux à la maison : les premiers jours | Gus & Frost,"Après la rencontre vient la vie commune. Découvrez comment gérer espaces séparés, ressources et repas des premiers jours pour installer une cohabitation apaisée.","Les premiers jours à plusieurs se gèrent avec des espaces, des ressources et du temps. Voici comment installer une cohabitation sereine sans forcer les choses.","cluster-transitions, cohabitation-animaux, plusieurs-animaux-maison",articles/cluster-10-transitions/cohabitation-premiers-jours-nouvel-animal.html,PROMPTS-IMAGES_C10_transitions.md,7,2
10,cluster-transitions,SAT02,demenagement-avec-chien,chien-changements-de-vie,Déménager avec son chien : préparer et gérer le jour J,Déménager avec son chien : préparer le jour J | Gus & Frost,"Cartons, transport, agitation : un déménagement bouscule le chien. Découvrez comment le préparer en amont et sécuriser le jour du déménagement pour limiter son stress.","Un déménagement se prépare bien avant les cartons. Voici comment anticiper le grand jour et le vivre sereinement, du premier carton à la première nuit.","cluster-transitions, demenagement-chien, transport-chien",articles/cluster-10-transitions/demenagement-avec-chien.html,PROMPTS-IMAGES_C10_transitions.md,7,2
10,cluster-transitions,SAT12,perdre-son-chien-accompagner-deuil,chien-changements-de-vie,Perdre son chien : traverser le deuil de son compagnon,Perdre son chien : traverser le deuil | Gus & Frost,"Perdre son chien laisse un vide immense. Ce texte accompagne avec pudeur ce deuil, sans injonction, et rappelle qu'aucune façon de vivre cette peine n'est la mauvaise.","Perdre son chien, c'est perdre un membre de la famille. Voici quelques mots pour traverser ce deuil à votre manière, sans injonction ni étape imposée.","cluster-transitions, perdre-son-chien, deuil-animal",articles/cluster-10-transitions/perdre-son-chien-accompagner-deuil.html,PROMPTS-IMAGES_C10_transitions.md,3,2
10,cluster-transitions,SAT09,premiers-jours-chien-adopte,chien-changements-de-vie,Les premiers jours d'un chien de refuge : la décompression,Chien de refuge : les premiers jours à la maison | Gus & Frost,"Un chien adopté a besoin de temps pour décompresser. Découvrez comment aborder les premiers jours, poser des repères et le laisser se révéler à son rythme, sans le brusquer.",Un chien qui arrive de refuge a d'abord besoin de souffler. Voici comment traverser les premiers jours en le laissant décompresser et se révéler à son rythme.,"cluster-transitions, premiers-jours-chien-adopte, adaptation-chien-refuge",articles/cluster-10-transitions/premiers-jours-chien-adopte.html,PROMPTS-IMAGES_C10_transitions.md,10,2
10,cluster-transitions,SAT08,preparer-arrivee-chien-adopte,chien-changements-de-vie,Préparer l'arrivée d'un chien adopté à la maison,Préparer l'arrivée d'un chien adopté | Gus & Frost,"Accueillir un chien de refuge se prépare. Découvrez comment aménager la maison, choisir le matériel et aborder cette arrivée sans attentes, pour un accueil rassurant.","Accueillir un chien adopté commence avant son arrivée. Voici comment préparer la maison, le matériel et surtout votre état d'esprit pour un accueil tout en douceur.","cluster-transitions, preparer-adoption-chien, chien-adopte",articles/cluster-10-transitions/preparer-arrivee-chien-adopte.html,PROMPTS-IMAGES_C10_transitions.md,6,2
10,cluster-transitions,SAT04,preparer-chien-arrivee-bebe,chien-changements-de-vie,Préparer son chien à l'arrivée d'un bébé,Préparer son chien à l'arrivée d'un bébé | Gus & Frost,"L'arrivée d'un bébé change tout pour le chien. Découvrez comment l'y préparer avant la naissance : nouvelles odeurs, sons, espace et rythme, pour une rencontre apaisée.",Préparer son chien avant la naissance change tout le jour venu. Voici comment l'habituer en douceur aux nouveautés qui accompagnent l'arrivée d'un bébé.,"cluster-transitions, chien-arrivee-bebe, preparer-chien-bebe",articles/cluster-10-transitions/preparer-chien-arrivee-bebe.html,PROMPTS-IMAGES_C10_transitions.md,6,2
10,cluster-transitions,SAT06,presenter-nouvel-animal-chien,chien-changements-de-vie,Présenter un nouvel animal à son chien,Présenter un nouvel animal à son chien | Gus & Frost,"La première rencontre pose les bases de la cohabitation. Découvrez comment présenter un nouvel animal à votre chien sur terrain neutre, à distance et sans précipiter.",Une bonne première rencontre se joue sur le terrain et la distance. Voici comment présenter un nouvel animal à votre chien pour partir du bon pied.,"cluster-transitions, presenter-nouvel-animal, rencontre-chien-animal",articles/cluster-10-transitions/presenter-nouvel-animal-chien.html,PROMPTS-IMAGES_C10_transitions.md,8,2
