cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
4,cluster-interieur-chat,PILIER,chat-interieur-ennui-solitude,,"Le chat d'intérieur : ennui, solitude et absence","Chat d'intérieur : ennui, solitude, absence | Gus & Frost","Le mythe du chat solitaire, l'attachement, les signes d'ennui, la juste stimulation entre manque et trop-plein, les absences : la carte complète de la vie du chat qui ne sort pas.","Votre chat s'ennuie-t-il pendant que vous travaillez ? Voici ce qui se joue vraiment dans ses journées, et par où commencer.","cluster-interieur-chat, chat-interieur, ennui-chat",articles/cluster-4-interieur-chat/chat-interieur-ennui-solitude.html,PROMPTS-IMAGES_CH4_interieur-chat.md,23,3
4,cluster-interieur-chat,SAT02,besoins-chat-interieur,chat-interieur-ennui-solitude,Les besoins spécifiques d'un chat d'intérieur,Les besoins spécifiques du chat d'intérieur | Gus & Frost,"Hauteur, chasse, exploration et odeurs, contrôle du territoire, interactions prévisibles : ce que le chat qui sort règle seul dehors et que le logement doit désormais offrir au chat d'intérieur.","Un chat d'intérieur dépend entièrement de ce que son logement lui propose. Voici les besoins à recréer chez vous, un par un.","cluster-interieur-chat, chat-interieur, besoins-chat",articles/cluster-4-interieur-chat/besoins-chat-interieur.html,PROMPTS-IMAGES_CH4_interieur-chat.md,7,2
4,cluster-interieur-chat,SAT05,chat-anxiete-separation,chat-interieur-ennui-solitude,Le chat souffre-t-il de l'absence ?,Le chat souffre-t-il de nos absences ? | Gus & Frost,"Le chat s'attache, mais ne vit pas nos départs comme un chien anxieux. Ce que l'on sait de son vécu, les signes à faire examiner d'abord, et quand consulter un vétérinaire comportementaliste.","Ni indifférent, ni angoissé comme un chien. Voici ce que l'on sait du chat face à l'absence, et ce qui doit vous alerter.","cluster-interieur-chat, anxiete-separation-chat, absence-chat",articles/cluster-4-interieur-chat/chat-anxiete-separation.html,PROMPTS-IMAGES_CH4_interieur-chat.md,5,2
4,cluster-interieur-chat,SAT06,chat-hyper-attachement,chat-interieur-ennui-solitude,L'hyper-attachement et la dépendance affective du chat,Chat pot de colle : l'hyper-attachement | Gus & Frost,"Distinguer un chat très sociable d'un chat en réelle détresse, écarter une cause médicale devant un collage soudain, et accompagner vers plus d'autonomie sans jamais ignorer ni brusquer le chat.",Votre chat ne vous lâche pas d'une semelle. Voici comment lire ce besoin de présence et l'aider à gagner en autonomie.,"cluster-interieur-chat, hyper-attachement-chat, autonomie-chat",articles/cluster-4-interieur-chat/chat-hyper-attachement.html,PROMPTS-IMAGES_CH4_interieur-chat.md,5,2
4,cluster-interieur-chat,SAT11,enrichir-quotidien-chat-interieur,chat-interieur-ennui-solitude,Enrichir le quotidien de son chat sans se ruiner,Enrichir le quotidien du chat sans se ruiner | Gus & Frost,"Carton et sac en papier, rotation des jouets, croquettes à chercher, points d'observation, olfaction et griffage : des idées d'enrichissement peu coûteuses, avec les règles de sécurité.","Occuper un chat coûte moins cher qu'on ne le croit. Voici des idées simples, à mettre en place avec ce que vous avez déjà.","cluster-interieur-chat, enrichissement-chat, chat-interieur",articles/cluster-4-interieur-chat/enrichir-quotidien-chat-interieur.html,PROMPTS-IMAGES_CH4_interieur-chat.md,7,2
4,cluster-interieur-chat,SAT12,erreurs-idees-recues-chat-interieur,chat-interieur-ennui-solitude,Erreurs et idées reçues sur le chat d'intérieur,Chat d'intérieur : 5 idées reçues à corriger | Gus & Frost,"Le chat qui se suffit à lui-même, celui qui ne s'ennuie jamais, le deuxième chat qui réglerait tout, la sortie présentée comme seule issue, la punition : cinq croyances reprises sans jugement.",Ces phrases entendues partout partent d'une bonne intention. Voici ce qu'elles cachent du besoin réel de votre chat.,"cluster-interieur-chat, idees-recues-chat, chat-interieur",articles/cluster-4-interieur-chat/erreurs-idees-recues-chat-interieur.html,PROMPTS-IMAGES_CH4_interieur-chat.md,7,2
4,cluster-interieur-chat,SAT04,gerer-absences-chat,chat-interieur-ennui-solitude,Gérer les absences : partir et revenir sans dramatiser,Gérer les absences de son chat au quotidien | Gus & Frost,"Pourquoi la plupart des chats traversent bien une journée seuls, comment préparer l'espace, partir et revenir sobrement, et pourquoi la mise en scène du départ pèse plus que l'absence elle-même.","Partir sans culpabiliser, revenir sans en faire un drame. Voici comment traverser vos absences quotidiennes avec votre chat.","cluster-interieur-chat, absence-chat, depart-retour",articles/cluster-4-interieur-chat/gerer-absences-chat.html,PROMPTS-IMAGES_CH4_interieur-chat.md,5,2
4,cluster-interieur-chat,SAT10,longues-absences-vacances-chat,chat-interieur-ennui-solitude,"Longues absences, journées de travail et vacances",Longues absences et vacances : garder son chat | Gus & Frost,"Pet-sitter, garde à domicile, pension, départ avec le chat : pourquoi le territoire départage ces options, comment maintenir ses repères et reconnaître un chat qui vit mal l'absence.","Un week-end, une semaine, des vacances. Voici comment choisir un mode de garde qui respecte le territoire de votre chat.","cluster-interieur-chat, vacances-chat, garde-chat",articles/cluster-4-interieur-chat/longues-absences-vacances-chat.html,PROMPTS-IMAGES_CH4_interieur-chat.md,4,2
4,cluster-interieur-chat,SAT03,occuper-chat-seul-journee,chat-interieur-ennui-solitude,Occuper un chat seul dans la journée,Occuper un chat seul dans la journée | Gus & Frost,"Poste d'observation à la fenêtre, rotation des jouets, exploration olfactive, croquettes à débusquer, jeu calé sur vos départs et vos retours : de quoi peupler la journée d'un chat resté seul.",Vous partez le matin et il reste seul jusqu'au soir. Voici des idées concrètes pour que sa journée ait de quoi l'occuper.,"cluster-interieur-chat, chat-seul, occuper-chat",articles/cluster-4-interieur-chat/occuper-chat-seul-journee.html,PROMPTS-IMAGES_CH4_interieur-chat.md,6,2
4,cluster-interieur-chat,SAT01,reconnaitre-chat-qui-sennuie,chat-interieur-ennui-solitude,Reconnaître un chat qui s'ennuie : les signes qui parlent,Reconnaître un chat qui s'ennuie : les signes | Gus & Frost,"Distinguer le sommeil normal de l'apathie, lire le faisceau de signes (toilettage, sollicitations, curiosité qui s'éteint) et écarter d'abord une cause médicale avant de conclure à l'ennui.","Un chat qui dort beaucoup n'est pas un chat qui s'ennuie. Voici comment observer le vôtre sans surinterpréter, signe par signe.","cluster-interieur-chat, ennui-chat, observation-chat",articles/cluster-4-interieur-chat/reconnaitre-chat-qui-sennuie.html,PROMPTS-IMAGES_CH4_interieur-chat.md,7,2
4,cluster-interieur-chat,SAT09,routine-previsibilite-chat-interieur,chat-interieur-ennui-solitude,Routine et prévisibilité pour un chat d'intérieur,Routine et prévisibilité du chat d'intérieur | Gus & Frost,"Repas et jeu à heures régulières, repères d'espace préservés, changements introduits en douceur : comment un cadre stable aide le chat d'intérieur à se détendre et à mieux vivre vos départs.","Le monde de votre chat tient dans vos murs. Voici comment la régularité de ses journées l'apaise, sans virer à la rigidité.","cluster-interieur-chat, routine-chat, previsibilite-chat",articles/cluster-4-interieur-chat/routine-previsibilite-chat-interieur.html,PROMPTS-IMAGES_CH4_interieur-chat.md,5,2
