cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
11,cluster-senior,PILIER,chien-senior-vieillissement,,Accompagner son chien senior : bien vivre le grand âge,Chien senior : bien l'accompagner au grand âge | Gus & Frost,"Arthrose, sommeil, mémoire, sens qui faiblissent : votre chien vieillit. Voici comment adapter son quotidien pour son confort et sa qualité de vie, aux côtés de votre vétérinaire.","Le grand âge se prépare et s'accompagne. Voici les repères pour adapter le quotidien de votre chien senior — confort, mobilité, sommeil, tendresse — et où trouver l'aide vétérinaire.","cluster-senior, chien-senior, vieillissement-chien",articles/cluster-11-senior/chien-senior-vieillissement.html,PROMPTS-IMAGES_C11_senior.md,17,3
11,cluster-senior,SAT12,accompagner-fin-de-vie-chien,chien-senior-vieillissement,"Accompagner son chien en fin de vie, avec douceur",Accompagner son chien en fin de vie | Gus & Frost,"Accompagner un chien en fin de vie demande douceur et présence. Ce texte pudique aide à préserver son confort, sans se substituer aux décisions de votre vétérinaire.","La fin de vie se traverse avec tendresse et présence. Voici quelques repères pour préserver le confort de votre chien, sans jamais remplacer l'accompagnement de votre vétérinaire.","cluster-senior, fin-de-vie-chien, accompagnement-chien-age",articles/cluster-11-senior/accompagner-fin-de-vie-chien.html,PROMPTS-IMAGES_C11_senior.md,7,2
11,cluster-senior,SAT08,activite-promenade-chien-age,chien-senior-vieillissement,Adapter l'activité et les promenades d'un chien âgé,Promenades du chien âgé : bien les adapter | Gus & Frost,"Un chien âgé a toujours besoin de bouger, mais autrement. Découvrez comment adapter la durée, le rythme et le terrain de ses promenades pour préserver son corps et son plaisir.","Bouger reste vital au grand âge, à condition d'ajuster l'effort. Voici comment adapter les promenades de votre chien senior pour ménager son corps sans lui retirer ses plaisirs.","cluster-senior, activite-chien-age, promenade-chien-senior",articles/cluster-11-senior/activite-promenade-chien-age.html,PROMPTS-IMAGES_C11_senior.md,5,2
11,cluster-senior,SAT10,alimentation-appetit-chien-age,chien-senior-vieillissement,Alimentation et appétit du chien senior,Alimentation du chien senior : l'accompagner | Gus & Frost,"L'appétit et les besoins d'un chien changent avec l'âge. Découvrez comment accompagner les repas de votre chien senior pour son confort, en lien avec votre vétérinaire.","Manger devient parfois moins simple avec l'âge. Voici comment rendre les repas de votre chien senior plus confortables et soutenir son appétit, aux côtés de votre vétérinaire.","cluster-senior, alimentation-chien-senior, appetit-chien-age",articles/cluster-11-senior/alimentation-appetit-chien-age.html,PROMPTS-IMAGES_C11_senior.md,7,2
11,cluster-senior,SAT02,amenager-maison-chien-senior,chien-senior-vieillissement,Aménager la maison pour un chien âgé,Aménager sa maison pour un chien âgé | Gus & Frost,"Sols glissants, escaliers, accès au canapé : la maison peut devenir un obstacle pour un chien âgé. Découvrez comment l'adapter pour son confort et sa sécurité au quotidien.","Un chien qui vieillit a besoin d'un logement pensé pour lui. Voici comment sécuriser les sols, faciliter les accès et créer un cocon adapté à ses articulations fragiles.","cluster-senior, amenager-maison-chien-age, sols-glissants-chien",articles/cluster-11-senior/amenager-maison-chien-senior.html,PROMPTS-IMAGES_C11_senior.md,5,2
11,cluster-senior,SAT03,chien-senior-arthrose-mobilite,chien-senior-vieillissement,Aider un chien arthrosique au quotidien,Chien arthrosique : l'aider au quotidien | Gus & Frost,"L'arthrose limite les gestes de votre chien âgé. Découvrez comment adapter son quotidien pour préserver sa mobilité et son confort, en complément du suivi de votre vétérinaire.","L'arthrose ralentit le chien sans qu'il s'en plaigne. Voici comment adapter ses déplacements et son confort au quotidien, aux côtés du traitement de votre vétérinaire.","cluster-senior, chien-arthrose, mobilite-chien-age",articles/cluster-11-senior/chien-senior-arthrose-mobilite.html,PROMPTS-IMAGES_C11_senior.md,6,2
11,cluster-senior,SAT09,chien-senior-perte-vue-audition,chien-senior-vieillissement,Chien qui perd la vue ou l'ouïe : adapter son quotidien,Chien senior : perte de vue ou d'ouïe | Gus & Frost,"La vue et l'ouïe d'un chien peuvent faiblir avec l'âge. Découvrez comment adapter votre quotidien et votre communication pour le rassurer, en lien avec votre vétérinaire.","Quand la vue ou l'ouïe faiblit, le chien se repère autrement. Voici comment adapter la maison et votre communication pour le garder confiant et en sécurité.","cluster-senior, chien-perte-vue, chien-perte-audition",articles/cluster-11-senior/chien-senior-perte-vue-audition.html,PROMPTS-IMAGES_C11_senior.md,5,2
11,cluster-senior,SAT04,couchage-confort-chien-age,chien-senior-vieillissement,Bien choisir le couchage d'un chien senior,Couchage du chien senior : bien le choisir | Gus & Frost,Un bon couchage soulage les articulations et améliore le sommeil d'un chien âgé. Découvrez comment choisir et placer le lit idéal pour le confort de votre chien senior.,Le couchage devient essentiel avec l'âge : il soulage les articulations et protège le sommeil. Voici comment choisir et installer le lit qui apaisera votre chien senior.,"cluster-senior, couchage-chien-senior, confort-articulaire-chien",articles/cluster-11-senior/couchage-confort-chien-age.html,PROMPTS-IMAGES_C11_senior.md,5,2
11,cluster-senior,SAT06,dysfonction-cognitive-chien-age,chien-senior-vieillissement,Les changements cognitifs du chien âgé,Chien âgé et troubles cognitifs : comprendre | Gus & Frost,"Désorientation, appels la nuit, habitudes qui changent : le grand âge affecte aussi la tête du chien. Découvrez comment reconnaître ces signes et en parler à votre vétérinaire.",Le vieillissement touche aussi la mémoire et les repères du chien. Voici comment reconnaître les changements cognitifs du grand âge et accompagner votre chien avec douceur.,"cluster-senior, dysfonction-cognitive-chien, chien-age-desorientation",articles/cluster-11-senior/dysfonction-cognitive-chien-age.html,PROMPTS-IMAGES_C11_senior.md,6,2
11,cluster-senior,SAT01,reconnaitre-signes-vieillissement-chien,chien-senior-vieillissement,Reconnaître les signes du vieillissement chez le chien,Signes de vieillissement du chien : les repérer | Gus & Frost,"À quel âge un chien devient-il senior, et quels signes le montrent ? Apprenez à repérer les changements du grand âge pour adapter son quotidien et consulter au bon moment.","Le vieillissement s'installe en douceur, parfois sans qu'on le remarque. Voici les signes qui montrent que votre chien devient senior, et quand en parler à votre vétérinaire.","cluster-senior, signes-vieillissement-chien, chien-qui-vieillit",articles/cluster-11-senior/reconnaitre-signes-vieillissement-chien.html,PROMPTS-IMAGES_C11_senior.md,7,2
