num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
1,1.png,hero-chat-interieur-ennui-solitude.png,chat-interieur-ennui-solitude,PILIER,hero,"Un chat adulte assis seul près d'une fenêtre d'appartement lumineux, regardant vers l'extérieur, posture calme et attentive."
2,2.png,chat-interieur-ennui-solitude-2.png,chat-interieur-ennui-solitude,PILIER,secondaire,Un salon où un chat perché sur une étagère haute observe la pièce d'en haut.
3,3.png,chat-interieur-ennui-solitude-3.png,chat-interieur-ennui-solitude,PILIER,secondaire,"Un chat détendu couché dans un panier douillet en hauteur, yeux mi-clos."
4,4.png,hero-reconnaitre-chat-qui-sennuie.png,reconnaitre-chat-qui-sennuie,SAT01,hero,"Un chat avachi et désœuvré sur un rebord de fenêtre, regard morne vers l'extérieur."
5,5.png,reconnaitre-chat-qui-sennuie-2.png,reconnaitre-chat-qui-sennuie,SAT01,secondaire,"Le flanc d'un chat en train de se lécher intensément une patte, zone de poils clairsemée visible."
6,6.png,hero-besoins-chat-interieur.png,besoins-chat-interieur,SAT02,hero,"Un chat grimpé au sommet d'une bibliothèque, dominant la pièce du regard."
7,7.png,besoins-chat-interieur-2.png,besoins-chat-interieur,SAT02,secondaire,Un chat reniflant avec intérêt une touffe d'herbe à chat dans une coupelle près d'une porte-fenêtre.
8,8.png,occuper-chat-seul-journee-2.png,occuper-chat-seul-journee,SAT03,secondaire,Un chat concentré à extraire une croquette d'un tapis de fouille posé au sol.
9,9.png,hero-occuper-chat-seul-journee.png,occuper-chat-seul-journee,SAT03,hero,"Un chat installé sur un coussin près d'une fenêtre sécurisée, observant les oiseaux dehors."
10,10.png,hero-gerer-absences-chat.png,gerer-absences-chat,SAT04,hero,Une personne de dos enfilant son manteau près de la porte d'entrée.
11,11.png,gerer-absences-chat-2.png,gerer-absences-chat,SAT04,secondaire,Un chat qui s'étire paisiblement au réveil sur un canapé baigné de lumière.
12,12.png,hero-chat-anxiete-separation.png,chat-anxiete-separation,SAT05,hero,Un chat détendu qui vient se frotter contre les jambes de son humain rentrant à la maison.
13,13.png,chat-anxiete-separation-2.png,chat-anxiete-separation,SAT05,secondaire,"Un chat assis seul derrière une porte fermée, oreilles orientées vers la porte."
14,14.png,hero-chat-hyper-attachement.png,chat-hyper-attachement,SAT06,hero,Un chat collé contre les jambes d'une personne assise à un bureau.
15,15.png,chat-hyper-attachement-2.png,chat-hyper-attachement,SAT06,secondaire,Un chat qui se pose de lui-même sur un perchoir à l'écart.
16,16.png,hero-sous-stimulation-ennui-chronique-chat.png,sous-stimulation-ennui-chronique-chat,SAT07,hero,Un chat en surpoids affalé et inactif sur un tapis au milieu d'un intérieur nu et peu stimulant.
17,17.png,sous-stimulation-ennui-chronique-chat-2.png,sous-stimulation-ennui-chronique-chat,SAT07,secondaire,Le même type d'intérieur une fois transformé et enrichi.
18,18.png,hero-sur-stimulation-chat.png,sur-stimulation-chat,SAT08,hero,Un chat aux oreilles couchées et pupilles dilatées cherchant à s'éloigner d'une main d'enfant qui le sollicite.
19,19.png,sur-stimulation-chat-2.png,sur-stimulation-chat,SAT08,secondaire,Un chat profondément endormi en boule dans un coin calme et surélevé.
20,20.png,hero-routine-previsibilite-chat-interieur.png,routine-previsibilite-chat-interieur,SAT09,hero,Un chat assis bien droit et patient près de sa gamelle à l'heure du repas.
21,21.png,routine-previsibilite-chat-interieur-2.png,routine-previsibilite-chat-interieur,SAT09,secondaire,Un chat pelotonné à sa place favorite sur un fauteuil.
22,22.png,hero-longues-absences-vacances-chat.png,longues-absences-vacances-chat,SAT10,hero,Une pet-sitter accroupie donnant à manger et jouant avec un chat détendu dans le salon de ses maîtres absents.
23,23.png,longues-absences-vacances-chat-2.png,longues-absences-vacances-chat,SAT10,secondaire,"Un chat parfaitement à l'aise chez lui, arpentant son territoire familier près de gamelles bien remplies."
24,24.png,hero-enrichir-quotidien-chat-interieur.png,enrichir-quotidien-chat-interieur,SAT11,hero,Un chat plongeant avec entrain dans un simple carton et un sac en papier posés au sol d'un salon.
25,25.png,enrichir-quotidien-chat-interieur-2.png,enrichir-quotidien-chat-interieur,SAT11,secondaire,Un chat cherchant des croquettes cachées dans un rouleau de carton et une boîte à œufs recyclée.
26,26.png,hero-erreurs-idees-recues-chat-interieur.png,erreurs-idees-recues-chat-interieur,SAT12,hero,"Deux chats se toisant avec méfiance à distance dans un salon, corps tendus et immobiles."
27,27.png,erreurs-idees-recues-chat-interieur-2.png,erreurs-idees-recues-chat-interieur,SAT12,secondaire,"Un chat épanoui explorant un intérieur enrichi, un perchoir en hauteur."
