cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
11,cluster-transitions-chat,PILIER,transitions-vie-chat,,Les grandes transitions de la vie du chat : les accompagner,Accompagner les transitions de vie du chat,"Déménagement, bébé, nouvel animal, travaux, vacances, deuil : le principe commun à toutes les transitions du chat.","Un chat n'a pas vu venir le changement qui bouscule son monde. Voici le principe qui relie toutes les transitions, et comment l'accompagner.","cluster-transitions-chat, transitions-chat, routine-chat",articles/cluster-11-transitions-chat/transitions-vie-chat.html,PROMPTS-IMAGES_CH11_transitions-chat.md,21,3
11,cluster-transitions-chat,SAT06,accueillir-chat-adulte,transitions-vie-chat,Accueillir un chat adulte à la maison,Accueillir un chat adulte à la maison,"Ce qui distingue l'adulte du chaton, comment respecter une histoire que l'on ne connaît pas, laisser le chat mener les contacts et installer vite une routine.",Un chat adulte arrive avec un caractère déjà formé. Voici comment l'accueillir sans brusquer ce qu'il a déjà construit.,"cluster-transitions-chat, chat-adulte, accueil-chat",articles/cluster-11-transitions-chat/accueillir-chat-adulte.html,PROMPTS-IMAGES_CH11_transitions-chat.md,7,2
11,cluster-transitions-chat,SAT05,adopter-chat-refuge-premiers-jours,transitions-vie-chat,Adopter un chat de refuge : les premiers jours,Adopter un chat de refuge,"Pourquoi un chat de refuge arrive lesté de stress, pourquoi se cacher est normal, comment installer la pièce refuge et ouvrir la maison à son rythme.","Votre chat de refuge file sous le lit et n'en sort plus. Voici pourquoi c'est normal, et comment aborder les premiers jours.","cluster-transitions-chat, adoption-refuge, chat-qui-se-cache",articles/cluster-11-transitions-chat/adopter-chat-refuge-premiers-jours.html,PROMPTS-IMAGES_CH11_transitions-chat.md,8,2
11,cluster-transitions-chat,SAT07,changement-rythme-vie-chat,transitions-vie-chat,Quand le rythme de la maison change pour le chat,Chat : quand le rythme de la maison change,"Reprise du travail, télétravail, horaires décalés, nouveau conjoint : pourquoi le chat lit le tempo du foyer et non l'agenda.","Rien n'a bougé dans le logement, et pourtant votre chat a changé. Voici comment accompagner un changement de rythme.","cluster-transitions-chat, rythme-chat, previsibilite-chat",articles/cluster-11-transitions-chat/changement-rythme-vie-chat.html,PROMPTS-IMAGES_CH11_transitions-chat.md,8,2
11,cluster-transitions-chat,SAT04,chat-et-nouvel-animal-transition,transitions-vie-chat,Préparer son chat à l'arrivée d'un nouvel animal,Chat : préparer l'arrivée d'un nouvel animal,"Ressources en n+1, pièce dédiée au nouvel arrivant, échange d'odeurs avant tout contact visuel : ce qui se prépare en amont, côté chat déjà là.","Une arrivée réussie ne commence pas le jour de la rencontre. Voici ce qui se prépare avant, pour le chat déjà là.","cluster-transitions-chat, nouvel-animal, ressources-chat",articles/cluster-11-transitions-chat/chat-et-nouvel-animal-transition.html,PROMPTS-IMAGES_CH11_transitions-chat.md,7,2
11,cluster-transitions-chat,SAT02,chat-nouveau-logement-adaptation,transitions-vie-chat,Aider son chat à s'approprier un nouveau logement,Chat : s'approprier un nouveau logement,"Pièce refuge, diffusion des odeurs, réétiquetage par frottements, ouverture pièce par pièce, cachettes et hauteur : le pas-à-pas pour qu'un logement neuf.","Un logement neuf ne porte encore aucune trace de votre chat. Voici le pas-à-pas pour qu'il se l'approprie, pièce par pièce.","cluster-transitions-chat, nouveau-logement-chat, territoire-chat",articles/cluster-11-transitions-chat/chat-nouveau-logement-adaptation.html,PROMPTS-IMAGES_CH11_transitions-chat.md,11,2
11,cluster-transitions-chat,SAT01,demenager-avec-chat,transitions-vie-chat,"Déménager avec son chat : avant, pendant, après",Déménager avec son chat,"Ce que l'on prépare avant, comment sécuriser le jour J, comment installer le chat après : le déménagement étape par étape.","Le déménagement efface d'un coup le territoire et la routine du chat. Voici comment l'accompagner avant, pendant et après.","cluster-transitions-chat, demenagement-chat, territoire-chat",articles/cluster-11-transitions-chat/demenager-avec-chat.html,PROMPTS-IMAGES_CH11_transitions-chat.md,7,2
11,cluster-transitions-chat,SAT13,deuil-perte-chat-cote-maitre,transitions-vie-chat,La perte de son chat : accompagner le deuil du maître,Perdre son chat : vivre et traverser le deuil,"La peine de perdre un chat est un deuil à part entière. Culpabilité après l'euthanasie, enfants et autres animaux du foyer, gestes qui aident et quand se faire accompagner.","La perte de votre chat laisse un vide immense et légitime. Voici comment traverser ce deuil, avec douceur et sans culpabilité.","cluster-transitions-chat, deuil-chat, perte-animal",articles/cluster-11-transitions-chat/deuil-perte-chat-cote-maitre.html,PROMPTS-IMAGES_CH11_transitions-chat.md,6,2
11,cluster-transitions-chat,SAT10,deuil-perte-compagnon-chat,transitions-vie-chat,Le chat après la perte d'un compagnon,Le chat après la perte d'un compagnon,"Ce que l'on observe chez un chat après la disparition d'un animal ou d'une personne du foyer, ce que l'on ignore de son ressenti.","Après une perte, le chat de la maison semble lui aussi désorienté. Voici ce que l'on observe, et ce qui peut l'aider.","cluster-transitions-chat, perte-compagnon, routine-chat",articles/cluster-11-transitions-chat/deuil-perte-compagnon-chat.html,PROMPTS-IMAGES_CH11_transitions-chat.md,6,2
11,cluster-transitions-chat,SAT12,idees-recues-transitions-chat,transitions-vie-chat,Transitions du chat : les idées reçues qui font du tort,Transitions du chat : les idées reçues,"« Les chats s'adaptent à tout », « il boude », « il s'y fera tout seul », « un deuxième chat consolera le survivant » : six croyances passées au crible du.",Certaines phrases toutes faites conduisent à ne rien faire. Voici ce que valent les idées reçues sur les transitions.,"cluster-transitions-chat, idees-recues-chat, comportement-felin",articles/cluster-11-transitions-chat/idees-recues-transitions-chat.html,PROMPTS-IMAGES_CH11_transitions-chat.md,8,2
