cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
1,cluster-langage-chat,PILIER,langage-du-chat,,Le langage du chat : apprendre à décoder ses signaux,Le langage du chat : décoder ses signaux,"La queue, les oreilles, les yeux, la posture, la voix, le marquage : le guide complet pour lire votre chat, signal par signal.","Votre chat ne cesse jamais de communiquer. Voici comment lire chacun de ses signaux, les relier entre eux, et repérer ce qui doit vous alerter.","cluster-langage-chat, langage-du-chat, communication-feline",articles/cluster-1-langage-chat/langage-du-chat.html,PROMPTS-IMAGES_CH1_langage-chat.md,17,3
1,cluster-langage-chat,SAT03,clignement-lent-chat,langage-du-chat,Le clignement lent : le « baiser du chat »,Le clignement lent du chat expliqué,"Quand votre chat ferme lentement les yeux, il vous adresse un signal de confiance et d'apaisement. Ce qu'il signifie, pourquoi il fonctionne.",C'est l'un des rares signaux que vous pouvez offrir à votre chat autant que recevoir. Voici comment engager ce dialogue silencieux.,"cluster-langage-chat, clignement-lent-chat, apaisement-chat",articles/cluster-1-langage-chat/clignement-lent-chat.html,PROMPTS-IMAGES_CH1_langage-chat.md,4,2
1,cluster-langage-chat,SAT12,idees-recues-langage-chat,langage-du-chat,Idées reçues sur le langage du chat,Idées reçues sur le langage du chat,"« Il ronronne donc il est content », « il remue la queue comme un chien », « il boude » : les mythes les plus tenaces sur le chat, corrigés un à un.",Le chat ne pense ni comme nous ni comme un chien. Voici les idées reçues qui vous empêchent de le comprendre vraiment.,"cluster-langage-chat, idees-recues-chat, mythes-chat",articles/cluster-1-langage-chat/idees-recues-langage-chat.html,PROMPTS-IMAGES_CH1_langage-chat.md,10,2
1,cluster-langage-chat,SAT10,marquage-facial-frottements-chat,langage-du-chat,Pourquoi le chat se frotte : le marquage facial,Pourquoi le chat se frotte à vous,Se frotter la tête contre vos jambes ou l'angle d'un meuble n'est pas qu'une demande de caresses : c'est un dépôt d'odeur rassurant.,"Quand votre chat vous frotte la tête, il vous parle. Voici ce que ce geste familier signifie vraiment.","cluster-langage-chat, marquage-facial-chat, pheromones-chat",articles/cluster-1-langage-chat/marquage-facial-frottements-chat.html,PROMPTS-IMAGES_CH1_langage-chat.md,6,2
1,cluster-langage-chat,SAT05,miaulements-chat-comprendre,langage-du-chat,Comprendre les miaulements et les vocalises du chat,Comprendre les miaulements du chat,"Miaou, trille, roucoulement, feulement, gazouillis : à quoi sert chaque vocalise et à qui elle s'adresse. Le chat adulte miaule surtout pour nous.","Votre chat vous parle littéralement, et il a adapté ses vocalises à ce qui fonctionne avec vous. Voici comment décoder cette conversation.","cluster-langage-chat, miaulements-chat, vocalises-chat",articles/cluster-1-langage-chat/miaulements-chat-comprendre.html,PROMPTS-IMAGES_CH1_langage-chat.md,5,2
1,cluster-langage-chat,SAT11,observer-chat-carnet-signaux,langage-du-chat,Observer son chat : lire tous les signaux ensemble,Observer son chat : lire tous les signaux,"La vraie compétence n'est pas de lire un signal, mais de les combiner : queue, oreilles, yeux, posture et contexte.","Chaque chat a son vocabulaire propre. Voici comment apprendre le sien, patiemment, et repérer tôt ce qui ne va pas.","cluster-langage-chat, observer-son-chat, carnet-observation-chat",articles/cluster-1-langage-chat/observer-chat-carnet-signaux.html,PROMPTS-IMAGES_CH1_langage-chat.md,6,2
1,cluster-langage-chat,SAT02,oreilles-chat-emotions,langage-du-chat,Les oreilles du chat et ses émotions,Les oreilles du chat : lire ses émotions,"Oreilles vers l'avant, sur le côté, aplaties en avion : un véritable baromètre émotionnel. Comment lire les positions d'oreilles de votre chat.","Trente muscles, une précision remarquable : les oreilles de votre chat trahissent son émotion en direct. Voici comment les décoder.","cluster-langage-chat, oreilles-chat, emotions-chat",articles/cluster-1-langage-chat/oreilles-chat-emotions.html,PROMPTS-IMAGES_CH1_langage-chat.md,5,2
1,cluster-langage-chat,SAT08,postures-corps-chat,langage-du-chat,"La posture du corps du chat : dos rond, ventre offert, boule",Les postures du chat et leur signification,"Dos rond, corps en boule, chat figé, ventre offert : la posture d'ensemble résume l'état d'esprit d'un coup d'œil.","Le corps entier de votre chat se lit à distance, avant même les détails du visage. Voici ce que chaque posture exprime.","cluster-langage-chat, postures-chat, langage-corporel-chat",articles/cluster-1-langage-chat/postures-corps-chat.html,PROMPTS-IMAGES_CH1_langage-chat.md,7,2
1,cluster-langage-chat,SAT07,pupilles-yeux-chat,langage-du-chat,Les yeux et les pupilles du chat : décoder son regard,Les yeux et pupilles du chat : décoder,"Dilatation des pupilles, regard fixe ou détourné, paupières mi-closes : la lumière, l'émotion et l'intention se superposent.",Une pupille dilatée ne dit pas toujours la même chose. Voici comment lire le regard de votre chat sans vous tromper.,"cluster-langage-chat, pupilles-chat, regard-chat",articles/cluster-1-langage-chat/pupilles-yeux-chat.html,PROMPTS-IMAGES_CH1_langage-chat.md,6,2
1,cluster-langage-chat,SAT01,queue-chat-signification,langage-du-chat,La queue du chat : ce qu'elle raconte,La queue du chat et sa signification,"Queue dressée, en point d'interrogation, gonflée, qui frétille ou fouette l'air : ce que chaque position raconte de l'humeur de votre chat.","La queue est le signal le plus visible du chat, et souvent le plus mal interprété. Voici ce que chacune de ses positions veut dire.","cluster-langage-chat, queue-chat, signaux-chat",articles/cluster-1-langage-chat/queue-chat-signification.html,PROMPTS-IMAGES_CH1_langage-chat.md,4,2
