num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
1,1.png,hero-pourquoi-chat-griffe.png,pourquoi-chat-griffe,PILIER,hero,"Un chat dressé sur ses postérieurs contre un griffoir vertical en corde, corps entièrement étiré."
2,2.png,pourquoi-chat-griffe-2.png,pourquoi-chat-griffe,PILIER,secondaire,"Dans un salon vécu, un chat en pleine action sur l'accoudoir d'un canapé en tissu clair."
3,3.png,pourquoi-chat-griffe-3.png,pourquoi-chat-griffe,PILIER,secondaire,"Plusieurs copeaux de gaine de griffe en forme de croissant, translucides."
4,4.png,hero-arbre-a-chat-ou-griffoir.png,arbre-a-chat-ou-griffoir,SAT01,hero,"Dans un salon vécu, un chat griffe le poteau en corde d'un arbre à chat à plusieurs niveaux."
5,5.png,arbre-a-chat-ou-griffoir-2.png,arbre-a-chat-ou-griffoir,SAT01,secondaire,Une main d'adulte posée en haut d'un poteau de griffoir en corde.
6,6.png,hero-griffades-marquage-chat.png,griffades-marquage-chat,SAT02,hero,"Les sillons profonds laissés dans la corde d'un griffoir très usé, fibres arrachées."
7,7.png,griffades-marquage-chat-2.png,griffades-marquage-chat,SAT02,secondaire,"Un chat se frotte le côté de la tête contre le montant d'une porte, yeux mi-clos."
8,8.png,hero-griffes-du-chat-entretien.png,griffes-du-chat-entretien,SAT03,hero,"Macro extrême sur une patte de chat au repos, coussinets visibles, une griffe partiellement sortie."
9,9.png,griffes-du-chat-entretien-2.png,griffes-du-chat-entretien,SAT03,secondaire,Une main humaine tient délicatement la patte avant d'un chat âgé posé sur un plaid.
10,10.png,hero-choisir-griffoir-chat.png,choisir-griffoir-chat,SAT04,hero,Un chat de taille adulte tirant de tout son poids sur un griffoir en corde.
11,11.png,choisir-griffoir-chat-2.png,choisir-griffoir-chat,SAT04,secondaire,"La corde de sisal d'un griffoir neuf, fibres épaisses et serrées, enroulement régulier."
12,12.png,hero-griffoir-vertical-ou-horizontal-chat.png,griffoir-vertical-ou-horizontal-chat,SAT05,hero,"Un chat griffe à plat sur un tapis de sisal posé au sol, arrière-train relevé, épaules engagées."
13,13.png,griffoir-vertical-ou-horizontal-chat-2.png,griffoir-vertical-ou-horizontal-chat,SAT05,secondaire,"Dans un salon, un griffoir vertical en corde et un plateau horizontal en carton installés côte à côte."
14,14.png,hero-ou-placer-griffoir-chat.png,ou-placer-griffoir-chat,SAT06,hero,"Dans un salon vécu, un griffoir en corde installé juste à côté de l'accoudoir d'un canapé."
15,15.png,ou-placer-griffoir-chat-2.png,ou-placer-griffoir-chat,SAT06,secondaire,"Dans un couloir, un griffoir isolé et intact posé dans une buanderie encombrée, porte entrouverte ; au fond."
16,16.png,hero-chat-n-utilise-pas-griffoir.png,chat-n-utilise-pas-griffoir,SAT07,hero,"Un griffoir bas et étroit posé dans un salon, une pile de linge plié dessus."
17,17.png,chat-n-utilise-pas-griffoir-2.png,chat-n-utilise-pas-griffoir,SAT07,secondaire,Une main agite un cordon de jeu le long d'un poteau de griffoir.
18,18.png,hero-chat-griffe-canape-meubles.png,chat-griffe-canape-meubles,SAT08,hero,"L'accoudoir d'un canapé en tissu clair très abîmé, fibres arrachées sur toute la hauteur."
19,19.png,chat-griffe-canape-meubles-2.png,chat-griffe-canape-meubles,SAT08,secondaire,"Dans un salon, un griffoir en corde installé juste contre l'accoudoir abîmé du canapé."
20,20.png,hero-proteger-meubles-griffades-chat.png,proteger-meubles-griffades-chat,SAT09,hero,"Dans un salon, un accoudoir de canapé recouvert d'un film protecteur transparent tendu."
21,21.png,proteger-meubles-griffades-chat-2.png,proteger-meubles-griffades-chat,SAT09,secondaire,Un coin de canapé partiellement dégarni de sa housse de protection.
22,22.png,hero-degriffage-chat.png,degriffage-chat,SAT10,hero,"Macro sur une patte avant de chat au repos posée sur un plaid, doigts détendus, griffes rentrées."
23,23.png,degriffage-chat-2.png,degriffage-chat,SAT10,secondaire,"Un chat s'étire complètement contre un griffoir en corde dans un salon lumineux, griffes visiblement plantées."
24,24.png,hero-griffades-chaton-apprentissage.png,griffades-chaton-apprentissage,SAT11,hero,Un chaton de quelques mois s'agrippe à un griffoir en corde adapté à sa taille.
25,25.png,griffades-chaton-apprentissage-2.png,griffades-chaton-apprentissage,SAT11,secondaire,Une main fait passer un cordon de jeu le long d'un poteau de griffoir ; le chaton bondit.
26,26.png,hero-entretenir-changer-griffoir-chat.png,entretenir-changer-griffoir-chat,SAT12,hero,"Un griffoir en corde très usé, fibres arrachées et pendantes, sillons profonds."
27,27.png,entretenir-changer-griffoir-chat-2.png,entretenir-changer-griffoir-chat,SAT12,secondaire,"Dans un coin de salon, deux griffoirs côte à côte : l'un très usé."
