num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
1,1.png,hero-transitions-vie-chat.png,transitions-vie-chat,PILIER,hero,"Un chat assis au milieu d'un salon en cours de déménagement, entouré de quelques cartons fermés."
2,2.png,transitions-vie-chat-2.png,transitions-vie-chat,PILIER,secondaire,"Un chat frottant sa joue contre l'angle d'un meuble dans une pièce claire, yeux mi-clos."
3,3.png,transitions-vie-chat-3.png,transitions-vie-chat,PILIER,secondaire,Un intérieur chaleureux et rangé où un chat détendu est allongé en confiance sur un tapis près d'une fenêtre.
4,4.png,hero-demenager-avec-chat.png,demenager-avec-chat,SAT01,hero,Un chat curieux à l'intérieur d'un carton de déménagement ouvert posé au sol.
5,5.png,demenager-avec-chat-2.png,demenager-avec-chat,SAT01,secondaire,Un chat calme installé dans un transporteur à parois ajourées posé sur la banquette d'une voiture.
6,6.png,hero-chat-nouveau-logement-adaptation.png,chat-nouveau-logement-adaptation,SAT02,hero,Un chat prudent explorant une pièce presque vide d'un logement neuf.
7,7.png,chat-nouveau-logement-adaptation-2.png,chat-nouveau-logement-adaptation,SAT02,secondaire,"Un chat frottant le menton contre l'angle d'un mur fraîchement peint dans un appartement neuf, geste d'appropriation."
8,8.png,hero-preparer-chat-arrivee-bebe.png,preparer-chat-arrivee-bebe,SAT03,hero,Un chat assis calmement sur une commode près d'un berceau vide monté à l'avance dans une chambre.
9,9.png,preparer-chat-arrivee-bebe-2.png,preparer-chat-arrivee-bebe,SAT03,secondaire,Un chat perché sur une étagère en hauteur observant de loin un couffin et un mobile.
10,10.png,chat-et-nouvel-animal-transition-2.png,chat-et-nouvel-animal-transition,SAT04,secondaire,Un chat reniflant avec prudence une couverture posée au sol qui porte l'odeur d'un futur compagnon.
11,11.png,hero-chat-et-nouvel-animal-transition.png,chat-et-nouvel-animal-transition,SAT04,hero,Un intérieur où deux gamelles et deux couchages sont installés à bonne distance l'un de l'autre.
12,12.png,hero-adopter-chat-refuge-premiers-jours.png,adopter-chat-refuge-premiers-jours,SAT05,hero,Un chat au regard prudent sortant à peine la tête d'une boîte-cachette en carton dans une pièce refuge sobre.
13,13.png,adopter-chat-refuge-premiers-jours-2.png,adopter-chat-refuge-premiers-jours,SAT05,secondaire,Un chat commençant à explorer une pièce calme quelques jours après son adoption.
14,14.png,hero-accueillir-chat-adulte.png,accueillir-chat-adulte,SAT06,hero,Un chat adulte au pelage marqué assis dignement au milieu d'un salon accueillant.
15,15.png,accueillir-chat-adulte-2.png,accueillir-chat-adulte,SAT06,secondaire,"Une main tendue paume ouverte vers un chat adulte qui la renifle à son rythme, distance respectée."
16,16.png,hero-changement-rythme-vie-chat.png,changement-rythme-vie-chat,SAT07,hero,Un chat assis près d'une porte d'entrée regardant une personne en tenue de travail s'apprêter à sortir le matin.
17,17.png,changement-rythme-vie-chat-2.png,changement-rythme-vie-chat,SAT07,secondaire,"Un chat lové sur un fauteuil à côté d'un bureau de télétravail occupé, cohabitation d'un nouveau rythme."
18,18.png,hero-travaux-reamenagement-chat.png,travaux-reamenagement-chat,SAT08,hero,Un chat réfugié en hauteur sur une étagère observant à distance une pièce en travaux avec bâche et échelle.
19,19.png,travaux-reamenagement-chat-2.png,travaux-reamenagement-chat,SAT08,secondaire,"Un chat installé au calme dans une pièce fermée épargnée par les travaux, porte close derrière lui."
20,20.png,hero-vacances-garde-chat.png,vacances-garde-chat,SAT09,hero,"Un chat détendu chez lui pendant qu'une main de cat-sitter remplit sa gamelle, environnement familier préservé."
21,21.png,vacances-garde-chat-2.png,vacances-garde-chat,SAT09,secondaire,Un chat dans un box propre et spacieux de pension féline avec sa couverture familière.
22,22.png,hero-deuil-perte-compagnon-chat.png,deuil-perte-compagnon-chat,SAT10,hero,"Un chat couché près du panier vide d'un compagnon absent, posture calme et un peu recueillie."
23,23.png,deuil-perte-compagnon-chat-2.png,deuil-perte-compagnon-chat,SAT10,secondaire,Un chat accueillant en confiance la main douce de son maître assis près de lui sur un canapé.
24,24.png,hero-reconnaitre-chat-perturbe-changement.png,reconnaitre-chat-perturbe-changement,SAT11,hero,"Un chat tapi sous un meuble, seuls les yeux et les oreilles bien visibles dans la pénombre."
25,25.png,reconnaitre-chat-perturbe-changement-2.png,reconnaitre-chat-perturbe-changement,SAT11,secondaire,"Un chat au corps tendu et aux oreilles orientées en arrière posé sur un rebord, regard vigilant."
26,26.png,hero-idees-recues-transitions-chat.png,idees-recues-transitions-chat,SAT12,hero,Un maître accroupi qui observe calmement son chat sans le forcer dans une pièce en cours de transition.
27,27.png,idees-recues-transitions-chat-2.png,idees-recues-transitions-chat,SAT12,secondaire,Un chat serein réinstallé sur un rebord de fenêtre ensoleillé dans un intérieur redevenu stable.
28,28.png,hero-deuil-perte-chat-cote-maitre.png,deuil-perte-chat-cote-maitre,SAT13,hero,Un coussin vide près d'une fenêtre.
29,29.png,deuil-perte-chat-cote-maitre-2.png,deuil-perte-chat-cote-maitre,SAT13,secondaire,Un adulte et d'un enfant assis ensemble regardant un petit cadre photo posé sur une étagère.
