slug,extrait
repas-du-chien,"La gamelle n'est pas qu'une formalité. Bien pensé, le repas structure la journée du chien et l'apaise. Notre guide complet pour en faire un moment de calme, du chien glouton au chien difficile."
chien-mange-trop-vite,"Votre chien vide sa gamelle avant que vous ayez rangé le sac ? On vous explique pourquoi, quand cela mérite vraiment attention, et toutes les façons douces de le faire ralentir."
gamelle-anti-glouton-chien,"Gamelle à reliefs, tapis de fouille, tapis de léchage : le bon ralentisseur dépend de votre chien. Nos critères pour choisir sans se tromper, cas du museau court compris."
ralentir-repas-chien,"Ralentir un chien pressé ne demande pas forcément d'acheter quoi que ce soit. Toutes les méthodes, des astuces gratuites aux accessoires, pour faire durer le repas."
nourrir-chien-sans-gamelle,"Et si la gamelle disparaissait ? Le chien est fait pour chercher sa nourriture. Comment lui distribuer la ration autrement, pour un repas plus lent et bien plus stimulant."
recettes-tapis-lechage-chien,"Six recettes de tapis de léchage saines, à base de la ration de votre chien, du quotidien à l'été. Avec l'essentiel pour garnir, congeler et ne rien mettre de dangereux."
chien-gourmand-toujours-faim,"Il réclame sans cesse et paraît toujours affamé ? Le plus souvent, c'est une habitude apprise, pas une vraie faim. Comment la gérer sans céder ni le frustrer."
chien-quemande-table,"Votre chien vous fixe et réclame à chaque repas ? Ni punition ni exil : la méthode douce pour lui apprendre une place au calme et retrouver des repas tranquilles."
repas-plusieurs-chiens,"À plusieurs chiens, le repas tourne vite à la course. Nos principes d'organisation pour que chacun mange au calme, du duo rapide et lent au foyer de tailles différentes."
combien-repas-chien-par-jour,"Un repas, deux, trois ? Les repères clairs selon l'âge, du chiot au senior, et pourquoi le rythme des repas compte autant que la quantité."
chien-ne-mange-pas-gamelle,"Votre chien boude sa gamelle ? D'abord écarter la piste santé, puis comprendre le caprice appris. Comment redonner l'appétit sans installer de mauvaise habitude."
transition-alimentaire-chien,"Changer de croquettes sans diarrhée ni refus, c'est une affaire de progressivité. Le calendrier de transition, les signes à surveiller et les erreurs à éviter."
choisir-gamelle-chien,"Inox, céramique ou plastique ? Forme, hauteur, hygiène : la gamelle compte plus qu'on ne croit. Nos repères pour bien la choisir et l'entretenir au quotidien."
