cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
2,cluster-serenite-chat,PILIER,chat-serein-quotidien,,Le chat serein au quotidien : construire son équilibre,Le chat serein au quotidien : l'équilibre | Gus & Frost,"Sécurité, ressources réparties, jeu, présence prévisible, odeurs respectées : les cinq besoins de fond du chat, un par un, et les repères pour voir quand l'équilibre se fissure.","La sérénité d'un chat ne se décrète pas, elle s'installe. Voici les cinq besoins qui la construisent, et par où commencer chez vous.","cluster-serenite-chat, chat-serein, bien-etre-chat",articles/cluster-2-serenite-chat/chat-serein-quotidien.html,PROMPTS-IMAGES_CH2_serenite-chat.md,15,3
2,cluster-serenite-chat,SAT08,environnement-apaisant-chat,chat-serein-quotidien,Créer un environnement apaisant pour son chat,Un environnement apaisant pour le chat | Gus & Frost,"Le son, les zones de repos, la lumière et surtout les odeurs : les réglages sensoriels d'une maison qui apaise un chat, et les gestes anodins qui effacent ses repères olfactifs.","Votre chat n'habite pas la même maison que vous. Voici comment regarder votre intérieur avec ses sens, et corriger quelques habitudes.","cluster-serenite-chat, environnement-chat, odeurs-chat",articles/cluster-2-serenite-chat/environnement-apaisant-chat.html,PROMPTS-IMAGES_CH2_serenite-chat.md,5,2
2,cluster-serenite-chat,SAT12,idees-recues-bien-etre-chat,chat-serein-quotidien,Six idées reçues sur le bien-être du chat,Idées reçues sur le bien-être du chat | Gus & Frost,"Le chat solitaire, celui qui dort tout le temps, celui qui se calme seul, le diffuseur qui suffit, le deuxième chat qui tient compagnie : six croyances confrontées à ce que l'on sait.",Le chat autonome qui n'a besoin de rien est un mythe coûteux. Voici six idées reçues remises à leur juste place.,"cluster-serenite-chat, idees-recues-chat, mythes-chat",articles/cluster-2-serenite-chat/idees-recues-bien-etre-chat.html,PROMPTS-IMAGES_CH2_serenite-chat.md,7,2
2,cluster-serenite-chat,SAT03,importance-jeu-chat,chat-serein-quotidien,Pourquoi le jeu est vital pour l'équilibre du chat,"Le jeu du chat : un besoin, pas un luxe | Gus & Frost","Jouer, pour un chat, c'est chasser : la séquence de prédation, pourquoi finir sur une capture, le bon rythme des séances, et ce que dit un chat qui cesse soudain de jouer.",Un chat qui ignore ses jouets n'est pas un chat qui n'aime pas jouer. Voici comment lui rendre ses minutes de chasse quotidiennes.,"cluster-serenite-chat, jeu-chat, chasse-chat",articles/cluster-2-serenite-chat/importance-jeu-chat.html,PROMPTS-IMAGES_CH2_serenite-chat.md,5,2
2,cluster-serenite-chat,SAT09,pheromones-chat-efficacite,chat-serein-quotidien,Les phéromones d'apaisement : que valent-elles vraiment,Phéromones pour chat : que valent-elles ? | Gus & Frost,"Une preuve faible et contrastée, des études souvent financées par les fabricants : ce que l'on sait des diffuseurs, pourquoi commencer par la cause, et les usages où ils peuvent servir.","Un diffuseur ne remplace pas un besoin couvert. Voici ce que dit vraiment la recherche sur les phéromones, et comment les envisager.","cluster-serenite-chat, pheromones-chat, diffuseur-chat",articles/cluster-2-serenite-chat/pheromones-chat-efficacite.html,PROMPTS-IMAGES_CH2_serenite-chat.md,0,2
2,cluster-serenite-chat,SAT10,plusieurs-chats-harmonie-quotidien,chat-serein-quotidien,"Plusieurs chats sous le même toit, sereinement",Plusieurs chats : vivre ensemble sereinement | Gus & Frost,"Ce n'est pas le nombre de chats qui crée la tension mais l'organisation : répartir les ressources, penser l'espace en hauteur, offrir des refuges individuels, repérer les tensions discrètes.",Trois chats dans un logement bien pensé vivent mieux que deux dans un logement mal pensé. Voici comment installer cette paix ordinaire.,"cluster-serenite-chat, plusieurs-chats, cohabitation-chats",articles/cluster-2-serenite-chat/plusieurs-chats-harmonie-quotidien.html,PROMPTS-IMAGES_CH2_serenite-chat.md,4,2
2,cluster-serenite-chat,SAT05,reduire-stress-ambiant-chat,chat-serein-quotidien,"Réduire le stress ambiant du chat, concrètement",Réduire le stress du chat à la maison | Gus & Frost,"Cinq leviers à passer en revue comme une liste de contrôle : prévisibilité, ressources réparties, refuges et hauteur, jeu, odeurs respectées. Et la place réelle des phéromones.",Un chat tendu est presque toujours un chat dont un besoin n'est pas couvert. Voici la liste de contrôle pour trouver la case restée vide.,"cluster-serenite-chat, stress-chat, amenagement-maison-chat",articles/cluster-2-serenite-chat/reduire-stress-ambiant-chat.html,PROMPTS-IMAGES_CH2_serenite-chat.md,6,2
2,cluster-serenite-chat,SAT06,ressources-chat-regle-nplus1,chat-serein-quotidien,Les ressources du chat et la règle n+1,Ressources du chat : la règle n+1 expliquée | Gus & Frost,"Deux gamelles côte à côte ne comptent pas pour deux : pourquoi la répartition prime sur le nombre, ce que dit vraiment la règle n+1, et comment l'appliquer en petit logement.","Ce n'est pas le nombre de gamelles qui compte, c'est leur emplacement. Voici comment répartir les ressources de votre chat.","cluster-serenite-chat, ressources-chat, regle-n-plus-1",articles/cluster-2-serenite-chat/ressources-chat-regle-nplus1.html,PROMPTS-IMAGES_CH2_serenite-chat.md,5,2
2,cluster-serenite-chat,SAT01,routine-chat-previsibilite,chat-serein-quotidien,La routine du chat : pourquoi la prévisibilité le rassure,Routine du chat : le besoin de repères | Gus & Frost,"Ce que l'imprévisible provoque chez un chat, quels rythmes stabiliser en priorité, et comment préserver ses repères pendant un déménagement ou un changement de meubles.","Votre chat tient à ses habitudes plus que vous ne le croyez. Voici quels repères stabiliser, et comment introduire du neuf sans l'inquiéter.","cluster-serenite-chat, routine-chat, previsibilite-chat",articles/cluster-2-serenite-chat/routine-chat-previsibilite.html,PROMPTS-IMAGES_CH2_serenite-chat.md,4,2
2,cluster-serenite-chat,SAT07,securite-refuges-chat,chat-serein-quotidien,"Le besoin de sécurité du chat : refuges, cachettes et hauteurs",Refuges du chat : cachettes et hauteurs | Gus & Frost,"Se cacher est un besoin normal, pas un signe de détresse : ce que montre la recherche sur la cachette, les familles de refuges, où les placer, et pourquoi ne jamais déloger un chat.","Votre chat se réfugie sous le lit ou en haut de l'armoire. Voici pourquoi c'est sain, et comment lui offrir de meilleurs refuges.","cluster-serenite-chat, refuges-chat, cachette-chat",articles/cluster-2-serenite-chat/securite-refuges-chat.html,PROMPTS-IMAGES_CH2_serenite-chat.md,5,2
