num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
29,29.png,hero-proprete-chiot.png,proprete-chiot,PILIER,hero,Un chiot de deux mois renifle le sol en tournant sur lui-même dans un salon lumineux.
30,30.png,proprete-chiot-2.png,proprete-chiot,PILIER,secondaire,Une maîtresse accroupie félicite son chiot dehors sur un trottoir après qu'il a fait ses besoins.
31,31.png,proprete-chiot-3.png,proprete-chiot,PILIER,secondaire,Un chiot dort paisiblement dans une caisse ouverte garnie d'une couverture douce.
32,32.png,hero-apprendre-proprete-chiot-methode.png,apprendre-proprete-chiot-methode,SAT01,hero,Un maître accroupi dans l'entrée d'une maison clipse la laisse au collier d'un chiot enthousiaste qui remue la queue.
33,33.png,apprendre-proprete-chiot-methode-2.png,apprendre-proprete-chiot-methode,SAT01,secondaire,Le même chiot dehors sur l'herbe en train d'éliminer.
34,34.png,hero-combien-temps-chiot-propre.png,combien-temps-chiot-propre,SAT02,hero,"Un chiot de deux mois, tout petit, assis sur un parquet clair et levant les yeux vers sa maîtresse."
35,35.png,combien-temps-chiot-propre-2.png,combien-temps-chiot-propre,SAT02,secondaire,"Un chiot plus grand, d'environ cinq mois, attend sagement assis devant une porte-fenêtre donnant sur un jardin."
36,36.png,hero-proprete-chiot-nuit.png,proprete-chiot-nuit,SAT03,hero,"Un chiot dort paisiblement, roulé en boule dans son couchage moelleux posé au sol juste à côté."
37,37.png,proprete-chiot-nuit-2.png,proprete-chiot-nuit,SAT03,secondaire,Un maître en pyjama et robe de chambre accompagne son chiot dans le jardin en pleine nuit.
38,38.png,proprete-chiot-appartement-2.png,proprete-chiot-appartement,SAT04,secondaire,Un chiot se tient debout dans la cabine d'un ascenseur d'immeuble aux côtés de sa maîtresse.
39,39.png,hero-proprete-chiot-appartement.png,proprete-chiot-appartement,SAT04,hero,"Un chiot attend sagement assis près de la porte d'entrée de l'appartement, la truffe levée."
40,40.png,hero-rythme-sorties-chiot.png,rythme-sorties-chiot,SAT05,hero,Un chiot vient de finir son repas dans une cuisine chaleureuse.
41,41.png,rythme-sorties-chiot-2.png,rythme-sorties-chiot,SAT05,secondaire,Un chiot se réveille d'une sieste dans son panier douillet et s'étire longuement.
42,42.png,hero-chiot-accidents-pipi-maison.png,chiot-accidents-pipi-maison,SAT06,hero,Une petite flaque brille sur un parquet clair d'un salon lumineux.
43,43.png,chiot-accidents-pipi-maison-2.png,chiot-accidents-pipi-maison,SAT06,secondaire,Un maître accroupi nettoie tranquillement le sol avec un chiffon et un flacon de nettoyant.
44,44.png,hero-tapis-educateur-chiot.png,tapis-educateur-chiot,SAT07,hero,Un chiot est en train d'utiliser un tapis éducateur posé dans un coin d'une pièce claire.
45,45.png,tapis-educateur-chiot-2.png,tapis-educateur-chiot,SAT07,secondaire,"Le même tapis éducateur, désormais rapproché de la porte d'entrée de la maison."
46,46.png,hero-nettoyer-pipi-chiot-odeurs.png,nettoyer-pipi-chiot-odeurs,SAT08,hero,Un maître accroupi vaporise un nettoyant enzymatique sur une tache au sol à l'aide d'un flacon spray.
47,47.png,nettoyer-pipi-chiot-odeurs-2.png,nettoyer-pipi-chiot-odeurs,SAT08,secondaire,Le même chiot renifle brièvement l'endroit désormais propre puis s'en détourne pour aller vers son panier.
48,48.png,hero-regression-proprete-chiot.png,regression-proprete-chiot,SAT09,hero,Un chiot est examiné doucement sur la table d'un cabinet vétérinaire par une vétérinaire bienveillante en blouse claire.
49,49.png,regression-proprete-chiot-2.png,regression-proprete-chiot,SAT09,secondaire,"De retour à la maison, un maître félicite chaleureusement son chiot dehors dans un jardin lumineux."
50,50.png,hero-caisse-proprete-chiot.png,caisse-proprete-chiot,SAT10,hero,Un chiot entre volontairement dans une caisse ouverte et confortable garnie d'une couverture douce.
51,51.png,caisse-proprete-chiot-2.png,caisse-proprete-chiot,SAT10,secondaire,"Le chiot se repose paisiblement dans sa caisse en journée, la porte ouverte."
52,52.png,hero-erreurs-proprete-chiot.png,erreurs-proprete-chiot,SAT11,hero,"Un maître félicite chaleureusement son chiot dehors sur un trottoir, penché vers lui avec un grand sourire."
53,53.png,erreurs-proprete-chiot-2.png,erreurs-proprete-chiot,SAT11,secondaire,"Dans un salon chaleureux, un maître détourne calmement son chiot d'un coin de la pièce d'un geste doux."
