cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
6,cluster-chiot-proprete,PILIER,proprete-chiot,,"La propreté du chiot : la méthode complète, sans stress ni punition",Apprendre la propreté à un chiot : le guide,"Apprendre la propreté à un chiot sans stress ni punition : méthode, rythme des sorties, accidents, nuit et régression. Le guide complet, étape par étape.","La méthode complète pour rendre un chiot propre en douceur : comprendre son rythme, multiplier les sorties, féliciter et ne jamais punir.","cluster-chiot-proprete, pilier, chiot, proprete, education",articles/cluster-6-chiot-proprete/proprete-chiot.html,PROMPTS-IMAGES_C6_chiot-proprete.md,13,3
6,cluster-chiot-proprete,SAT01,apprendre-proprete-chiot-methode,proprete-chiot,Apprendre la propreté à un chiot : la méthode pas à pas,Méthode propreté chiot : pas à pas,"La méthode pas à pas pour apprendre la propreté à un chiot : anticiper, sortir, féliciter, répéter. Des bases solides en une semaine, sans punition.","Anticiper, sortir, féliciter, répéter : la méthode douce et régulière pour apprendre la propreté à un chiot, étape par étape.","cluster-chiot-proprete, satellite, chiot, proprete, education",articles/cluster-6-chiot-proprete/apprendre-proprete-chiot-methode.html,PROMPTS-IMAGES_C6_chiot-proprete.md,4,2
6,cluster-chiot-proprete,SAT10,caisse-proprete-chiot,proprete-chiot,La caisse et la propreté du chiot : bien l'utiliser,Caisse et propreté du chiot : mode d'emploi,"La caisse comme aide à la propreté du chiot, jamais comme punition : bonne taille, introduction positive et durée raisonnable selon l'âge du chiot.","Bien utilisée, la caisse aide le chiot à se retenir sans jamais être une punition : taille, introduction positive et durée raisonnable.","cluster-chiot-proprete, satellite, chiot, proprete, bien_etre",articles/cluster-6-chiot-proprete/caisse-proprete-chiot.html,PROMPTS-IMAGES_C6_chiot-proprete.md,3,2
6,cluster-chiot-proprete,SAT06,chiot-accidents-pipi-maison,proprete-chiot,Mon chiot fait pipi dans la maison : pourquoi et que faire,Chiot qui fait pipi à la maison : solutions,"Chiot qui fait pipi dans la maison : les causes fréquentes et les solutions douces, sans punition. Quand penser à une cause médicale et voir le vétérinaire.","Pourquoi un chiot fait pipi à la maison et comment y remédier en douceur : sorties, supervision, nettoyage et zéro punition.","cluster-chiot-proprete, satellite, chiot, proprete, comportement_canin",articles/cluster-6-chiot-proprete/chiot-accidents-pipi-maison.html,PROMPTS-IMAGES_C6_chiot-proprete.md,4,2
6,cluster-chiot-proprete,SAT02,combien-temps-chiot-propre,proprete-chiot,Combien de temps pour qu'un chiot soit propre ?,"Chiot propre : à quel âge, combien de temps","À quel âge un chiot devient-il propre et combien de temps faut-il ? Repères par âge, capacité de rétention et patience, sans pression ni comparaison.","Fiable en journée vers 4-6 mois, propre la nuit vers 6-8 mois : les repères d'âge de la propreté du chiot et pourquoi la patience prime.","cluster-chiot-proprete, satellite, chiot, proprete, comportement_canin",articles/cluster-6-chiot-proprete/combien-temps-chiot-propre.html,PROMPTS-IMAGES_C6_chiot-proprete.md,3,2
6,cluster-chiot-proprete,SAT11,erreurs-proprete-chiot,proprete-chiot,Propreté du chiot : les erreurs à éviter,Erreurs de propreté du chiot : ce qu'il faut éviter,"Les erreurs à éviter pour la propreté du chiot : le mythe du nez dans le pipi, gronder après coup, sorties trop espacées, mauvais nettoyants. Les bons réflexes.","Le nez dans le pipi, gronder après coup, sorties trop espacées : les erreurs qui freinent la propreté du chiot et les bons réflexes à adopter.","cluster-chiot-proprete, satellite, chiot, proprete, erreurs",articles/cluster-6-chiot-proprete/erreurs-proprete-chiot.html,PROMPTS-IMAGES_C6_chiot-proprete.md,3,2
6,cluster-chiot-proprete,SAT08,nettoyer-pipi-chiot-odeurs,proprete-chiot,Nettoyer le pipi d'un chiot et casser l'odeur efficacement,Nettoyer pipi de chiot : enlever l'odeur,Nettoyer le pipi d'un chiot et casser l'odeur : pourquoi le nettoyant enzymatique s'impose et pourquoi éviter l'ammoniaque et la javel qui font récidiver.,"Le nettoyant enzymatique casse l'odeur qui fait récidiver le chiot, là où l'ammoniaque et la javel l'attirent : la bonne méthode de nettoyage.","cluster-chiot-proprete, satellite, chiot, proprete, environnement",articles/cluster-6-chiot-proprete/nettoyer-pipi-chiot-odeurs.html,PROMPTS-IMAGES_C6_chiot-proprete.md,3,2
6,cluster-chiot-proprete,SAT04,proprete-chiot-appartement,proprete-chiot,Apprendre la propreté à un chiot en appartement,Propreté chiot en appartement : le guide,"Apprendre la propreté à un chiot en appartement, sans jardin et en étage : anticipation, ascenseur, point de sortie et sevrage du tapis éducateur.","Sans jardin et en étage, la propreté se construit avec anticipation et régularité : le guide pour un chiot propre en appartement.","cluster-chiot-proprete, satellite, chiot, proprete, environnement",articles/cluster-6-chiot-proprete/proprete-chiot-appartement.html,PROMPTS-IMAGES_C6_chiot-proprete.md,3,2
6,cluster-chiot-proprete,SAT03,proprete-chiot-nuit,proprete-chiot,La propreté du chiot la nuit : gérer les accidents sereinement,Propreté du chiot la nuit : que faire,"La propreté du chiot la nuit : capacité de rétention, sorties nocturnes, couchage près du lit et gestes qui apaisent, sans jamais punir un accident.","Sorties nocturnes, couchage près du lit, dernière sortie tardive : comment accompagner la propreté du chiot la nuit, en douceur.","cluster-chiot-proprete, satellite, chiot, proprete, bien_etre",articles/cluster-6-chiot-proprete/proprete-chiot-nuit.html,PROMPTS-IMAGES_C6_chiot-proprete.md,3,2
6,cluster-chiot-proprete,SAT09,regression-proprete-chiot,proprete-chiot,Régression de la propreté chez le chiot : causes et solutions,Chiot qui redevient sale : que faire,"Un chiot propre qui redevient sale : écarter d'abord une cause médicale avec le vétérinaire, puis reprendre les bases en douceur. Causes et solutions.","Un chiot qui redevient sale mérite d'abord un contrôle vétérinaire, puis un retour patient aux bases : causes et solutions de la régression.","cluster-chiot-proprete, satellite, chiot, proprete, prevention",articles/cluster-6-chiot-proprete/regression-proprete-chiot.html,PROMPTS-IMAGES_C6_chiot-proprete.md,4,2
6,cluster-chiot-proprete,SAT05,rythme-sorties-chiot,proprete-chiot,Quand sortir son chiot ? Le bon rythme pour la propreté,Rythme des sorties du chiot : quand et combien,"Quand et à quelle fréquence sortir son chiot pour la propreté : au réveil, après le repas, après le jeu, et le bon rythme selon l'âge du chiot.","Au réveil, après le repas et le jeu : les bons moments et la bonne fréquence de sorties pour aider un chiot à devenir propre.","cluster-chiot-proprete, satellite, chiot, proprete, quotidien",articles/cluster-6-chiot-proprete/rythme-sorties-chiot.html,PROMPTS-IMAGES_C6_chiot-proprete.md,3,2
6,cluster-chiot-proprete,SAT07,tapis-educateur-chiot,proprete-chiot,"Tapis éducateur pour chiot : pour, contre et bon usage",Tapis éducateur chiot : faut-il en utiliser,"Tapis éducateur pour chiot : quand il dépanne, ses limites et comment en sevrer le chiot pour l'amener vers l'extérieur. Un outil transitoire, pas une fin.","Quand le tapis éducateur dépanne, ses limites et comment en sevrer le chiot : le bon usage d'un outil transitoire vers l'extérieur.","cluster-chiot-proprete, satellite, chiot, proprete, materiel",articles/cluster-6-chiot-proprete/tapis-educateur-chiot.html,PROMPTS-IMAGES_C6_chiot-proprete.md,3,2
