cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
19,cluster-chaton-jeu-chat,PILIER,jeu-chaton,,"Le jeu du chaton : chasser, mordiller, se dépenser",Jeu du chaton : besoins et mordillements,"Pourquoi le chaton joue et mord, comment canaliser ses mordillements sans le punir, quel rythme de jeu adopter et quand consulter.","Votre chaton bondit, mord, se dépense sans fin ? Voici pourquoi le jeu et les morsures vont de pair, et comment bien l'accompagner.","cluster-chaton-jeu-chat, jeu-chaton, mordillements-chaton",articles/cluster-19-chaton-jeu-chat/jeu-chaton.html,PROMPTS-IMAGES_CH19_chaton-jeu-chat.md,20,3
19,cluster-chaton-jeu-chat,SAT05,apprendre-chaton-ne-pas-mordre,jeu-chaton,Apprendre à un chaton à ne pas mordre,Apprendre au chaton à ne pas mordre,"Inhibition de la morsure, arrêt du jeu, redirection vers un jouet : comment apprendre à un chaton à contrôler ses dents, sans punir.","Comment apprendre à votre chaton à ne pas mordre ? Par la cohérence et le jeu, jamais par la punition. Voici la méthode.","cluster-chaton-jeu-chat, apprendre-chaton-ne-pas-mordre, inhibition-morsure",articles/cluster-19-chaton-jeu-chat/apprendre-chaton-ne-pas-mordre.html,PROMPTS-IMAGES_CH19_chaton-jeu-chat.md,5,2
19,cluster-chaton-jeu-chat,SAT10,chaton-hyperactif-surexcite,jeu-chaton,Le chaton hyperactif et surexcité,Chaton hyperactif : crises et surexcitation,"Courses folles, surexcitation, morsures qui débordent : comment reconnaître la bascule et canaliser l'énergie d'un chaton, par le jeu.",Votre chaton part en courses folles et se surexcite ? Voici comment lire la bascule et canaliser son énergie sans le gronder.,"cluster-chaton-jeu-chat, chaton-hyperactif-surexcite, surexcitation-chaton",articles/cluster-19-chaton-jeu-chat/chaton-hyperactif-surexcite.html,PROMPTS-IMAGES_CH19_chaton-jeu-chat.md,7,2
19,cluster-chaton-jeu-chat,SAT04,chaton-mord-mains-pieds,jeu-chaton,Le chaton qui attaque mains et pieds,Chaton qui attaque les mains et pieds,"Un chaton qui bondit sur les mains et les chevilles prend la peau pour une proie. Pourquoi, et comment rediriger sans jouer à la main.","Votre chaton attaque vos mains et vos chevilles ? Voici pourquoi, et comment lui apprendre à viser ses jouets, jamais la peau.","cluster-chaton-jeu-chat, chaton-mord-mains-pieds, jouer-a-la-main",articles/cluster-19-chaton-jeu-chat/chaton-mord-mains-pieds.html,PROMPTS-IMAGES_CH19_chaton-jeu-chat.md,7,2
19,cluster-chaton-jeu-chat,SAT03,chaton-mord-pourquoi,jeu-chaton,Pourquoi mon chaton mord : toutes les raisons,Pourquoi mon chaton mord : les raisons,"Jeu, dentition, surexcitation, caresse de trop ou peur : un chaton mord pour des raisons précises, et chacune a sa réponse.","Votre chaton vous mord et vous ne savez pas pourquoi ? Voici les vraies causes, du jeu à la douleur, et comment y répondre.","cluster-chaton-jeu-chat, chaton-mord-pourquoi, morsure-chaton",articles/cluster-19-chaton-jeu-chat/chaton-mord-pourquoi.html,PROMPTS-IMAGES_CH19_chaton-jeu-chat.md,8,2
19,cluster-chaton-jeu-chat,SAT06,chaton-perd-dents-lait,jeu-chaton,Le chaton perd ses dents de lait,Chaton : la chute des dents de lait,"Vers 4 à 7 mois, le chaton perd ses dents de lait. Où passent-elles, ce qui est normal, et la dent persistante à surveiller.","Votre chaton perd ses dents de lait ? C'est normal. Voici quand, où passent-elles, et le seul cas qui mérite le vétérinaire.","cluster-chaton-jeu-chat, chaton-perd-dents-lait, dents-de-lait-chaton",articles/cluster-19-chaton-jeu-chat/chaton-perd-dents-lait.html,PROMPTS-IMAGES_CH19_chaton-jeu-chat.md,4,2
19,cluster-chaton-jeu-chat,SAT11,chaton-reveille-nuit-jouer,jeu-chaton,Le chaton qui réveille la nuit pour jouer,Le chaton qui réveille la nuit pour jouer,"Séance de jeu du soir, repas, attention nocturne à ne pas renforcer : comment obtenir des nuits calmes avec un chaton qui vous réveille.","Votre chaton vous réveille la nuit pour jouer ? Voici le rituel du soir qui cale son énergie sur votre sommeil, sans le priver.","cluster-chaton-jeu-chat, chaton-reveille-nuit-jouer, nuits-chaton",articles/cluster-19-chaton-jeu-chat/chaton-reveille-nuit-jouer.html,PROMPTS-IMAGES_CH19_chaton-jeu-chat.md,5,2
19,cluster-chaton-jeu-chat,SAT02,dentition-chaton,jeu-chaton,La dentition du chaton : calendrier et repères,La dentition du chaton : le calendrier,"Deux dentitions, 26 dents de lait puis 30 définitives entre 4 et 7 mois : le calendrier dentaire du chaton et ce qui doit alerter.","Votre chaton fait ses dents ? Voici le calendrier de sa bouche, les mordillements de poussée, et les signes qui doivent alerter.","cluster-chaton-jeu-chat, dentition-chaton, dents-chaton",articles/cluster-19-chaton-jeu-chat/dentition-chaton.html,PROMPTS-IMAGES_CH19_chaton-jeu-chat.md,6,2
19,cluster-chaton-jeu-chat,SAT12,erreurs-jeu-mordillements-chaton,jeu-chaton,Jeu et mordillements du chaton : les erreurs,Jeu du chaton : les erreurs à éviter,"Punir, jouer à la main, attendre que ça passe, le laser seul : les idées reçues sur le jeu et les morsures du chaton, corrigées.","Faut-il punir un chaton qui mord ? Non. Voici les idées reçues sur le jeu et les mordillements, démontées une à une.","cluster-chaton-jeu-chat, erreurs-jeu-mordillements-chaton, idees-recues-chaton",articles/cluster-19-chaton-jeu-chat/erreurs-jeu-mordillements-chaton.html,PROMPTS-IMAGES_CH19_chaton-jeu-chat.md,8,2
19,cluster-chaton-jeu-chat,SAT09,jeu-chasse-simulee-chaton,jeu-chaton,Comment jouer avec un chaton : la chasse simulée,Bien jouer avec un chaton : la chasse,"Faire fuir le leurre, respecter la séquence de chasse et finir sur une capture : comment mener une séance de jeu qui comble un chaton.","Votre chaton boude ses jouets ? Voici comment jouer comme une proie, de l'affût à la capture, pour vraiment le combler.","cluster-chaton-jeu-chat, jeu-chasse-simulee-chaton, chasse-simulee",articles/cluster-19-chaton-jeu-chat/jeu-chasse-simulee-chaton.html,PROMPTS-IMAGES_CH19_chaton-jeu-chat.md,6,2
19,cluster-chaton-jeu-chat,SAT08,jouets-adaptes-chaton,jeu-chaton,Bien choisir les jouets d'un chaton,Bien choisir les jouets d'un chaton,"Taille, matières, ficelles, pièces qui se détachent : comment choisir des jouets sûrs pour un chaton et éviter les accidents de jeu.",Quels jouets pour un chaton ? D'abord des jouets sûrs. Voici comment choisir la bonne taille et écarter les vrais dangers.,"cluster-chaton-jeu-chat, jouets-adaptes-chaton, jouets-securite-chaton",articles/cluster-19-chaton-jeu-chat/jouets-adaptes-chaton.html,PROMPTS-IMAGES_CH19_chaton-jeu-chat.md,7,2
19,cluster-chaton-jeu-chat,SAT01,morsures-griffades-jeu-chaton,jeu-chaton,Morsures et griffades du jeu : canaliser sans punir,Morsures du chaton en jeu : que faire,"Un chaton qui mord en jouant n'est pas agressif. La méthode pour canaliser morsures et griffades du jeu, sans jamais le punir.","Votre chaton mord et griffe en jouant ? Voici comment rediriger son instinct vers ses jouets, sans crier ni le punir.","cluster-chaton-jeu-chat, morsures-griffades-jeu-chaton, canaliser-morsures",articles/cluster-19-chaton-jeu-chat/morsures-griffades-jeu-chaton.html,PROMPTS-IMAGES_CH19_chaton-jeu-chat.md,7,2
