cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
19,cluster-chaton-accueil-chat,PILIER,accueillir-chaton,,Accueillir un chaton : le guide de l'accueil et des premiers jours,Accueillir un chaton : les premiers jours,"Choisir son chaton, préparer la maison, réussir le retour, les premiers jours et les présentations : toute la carte de l'accueil du chaton.","Vous venez d'accueillir un chaton et les questions se bousculent. Voici la carte de l'accueil et des premiers jours, dans l'ordre où cela compte.","cluster-chaton-accueil-chat, accueillir-chaton, premiers-jours-chaton",articles/cluster-19-chaton-accueil-chat/accueillir-chaton.html,PROMPTS-IMAGES_CH19_chaton-accueil-chat.md,29,3
19,cluster-chaton-accueil-chat,SAT07,adopter-chaton-refuge-eleveur,accueillir-chaton,"Adopter un chaton : refuge, éleveur et cadre légal",Adopter un chaton : refuge ou éleveur,"Refuge, éleveur ou particulier, les signes d'un chaton bien né, et le cadre légal de la cession : identification et documents obligatoires.",Où adopter votre chaton et comment reconnaître un bon départ ? Voici les repères et les obligations légales à connaître avant de vous engager.,"cluster-chaton-accueil-chat, adopter-chaton, identification-chat",articles/cluster-19-chaton-accueil-chat/adopter-chaton-refuge-eleveur.html,PROMPTS-IMAGES_CH19_chaton-accueil-chat.md,5,2
19,cluster-chaton-accueil-chat,SAT06,age-adoption-chaton,accueillir-chaton,À quel âge adopter un chaton : le bon repère,À quel âge adopter un chaton en France,"Le minimum légal de huit semaines, le repère de huit à douze semaines, et pourquoi ne pas séparer un chaton trop tôt de sa mère et de sa fratrie.","À quel âge un chaton est-il prêt à vous rejoindre ? Voici le minimum légal, le bon repère, et pourquoi ne pas précipiter la séparation.","cluster-chaton-accueil-chat, age-adoption-chaton, adopter-chaton",articles/cluster-19-chaton-accueil-chat/age-adoption-chaton.html,PROMPTS-IMAGES_CH19_chaton-accueil-chat.md,5,2
19,cluster-chaton-accueil-chat,SAT12,budget-premiere-annee-chaton,accueillir-chaton,Le budget d'un chaton la première année,Le budget du chaton la première année,"Frais d'arrivée, soins vétérinaires, alimentation, assurance et imprévus : les postes de dépense de la première année, sans montant inventé.",Combien coûte un chaton la première année ? Voici les postes de dépense à anticiper et la méthode pour bâtir votre budget sans surprise.,"cluster-chaton-accueil-chat, budget-chaton, cout-chaton",articles/cluster-19-chaton-accueil-chat/budget-premiere-annee-chaton.html,PROMPTS-IMAGES_CH19_chaton-accueil-chat.md,4,2
19,cluster-chaton-accueil-chat,SAT11,chaton-seul-maison-absences,accueillir-chaton,Laisser un chaton seul à la maison pendant les absences,Laisser un chaton seul pendant l'absence,"Combien de temps un chaton peut rester seul selon son âge, comment sécuriser la pièce, l'occuper et l'habituer aux absences par paliers, sans le brusquer.","Vous travaillez et craignez de laisser votre chaton seul. Voici combien de temps, comment sécuriser et l'occuper pendant vos absences.","cluster-chaton-accueil-chat, chaton-seul, absences-chat",articles/cluster-19-chaton-accueil-chat/chaton-seul-maison-absences.html,PROMPTS-IMAGES_CH19_chaton-accueil-chat.md,4,2
19,cluster-chaton-accueil-chat,SAT05,choisir-nom-chaton,accueillir-chaton,Choisir le nom de son chaton et le lui apprendre,Choisir et apprendre le nom du chaton,"Ce qui fait un nom que le chat repère bien, comment le choisir, et la méthode douce pour le lui apprendre par l'association positive.","Quel nom donner à votre chaton, et comment le lui apprendre ? Voici ce qui fait un bon nom et la méthode douce pour qu'il y réponde.","cluster-chaton-accueil-chat, nom-chaton, apprendre-nom-chat",articles/cluster-19-chaton-accueil-chat/choisir-nom-chaton.html,PROMPTS-IMAGES_CH19_chaton-accueil-chat.md,2,2
19,cluster-chaton-accueil-chat,SAT04,erreurs-accueil-chaton,accueillir-chaton,Idées reçues et erreurs à l'arrivée d'un chaton,Les erreurs à l'arrivée d'un chaton,"Adopter trop jeune, le porter sans arrêt, le sortir trop tôt, le laisser seul : les idées reçues de l'accueil, au format mythe et réalité.","Les erreurs d'accueil sont presque toujours des erreurs d'affection. Voici les idées reçues tenaces de l'arrivée, et ce que la réalité en dit.","cluster-chaton-accueil-chat, erreurs-chaton, idees-recues-chat",articles/cluster-19-chaton-accueil-chat/erreurs-accueil-chaton.html,PROMPTS-IMAGES_CH19_chaton-accueil-chat.md,9,2
19,cluster-chaton-accueil-chat,SAT09,premieres-nuits-chaton,accueillir-chaton,Les premières nuits d'un chaton à la maison,Les premières nuits d'un chaton à la maison,"Pourquoi un chaton pleure la nuit, où le faire dormir, comment préparer une nuit apaisée et répondre à ses pleurs sans renforcer la détresse.",Votre chaton pleure la nuit et vous ne savez plus quoi faire. Voici comment l'apaiser sans lui apprendre que pleurer fait tout venir.,"cluster-chaton-accueil-chat, premieres-nuits-chaton, sommeil-chaton",articles/cluster-19-chaton-accueil-chat/premieres-nuits-chaton.html,PROMPTS-IMAGES_CH19_chaton-accueil-chat.md,4,2
19,cluster-chaton-accueil-chat,SAT03,premiers-jours-chaton,accueillir-chaton,Les premiers jours d'un chaton à la maison,Les premiers jours d'un chaton à la maison,"Pièce refuge, élargissement du territoire, adaptation en douceur : comment accompagner un chaton sans le brusquer pendant les premiers jours.","Votre chaton se cache et vous n'osez plus bouger. Voici comment traverser ces premiers jours en douceur, et ce qui doit vous alerter.","cluster-chaton-accueil-chat, premiers-jours-chaton, adaptation-chaton",articles/cluster-19-chaton-accueil-chat/premiers-jours-chaton.html,PROMPTS-IMAGES_CH19_chaton-accueil-chat.md,10,2
19,cluster-chaton-accueil-chat,SAT01,preparer-arrivee-chaton,accueillir-chaton,Préparer l'arrivée d'un chaton : le matériel essentiel,Préparer l'arrivée d'un chaton : le matériel,"Couchage, gamelles, bac à bords bas, griffoir, transporteur, jouets et pièce refuge : ce qu'il faut réunir avant l'arrivée du chaton.",Un chaton arrive bientôt chez vous. Voici le matériel à réunir avant le jour J et la façon de l'installer pour lui offrir un cadre lisible.,"cluster-chaton-accueil-chat, materiel-chaton, arrivee-chaton",articles/cluster-19-chaton-accueil-chat/preparer-arrivee-chaton.html,PROMPTS-IMAGES_CH19_chaton-accueil-chat.md,10,2
