num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
1,1.png,hero-territoire-enrichissement-chat.png,territoire-enrichissement-chat,PILIER,hero,Un chat perché tout en haut d'un arbre à chat près d'une fenêtre lumineuse.
2,2.png,territoire-enrichissement-chat-2.png,territoire-enrichissement-chat,PILIER,secondaire,Un chat bondissant toutes pattes en l'air vers un plumeau au bout d'une canne.
3,3.png,territoire-enrichissement-chat-3.png,territoire-enrichissement-chat,PILIER,secondaire,"Un chat installé paisiblement dans un enclos extérieur grillagé attenant à une baie vitrée, observant un jardin."
4,4.png,hero-territoire-du-chat-domaine-vital.png,territoire-du-chat-domaine-vital,SAT01,hero,"Un chat parcourant son territoire, longeant le pied d'un meuble par un trajet habituel."
5,5.png,territoire-du-chat-domaine-vital-2.png,territoire-du-chat-domaine-vital,SAT01,secondaire,"Un chat frottant sa joue contre l'angle d'un meuble en bois, marquage facial."
6,6.png,hero-verticalite-hauteur-chat.png,verticalite-hauteur-chat,SAT02,hero,Un chat perché tout en haut d'une armoire ou d'une étagère murale.
7,7.png,verticalite-hauteur-chat-2.png,verticalite-hauteur-chat,SAT02,secondaire,Un chat en plein mouvement ascendant gravissant un escalier d'étagères murales en bois fixées au mur.
8,8.png,choisir-arbre-a-chat-2.png,choisir-arbre-a-chat,SAT03,secondaire,Un chat installé détendu sur la plateforme supérieure d'un arbre à chat stable placé juste devant une fenêtre.
9,9.png,hero-choisir-arbre-a-chat.png,choisir-arbre-a-chat,SAT03,hero,Un chat faisant ses griffes sur le poteau de sisal d'un arbre à chat.
10,10.png,hero-cachettes-postes-observation-chat.png,cachettes-postes-observation-chat,SAT04,hero,"Un chat blotti dans une cachette close, un carton retourné avec une ouverture ronde ou un igloo douillet."
11,11.png,cachettes-postes-observation-chat-2.png,cachettes-postes-observation-chat,SAT04,secondaire,Un chat posté à l'affût sur un coussin moelleux installé sur un rebord de fenêtre.
12,12.png,hero-choisir-jouets-chat.png,choisir-jouets-chat,SAT05,hero,Un chat concentré faisant rouler une petite balle légère sur le parquet d'un salon clair.
13,13.png,choisir-jouets-chat-2.png,choisir-jouets-chat,SAT05,secondaire,Un chat mordillant et tenant fermement entre ses pattes avant une souris en tissu de bonne taille.
14,14.png,hero-jeu-interactif-canne-chat.png,jeu-interactif-canne-chat,SAT06,hero,"Un chat en plein bond vertical, pattes déployées et corps étiré vers le haut."
15,15.png,jeu-interactif-canne-chat-2.png,jeu-interactif-canne-chat,SAT06,secondaire,"Un chat couché au sol, tenant fièrement le leurre en plumes serré entre ses deux pattes avant après la capture."
16,16.png,hero-alimentation-jeu-distributeurs-chat.png,alimentation-jeu-distributeurs-chat,SAT07,hero,Un chat concentré faisant rouler du bout de la patte une balle distributrice sur un parquet clair.
17,17.png,alimentation-jeu-distributeurs-chat-2.png,alimentation-jeu-distributeurs-chat,SAT07,secondaire,Un chat museau et patte plongés dans un distributeur fixe à alvéoles posé sur le carrelage.
18,18.png,enrichissement-olfactif-chat-2.png,enrichissement-olfactif-chat,SAT08,secondaire,"Un chat en pleine roulade euphorique sur le dos, pattes en l'air."
19,19.png,hero-enrichissement-olfactif-chat.png,enrichissement-olfactif-chat,SAT08,hero,Un chat mâchouillant délicatement des brins d'herbe à chat.
20,20.png,hero-enrichir-sans-se-ruiner-chat.png,enrichir-sans-se-ruiner-chat,SAT09,hero,Un chat explorant un parcours fait de cartons de tailles différentes empilés et ouverts au sol d'un salon.
21,21.png,enrichir-sans-se-ruiner-chat-2.png,enrichir-sans-se-ruiner-chat,SAT09,secondaire,Les mains d'une personne présentant à un chat curieux un jouet maison simple.
22,22.png,hero-amenager-petit-appartement-chat.png,amenager-petit-appartement-chat,SAT10,hero,Un petit studio malin où un chat évolue sur un parcours vertical d'étagères murales fixées au-dessus des meubles.
23,23.png,amenager-petit-appartement-chat-2.png,amenager-petit-appartement-chat,SAT10,secondaire,Un chat installé confortablement sur une étagère dégagée en hauteur près d'une fenêtre lumineuse dans un espace restreint.
24,24.png,hero-acces-exterieur-securise-catio-chat.png,acces-exterieur-securise-catio-chat,SAT11,hero,Un chat détendu allongé sur un balcon entièrement protégé par un filet transparent tendu du sol au plafond.
25,25.png,acces-exterieur-securise-catio-chat-2.png,acces-exterieur-securise-catio-chat,SAT11,secondaire,"Un chat en harnais bien ajusté explorant prudemment un jardin verdoyant, museau au ras de l'herbe."
26,26.png,hero-erreurs-idees-recues-territoire-chat.png,erreurs-idees-recues-territoire-chat,SAT12,hero,Un intérieur où un arbre à chat trône délaissé dans un coin sombre et sans intérêt.
27,27.png,erreurs-idees-recues-territoire-chat-2.png,erreurs-idees-recues-territoire-chat,SAT12,secondaire,"Un chat épanoui dans un intérieur bien pensé mais sobre, un point haut où percher."
