cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
19,cluster-chaton-sante-chat,PILIER,sante-chaton,,La santé du chaton : le guide des premiers mois,La santé du chaton : le guide complet,"Première visite, vaccins, vermifuge, identification, stérilisation, signes d'alerte : toute la carte de la santé du chaton, au principe.","Vous accueillez un chaton et sa santé vous inquiète un peu. Voici la carte claire de ses premiers mois, étape par étape.","cluster-chaton-sante-chat, sante-chaton, soins-chaton",articles/cluster-19-chaton-sante-chat/sante-chaton.html,PROMPTS-IMAGES_CH19_chaton-sante-chat.md,16,3
19,cluster-chaton-sante-chat,SAT11,assurance-budget-sante-chaton,sante-chaton,Assurance et budget santé pour un chaton,Assurance et budget santé du chaton,"Comment fonctionne une assurance santé pour chat, ce qu'il faut vérifier avant de souscrire et comment anticiper le budget santé du chaton.","Combien prévoir pour la santé de votre chaton, et faut-il l'assurer ? Voici les repères neutres pour décider en connaissance de cause.","cluster-chaton-sante-chat, assurance-chat, budget-sante-chaton",articles/cluster-19-chaton-sante-chat/assurance-budget-sante-chaton.html,PROMPTS-IMAGES_CH19_chaton-sante-chat.md,4,2
19,cluster-chaton-sante-chat,SAT09,diarrhee-vomissements-chaton,sante-chaton,Diarrhée et vomissements du chaton : que faire,Chaton : la diarrhée et les vomissements,"Pourquoi la diarrhée et les vomissements sont plus sérieux chez un chaton, quand consulter vite et pourquoi ne jamais traiter soi-même.",Votre chaton a la diarrhée ou vomit et vous ne savez pas quoi faire. Voici quand consulter et ce qu'il ne faut surtout pas faire.,"cluster-chaton-sante-chat, diarrhee-chaton, vomissements-chaton",articles/cluster-19-chaton-sante-chat/diarrhee-vomissements-chaton.html,PROMPTS-IMAGES_CH19_chaton-sante-chat.md,5,2
19,cluster-chaton-sante-chat,SAT12,erreurs-sante-chaton,sante-chaton,Santé du chaton : les erreurs à éviter,Santé du chaton : les erreurs à éviter,"Les erreurs de santé fréquentes avec un chaton, de l'automédication dangereuse aux idées reçues, démontées une à une en mythe et réalité.","Certaines erreurs de santé partent d'une bonne intention. Voici les pièges à éviter avec votre chaton, à commencer par l'automédication.","cluster-chaton-sante-chat, erreurs-chaton, automedication-chat",articles/cluster-19-chaton-sante-chat/erreurs-sante-chaton.html,PROMPTS-IMAGES_CH19_chaton-sante-chat.md,5,2
19,cluster-chaton-sante-chat,SAT06,identification-puce-chaton,sante-chaton,"L'identification du chaton : puce, obligation et démarches",Identifier son chaton : puce et loi,"Ce qu'est l'identification du chaton, son obligation légale en France, la puce électronique, le fichier I-CAD et les démarches à connaître.","L'identification de votre chaton est obligatoire. Voici ce que dit la loi, comment ça se passe et les démarches à ne pas oublier.","cluster-chaton-sante-chat, identification-chaton, puce-electronique-chat",articles/cluster-19-chaton-sante-chat/identification-puce-chaton.html,PROMPTS-IMAGES_CH19_chaton-sante-chat.md,3,2
19,cluster-chaton-sante-chat,SAT05,puces-tiques-chaton-antiparasitaires,sante-chaton,"Puces, tiques et antiparasitaires chez le chaton",Puces et tiques du chaton : protéger,"Comment protéger un chaton des puces et des tiques, et la règle de sécurité à connaître : jamais un produit pour chien sur un chat.","Puces et tiques guettent aussi les chatons. Voici comment le protéger sans danger, avec le bon produit choisi par le vétérinaire.","cluster-chaton-sante-chat, puces-tiques-chaton, antiparasitaire-chat",articles/cluster-19-chaton-sante-chat/puces-tiques-chaton-antiparasitaires.html,PROMPTS-IMAGES_CH19_chaton-sante-chat.md,4,2
19,cluster-chaton-sante-chat,SAT01,sante-chaton-premier-veterinaire,sante-chaton,La première visite chez le vétérinaire avec son chaton,Chaton : la première visite vétérinaire,"Quand programmer la première visite du chaton, comment se déroule l'examen, quoi demander et comment préparer un rendez-vous serein.","La première visite vétérinaire de votre chaton approche. Voici son déroulé, les bonnes questions et comment l'aborder au calme.","cluster-chaton-sante-chat, premiere-visite-chaton, veterinaire-chaton",articles/cluster-19-chaton-sante-chat/sante-chaton-premier-veterinaire.html,PROMPTS-IMAGES_CH19_chaton-sante-chat.md,5,2
19,cluster-chaton-sante-chat,SAT08,signes-maladie-urgence-chaton,sante-chaton,Reconnaître les signes de maladie et les urgences chez le chaton,Chaton malade : les signes qui alertent,"Les signes de maladie du chaton, la différence entre consulter vite et l'urgence, et le réflexe qui prime : orienter, jamais soigner seul.",Comment savoir si votre chaton doit voir le vétérinaire vite ? Voici les signes qui alertent et ceux qui imposent l'urgence.,"cluster-chaton-sante-chat, chaton-malade, urgence-chaton",articles/cluster-19-chaton-sante-chat/signes-maladie-urgence-chaton.html,PROMPTS-IMAGES_CH19_chaton-sante-chat.md,4,2
19,cluster-chaton-sante-chat,SAT10,soins-hygiene-chaton,sante-chaton,"Les soins d'hygiène du chaton : yeux, oreilles, griffes",Soins d'hygiène du chaton : les gestes,"Les premiers gestes d'hygiène du chaton pour les yeux, les oreilles et les griffes, par l'habituation douce, et ce qui doit faire consulter.","Yeux, oreilles, griffes : voici les premiers gestes d'hygiène à apprendre à votre chaton en douceur, sans jamais le brusquer.","cluster-chaton-sante-chat, hygiene-chaton, soins-chaton",articles/cluster-19-chaton-sante-chat/soins-hygiene-chaton.html,PROMPTS-IMAGES_CH19_chaton-sante-chat.md,5,2
19,cluster-chaton-sante-chat,SAT02,sommeil-croissance-chaton,sante-chaton,Le sommeil et la croissance du chaton,Le sommeil et la croissance du chaton,"Pourquoi un chaton dort autant, comment respecter son repos, ses étapes de développement et le signe qui doit vous alerter.","Votre chaton dort presque tout le temps et vous vous demandez si c'est normal. Voici pourquoi, et ce qui doit alerter.","cluster-chaton-sante-chat, sommeil-chaton, croissance-chaton",articles/cluster-19-chaton-sante-chat/sommeil-croissance-chaton.html,PROMPTS-IMAGES_CH19_chaton-sante-chat.md,7,2
