num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
1,1.png,hero-accueillir-chaton.png,accueillir-chaton,PILIER,hero,"Un très jeune chaton assis au creux de deux mains ouvertes, regard levé vers l'objectif."
2,2.png,accueillir-chaton-2.png,accueillir-chaton,PILIER,secondaire,Un chaton sortant prudemment d'un transporteur ouvert posé au sol d'un salon clair.
3,3.png,accueillir-chaton-3.png,accueillir-chaton,PILIER,secondaire,"Dans un salon clair et rangé, un chaton explorant tranquillement le sol près d'un couchage douillet."
4,4.png,hero-preparer-arrivee-chaton.png,preparer-arrivee-chaton,SAT01,hero,"Une pièce lumineuse où sont disposés, prêts avant l'arrivée, un couchage douillet, des gamelles."
5,5.png,preparer-arrivee-chaton-2.png,preparer-arrivee-chaton,SAT01,secondaire,"Un chaton blotti dans un transporteur ouvert garni d'une couverture douce, posé au sol porte ouverte."
6,6.png,hero-securiser-maison-chaton.png,securiser-maison-chaton,SAT02,hero,Un chaton grimpé sur un plan de travail de cuisine s'approchant d'un fil électrique.
7,7.png,securiser-maison-chaton-2.png,securiser-maison-chaton,SAT02,secondaire,Un chaton assis en sécurité sur le rebord intérieur d'une fenêtre protégée par un filet.
8,8.png,hero-premiers-jours-chaton.png,premiers-jours-chaton,SAT03,hero,"Un chaton pointant le museau hors d'une boîte-refuge posée dans un coin calme, œil curieux."
9,9.png,premiers-jours-chaton-2.png,premiers-jours-chaton,SAT03,secondaire,Un chaton se détendant peu à peu sur un tapis près d'un humain assis au sol immobile à distance respectueuse.
10,10.png,hero-erreurs-accueil-chaton.png,erreurs-accueil-chaton,SAT04,hero,Un très jeune chaton serré contre sa mère et deux petits de sa fratrie.
11,11.png,erreurs-accueil-chaton-2.png,erreurs-accueil-chaton,SAT04,secondaire,"Dans un salon clair et calme, un chaton posé tranquillement sur un couchage douillet près d'une fenêtre."
12,12.png,hero-choisir-nom-chaton.png,choisir-nom-chaton,SAT05,hero,"Un chaton attentif, oreilles dressées et orientées vers l'avant, regardant vers une voix."
13,13.png,choisir-nom-chaton-2.png,choisir-nom-chaton,SAT05,secondaire,"Une personne assise au sol tendant une friandise à un chaton qui s'approche, sourire discret."
14,14.png,hero-age-adoption-chaton.png,age-adoption-chaton,SAT06,hero,Une chatte allongée entourée de trois chatons de six à huit semaines qui jouent et se blottissent.
15,15.png,age-adoption-chaton-2.png,age-adoption-chaton,SAT06,secondaire,"Un chaton de dix semaines assis avec assurance sur un rebord, regard vif et posture équilibrée."
16,16.png,hero-adopter-chaton-refuge-eleveur.png,adopter-chaton-refuge-eleveur,SAT07,hero,Une personne accroupie tendant la main vers un chaton curieux qui s'approche pour la renifler.
17,17.png,adopter-chaton-refuge-eleveur-2.png,adopter-chaton-refuge-eleveur,SAT07,secondaire,"Un vétérinaire examinant doucement un chaton posé sur une table, lecteur de puce à proximité."
18,18.png,hero-ramener-chaton-maison-voiture.png,ramener-chaton-maison-voiture,SAT08,hero,"Un chaton installé dans un transporteur rigide garni d'une couverture douce, posé sur une banquette arrière."
19,19.png,ramener-chaton-maison-voiture-2.png,ramener-chaton-maison-voiture,SAT08,secondaire,Un transporteur ouvert posé au sol d'une pièce calme et douillette.
20,20.png,hero-premieres-nuits-chaton.png,premieres-nuits-chaton,SAT09,hero,Un chaton endormi en boule dans un couchage douillet et chaud.
21,21.png,premieres-nuits-chaton-2.png,premieres-nuits-chaton,SAT09,secondaire,Une personne en tenue de nuit accroupie près d'un couchage.
22,22.png,hero-presenter-chaton-enfants.png,presenter-chaton-enfants,SAT10,hero,"Un enfant assis en tailleur au sol, immobile et souriant."
23,23.png,presenter-chaton-enfants-2.png,presenter-chaton-enfants,SAT10,secondaire,Un enfant caressant délicatement du bout des doigts un chaton détendu posé près de lui.
24,24.png,hero-chaton-seul-maison-absences.png,chaton-seul-maison-absences,SAT11,hero,Un chaton posté sur un rebord de fenêtre sécurisé.
25,25.png,chaton-seul-maison-absences-2.png,chaton-seul-maison-absences,SAT11,secondaire,Un chaton jouant seul avec un distributeur de croquettes au sol dans un intérieur calme.
26,26.png,hero-budget-premiere-annee-chaton.png,budget-premiere-annee-chaton,SAT12,hero,"Un chaton curieux entouré de son matériel d'accueil neuf posé au sol, gamelles, couchage, transporteur et griffoir."
27,27.png,budget-premiere-annee-chaton-2.png,budget-premiere-annee-chaton,SAT12,secondaire,"Un jeune chat en pleine santé, pelage brillant, posture détendue dans un intérieur chaleureux."
