num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
1,1.png,hero-elever-un-chiot.png,elever-un-chiot,PILIER,hero,"Un chiot d'environ huit semaines assis sur un parquet clair, oreilles attentives."
2,2.png,elever-un-chiot-2.png,elever-un-chiot,PILIER,secondaire,Un chiot installé dans un panier moelleux au coin d'une pièce de vie lumineuse.
3,3.png,elever-un-chiot-3.png,elever-un-chiot,PILIER,secondaire,Une frise visuelle douce évoquant la croissance d'un chiot.
4,4.png,hero-accueillir-un-chiot.png,accueillir-un-chiot,PILIER,hero,Une personne accroupie au niveau du sol dans un salon.
5,5.png,accueillir-un-chiot-2.png,accueillir-un-chiot,PILIER,secondaire,Un chiot endormi paisiblement dans son panier.
6,6.png,accueillir-un-chiot-3.png,accueillir-un-chiot,PILIER,secondaire,Les mains d'une personne offrant une friandise à un chiot assis qui lève les yeux.
7,7.png,hero-preparer-arrivee-chiot.png,preparer-arrivee-chiot,SAT01,hero,Un chiot d'environ huit semaines lové dans un panier moelleux à rebord.
8,8.png,preparer-arrivee-chiot-2.png,preparer-arrivee-chiot,SAT01,secondaire,"Un collier léger portant une médaille gravée, posé près d'un chiot attentif assis sur un tapis clair."
9,9.png,hero-securiser-maison-chiot.png,securiser-maison-chiot,SAT02,hero,Une personne accroupie à hauteur du sol dans un salon lumineux.
10,10.png,securiser-maison-chiot-2.png,securiser-maison-chiot,SAT02,secondaire,Un chiot explorant un jardin clos et verdoyant sous le regard attentif d'une personne accroupie près de lui.
11,11.png,hero-choisir-nom-chiot.png,choisir-nom-chiot,SAT03,hero,Une famille assise en cercle sur un tapis dans un salon lumineux.
12,12.png,choisir-nom-chiot-2.png,choisir-nom-chiot,SAT03,secondaire,"Un chiot assis qui lève vivement la tête vers sa maîtresse accroupie, celle-ci tenant une petite friandise."
13,13.png,hero-premier-trajet-voiture-chiot.png,premier-trajet-voiture-chiot,SAT04,hero,Un jeune chiot installé dans une caisse de transport garnie d'une couverture douce.
14,14.png,premier-trajet-voiture-chiot-2.png,premier-trajet-voiture-chiot,SAT04,secondaire,"L'arrivée à la maison, une personne dépose délicatement un chiot au sol dans un jardin ou une entrée."
15,15.png,hero-premiers-jours-chiot.png,premiers-jours-chiot,SAT05,hero,Un jeune chiot de face au milieu d'un salon lumineux.
16,16.png,premiers-jours-chiot-2.png,premiers-jours-chiot,SAT05,secondaire,"Un chiot profondément endormi, roulé en boule dans son panier moelleux au coin d'une pièce."
17,17.png,hero-premieres-nuits-chiot.png,premieres-nuits-chiot,SAT06,hero,Un chiot d'environ huit semaines pelotonné dans un panier moelleux posé au sol au pied d'un lit.
18,18.png,premieres-nuits-chiot-2.png,premieres-nuits-chiot,SAT06,secondaire,"Un chiot dans un jardin la nuit, éclairé doucement par la lumière d'une porte-fenêtre ouverte derrière lui."
19,19.png,hero-presenter-chiot-enfants.png,presenter-chiot-enfants,SAT07,hero,"Un jeune enfant assis en tailleur sur un tapis clair, mains posées sur ses genoux."
20,20.png,presenter-chiot-enfants-2.png,presenter-chiot-enfants,SAT07,secondaire,"Un chiot endormi paisiblement, roulé en boule dans un panier douillet placé dans un coin calme d'une pièce."
21,21.png,hero-presenter-chiot-autre-chien-chat.png,presenter-chiot-autre-chien-chat,SAT08,hero,"Deux personnes marchant côte à côte dans un parc verdoyant, chacune tenant en laisse détendue un chien."
22,22.png,presenter-chiot-autre-chien-chat-2.png,presenter-chiot-autre-chien-chat,SAT08,secondaire,Un chat perché en hauteur sur une étagère ou un arbre à chat.
23,23.png,hero-adopter-chiot-eleveur-refuge.png,adopter-chiot-eleveur-refuge,SAT09,hero,Une chienne adulte allongée au sol dans un espace domestique propre et lumineux.
24,24.png,adopter-chiot-eleveur-refuge-2.png,adopter-chiot-eleveur-refuge,SAT09,secondaire,Un vétérinaire en blouse examinant délicatement un chiot posé sur une table de consultation.
25,25.png,hero-budget-premiere-annee-chiot.png,budget-premiere-annee-chiot,SAT10,hero,"Un coin d'entrée lumineux avec un panier moelleux, deux gamelles."
26,26.png,budget-premiere-annee-chiot-2.png,budget-premiere-annee-chiot,SAT10,secondaire,"Une personne assise à une table de cuisine, un carnet et une calculatrice devant."
27,27.png,hero-erreurs-accueil-chiot.png,erreurs-accueil-chiot,SAT11,hero,Un chiot pelotonné dans un panier douillet posé au pied d'un lit dans une chambre faiblement éclairée.
28,28.png,erreurs-accueil-chiot-2.png,erreurs-accueil-chiot,SAT11,secondaire,Un chiot porté dans les bras de son maître au bord d'un trottoir animé.
