cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
6,cluster-chiot-mordillements,PILIER,mordillements-dentition-chiot,,"Mordillements, dentition et mastication du chiot : tout comprendre",Chiot qui mordille : le guide complet,"Chiot qui mordille, fait ses dents et a besoin de mâcher : le guide complet pour comprendre et canaliser en douceur, sans jamais punir.","Le guide central des mordillements du chiot : pourquoi il mord, comment se passe sa dentition et pourquoi il a tant besoin de mâcher, pour l'accompagner sans jamais le punir.","cluster-chiot-mordillements, pilier, chiot, mordillements, comportement_canin",articles/cluster-6-chiot-mordillements/mordillements-dentition-chiot.html,PROMPTS-IMAGES_C6_chiot-mordillements.md,13,3
6,cluster-chiot-mordillements,SAT03,arreter-chiot-mordiller-mains-pieds,mordillements-dentition-chiot,Comment arrêter un chiot qui mordille les mains et les pieds,Chiot qui mordille les mains : que faire,"Chiot qui mordille les mains et les pieds : comment rediriger vers un jouet, rester cohérent et cesser les jeux de mains, sans punir.","Rediriger vers un jouet, ignorer le jeu qui dérape et bannir les jeux de mains : la marche à suivre pour des mains et des pieds enfin tranquilles.","cluster-chiot-mordillements, satellite, chiot, mordillements, comportement_canin",articles/cluster-6-chiot-mordillements/arreter-chiot-mordiller-mains-pieds.html,PROMPTS-IMAGES_C6_chiot-mordillements.md,4,2
6,cluster-chiot-mordillements,SAT07,chiot-besoin-macher,mordillements-dentition-chiot,Le besoin de mâcher du chiot : pourquoi et comment y répondre,Besoin de mâcher du chiot : l'essentiel,"Le besoin de mâcher du chiot expliqué : pourquoi il est naturel, à quoi il sert et comment y répondre avec de bons supports, plutôt que de le réprimer.","Mâcher n'est pas un caprice mais un besoin naturel du chiot : pourquoi il existe et comment y répondre avec de bons supports, pour préserver la maison.","cluster-chiot-mordillements, satellite, chiot, mordillements, mastication",articles/cluster-6-chiot-mordillements/chiot-besoin-macher.html,PROMPTS-IMAGES_C6_chiot-mordillements.md,5,2
6,cluster-chiot-mordillements,SAT09,chiot-mache-detruit-tout,mordillements-dentition-chiot,Mon chiot mâche et détruit tout : que faire,Chiot qui détruit tout : comprendre et agir,"Chiot qui mâche et détruit tout : comment aménager l'espace, l'occuper et rediriger son besoin de mâcher, sans jamais punir.","Gérer l'espace, enrichir ses journées et rediriger vers de bons supports : comment réagir à un chiot qui détruit tout, sans punir ni dramatiser.","cluster-chiot-mordillements, satellite, chiot, mordillements, mastication",articles/cluster-6-chiot-mordillements/chiot-mache-detruit-tout.html,PROMPTS-IMAGES_C6_chiot-mordillements.md,4,2
6,cluster-chiot-mordillements,SAT10,chiot-mordille-enfants,mordillements-dentition-chiot,Chiot qui mordille les enfants : réagir sans dramatiser,Chiot qui mordille un enfant : que faire,"Chiot qui mordille les enfants : comment sécuriser, encadrer les interactions et rediriger, sans dramatiser ni punir, pour protéger tout le monde.","Sécuriser, superviser et apprendre aux enfants comme au chiot : comment gérer un chiot qui mordille les enfants, calmement et sans punition.","cluster-chiot-mordillements, satellite, chiot, mordillements, comportement_canin",articles/cluster-6-chiot-mordillements/chiot-mordille-enfants.html,PROMPTS-IMAGES_C6_chiot-mordillements.md,4,2
6,cluster-chiot-mordillements,SAT02,chiot-mordille-inhibition-morsure,mordillements-dentition-chiot,Apprendre à un chiot à contrôler sa morsure,Inhibition de la morsure du chiot : méthode,"Apprendre l'inhibition de la morsure à un chiot : le principe du « aïe », la redirection vers un jouet et pourquoi on ne punit jamais.","La méthode douce pour apprendre à un chiot à doser sa mâchoire : le retrait du jeu, la redirection et le rôle des congénères, sans jamais punir.","cluster-chiot-mordillements, satellite, chiot, mordillements, comportement_canin",articles/cluster-6-chiot-mordillements/chiot-mordille-inhibition-morsure.html,PROMPTS-IMAGES_C6_chiot-mordillements.md,5,2
6,cluster-chiot-mordillements,SAT01,chiot-mordille-pourquoi,mordillements-dentition-chiot,Pourquoi mon chiot mordille tout le temps ?,Pourquoi un chiot mordille : les raisons,"Pourquoi un chiot mordille tout le temps : exploration, jeu, dentition, excès d'excitation. Comprendre les raisons pour mieux canaliser, sans punir.","Exploration, jeu, poussée dentaire ou trop-plein d'excitation : les vraies raisons pour lesquelles un chiot mordille, pour cesser de s'en inquiéter et agir juste.","cluster-chiot-mordillements, satellite, chiot, mordillements, comportement_canin",articles/cluster-6-chiot-mordillements/chiot-mordille-pourquoi.html,PROMPTS-IMAGES_C6_chiot-mordillements.md,5,2
6,cluster-chiot-mordillements,SAT05,chiot-perd-dents-lait,mordillements-dentition-chiot,Mon chiot perd ses dents de lait : ce qu'il faut savoir,Chute des dents de lait du chiot : normal ?,"Chiot qui perd ses dents de lait : pourquoi c'est normal, ce qu'on observe et quand une dent de lait persistante justifie le vétérinaire.","La chute des dents de lait, un passage normal souvent discret : ce que l'on observe, ce qui est sans gravité et quand consulter le vétérinaire.","cluster-chiot-mordillements, satellite, chiot, mordillements, dentition",articles/cluster-6-chiot-mordillements/chiot-perd-dents-lait.html,PROMPTS-IMAGES_C6_chiot-mordillements.md,3,2
6,cluster-chiot-mordillements,SAT04,dentition-chiot-etapes,mordillements-dentition-chiot,La dentition du chiot : étapes et repères d'âge,"Dentition du chiot : à quel âge, comment","La dentition du chiot étape par étape : dents de lait, chute, dents définitives et repères d'âge, pour savoir à quoi s'attendre et quand.",De la sortie des dents de lait à l'arrivée des dents définitives : la chronologie complète de la dentition du chiot et ses repères d'âge.,"cluster-chiot-mordillements, satellite, chiot, mordillements, dentition",articles/cluster-6-chiot-mordillements/dentition-chiot-etapes.html,PROMPTS-IMAGES_C6_chiot-mordillements.md,3,2
6,cluster-chiot-mordillements,SAT11,erreurs-mordillements-chiot,mordillements-dentition-chiot,Mordillements du chiot : les erreurs à éviter,Erreurs face au mordillement du chiot,"Mordillements du chiot : les erreurs à éviter, de la tape sur le museau aux jeux brutaux, et le bon réflexe positif à chaque fois.","Taper le museau, tenir la gueule fermée, crier ou jouer brutalement : les faux pas qui aggravent les mordillements, démontés un à un, avec le bon réflexe.","cluster-chiot-mordillements, satellite, chiot, mordillements, erreurs",articles/cluster-6-chiot-mordillements/erreurs-mordillements-chiot.html,PROMPTS-IMAGES_C6_chiot-mordillements.md,4,2
