num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
154,154.png,hero-sante-soins-chiot.png,sante-soins-chiot,PILIER,hero,"Un chiot de deux mois assis sur une table d'examen recouverte d'une serviette, calme et curieux."
155,155.png,sante-soins-chiot-2.png,sante-soins-chiot,PILIER,secondaire,Une main d'adulte tenant délicatement un jeune chiot contre elle dans un salon.
156,156.png,sante-soins-chiot-3.png,sante-soins-chiot,PILIER,secondaire,Un chiot de trois mois endormi en confiance sur un tapis près d'un canapé.
157,157.png,hero-vaccins-chiot-calendrier.png,vaccins-chiot-calendrier,SAT01,hero,Un chiot de deux mois assis calmement sur une table d'examen recouverte d'une serviette douce.
158,158.png,vaccins-chiot-calendrier-2.png,vaccins-chiot-calendrier,SAT01,secondaire,Une main d'adulte feuilletant délicatement le carnet de santé ouvert d'un chiot posé sur une table de cuisine claire.
159,159.png,hero-vermifuge-chiot.png,vermifuge-chiot,SAT02,hero,Un chiot de deux mois debout et curieux sur une table d'examen recouverte d'une serviette.
160,160.png,vermifuge-chiot-2.png,vermifuge-chiot,SAT02,secondaire,"Dans un salon français, un chiot de trois mois au poil brillant."
161,161.png,hero-puces-tiques-antiparasitaires-chiot.png,puces-tiques-antiparasitaires-chiot,SAT03,hero,Un chiot de deux mois allongé sur le flanc sur une serviette claire dans un salon lumineux.
162,162.png,puces-tiques-antiparasitaires-chiot-2.png,puces-tiques-antiparasitaires-chiot,SAT03,secondaire,Un chiot de trois mois assis calmement dans l'herbe d'un jardin au printemps.
163,163.png,hero-premiere-visite-veterinaire-chiot.png,premiere-visite-veterinaire-chiot,SAT04,hero,Un chiot de huit semaines assis sur une table d'examen recouverte d'une serviette moelleuse.
164,164.png,premiere-visite-veterinaire-chiot-2.png,premiere-visite-veterinaire-chiot,SAT04,secondaire,Une main d'adulte tendant une petite friandise à un chiot attentif installé sur une table d'examen.
165,165.png,hero-identification-puce-chiot.png,identification-puce-chiot,SAT05,hero,"Un chiot de deux mois posé calmement sur une table d'examen, serviette sous les pattes."
166,166.png,identification-puce-chiot-2.png,identification-puce-chiot,SAT05,secondaire,"Dans un salon, un jeune maître assis à une table lit attentivement le document d'identification de son chiot."
167,167.png,hero-sterilisation-castration-chiot.png,sterilisation-castration-chiot,SAT06,hero,Un chiot de quatre mois assis calmement sur une table d'examen.
168,168.png,sterilisation-castration-chiot-2.png,sterilisation-castration-chiot,SAT06,secondaire,Un chiot détendu couché sur un tapis dans un salon lumineux.
169,169.png,hero-signes-maladie-urgences-chiot.png,signes-maladie-urgences-chiot,SAT07,hero,Un chiot de trois mois en pleine forme dans un jardin.
170,170.png,signes-maladie-urgences-chiot-2.png,signes-maladie-urgences-chiot,SAT07,secondaire,Une personne assise au sol tenant contre elle un jeune chiot de deux mois.
171,171.png,hero-diarrhee-vomissements-chiot.png,diarrhee-vomissements-chiot,SAT08,hero,Un chiot de deux mois couché en boule près de sa gamelle d'eau dans une cuisine française.
172,172.png,diarrhee-vomissements-chiot-2.png,diarrhee-vomissements-chiot,SAT08,secondaire,"Une jeune femme assise sur son canapé, téléphone à l'oreille, l'air concentré et attentif."
173,173.png,hero-soins-quotidiens-hygiene-chiot.png,soins-quotidiens-hygiene-chiot,SAT09,hero,Un chiot de deux mois assis sur les genoux d'une personne dans un salon lumineux.
174,174.png,soins-quotidiens-hygiene-chiot-2.png,soins-quotidiens-hygiene-chiot,SAT09,secondaire,Un chiot de trois mois debout et détendu sur un tapis.
175,175.png,hero-assurance-budget-sante-chiot.png,assurance-budget-sante-chiot,SAT10,hero,Une famille assise à la table de la cuisine.
176,176.png,assurance-budget-sante-chiot-2.png,assurance-budget-sante-chiot,SAT10,secondaire,Un chiot de deux mois assis calmement sur le comptoir de l'accueil d'une clinique vétérinaire.
177,177.png,hero-erreurs-sante-soins-chiot.png,erreurs-sante-soins-chiot,SAT11,hero,Un chiot de deux mois assis sur le carrelage d'une cuisine.
178,178.png,erreurs-sante-soins-chiot-2.png,erreurs-sante-soins-chiot,SAT11,secondaire,"Une personne assise sur un canapé, téléphone à l'oreille et visage calme."
