num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
1,1.png,hero-chat-senior-vieillissement.png,chat-senior-vieillissement,PILIER,hero,"Portrait rapproché d'un vieux chat au pelage grisonnant autour du museau, yeux calmes mi-clos."
2,2.png,chat-senior-vieillissement-2.png,chat-senior-vieillissement,PILIER,secondaire,Un vieux chat gris montant une petite rampe douce en bois posée contre un canapé pour rejoindre son coussin.
3,3.png,chat-senior-vieillissement-3.png,chat-senior-vieillissement,PILIER,secondaire,Un vieux chat lové sur un coussin chaud près d'une fenêtre lumineuse.
4,4.png,hero-quand-chat-devient-senior.png,quand-chat-devient-senior,SAT01,hero,Un chat d'âge mûr au pelage légèrement grisonnant assis sur un rebord de fenêtre ensoleillé.
5,5.png,quand-chat-devient-senior-2.png,quand-chat-devient-senior,SAT01,secondaire,"Le visage d'un chat âgé, regard doux, poils blancs autour des yeux et du museau."
6,6.png,hero-adapter-maison-chat-age.png,adapter-maison-chat-age,SAT02,hero,"Dans un intérieur chaleureux, avec de petites marches douces ou une rampe inclinée menant à un canapé."
7,7.png,adapter-maison-chat-age-2.png,adapter-maison-chat-age,SAT02,secondaire,Un vieux chat au pelage grisonnant installé sur un couchage moelleux posé au sol près d'une source de chaleur douce.
8,8.png,hero-arthrose-chat-senior.png,arthrose-chat-senior,SAT03,hero,Un vieux chat au pelage grisonnant hésitant au pied d'une étagère.
9,9.png,arthrose-chat-senior-2.png,arthrose-chat-senior,SAT03,secondaire,"Un chat âgé au pelage grisonnant lové en boule serrée sur un coussin chaud, à demi éveillé."
10,10.png,hero-dysfonction-cognitive-chat-age.png,dysfonction-cognitive-chat-age,SAT04,hero,"Un vieux chat au pelage grisonnant immobile au milieu d'un couloir, la nuit."
11,11.png,dysfonction-cognitive-chat-age-2.png,dysfonction-cognitive-chat-age,SAT04,secondaire,Un chat âgé au pelage grisonnant assis près d'une gamelle et d'une veilleuse dans une pièce calme et bien rangée.
12,12.png,hero-alimentation-hydratation-chat-senior.png,alimentation-hydratation-chat-senior,SAT05,hero,Un vieux chat au museau grisonnant lapant l'eau d'une fontaine à débit doux posée au sol.
13,13.png,alimentation-hydratation-chat-senior-2.png,alimentation-hydratation-chat-senior,SAT05,secondaire,Un chat âgé au pelage grisonnant mangeant dans une gamelle légèrement surélevée posée sur un tapis.
14,14.png,hero-sommeil-repos-chat-age.png,sommeil-repos-chat-age,SAT06,hero,"Un vieux chat au pelage grisonnant profondément endormi, roulé en boule dans un panier douillet garni d'un coussin épais."
15,15.png,sommeil-repos-chat-age-2.png,sommeil-repos-chat-age,SAT06,secondaire,Un chat âgé au pelage grisonnant qui s'étire lentement en sortant d'une longue sieste sur un plaid épais.
16,16.png,hero-toilettage-soins-chat-age.png,toilettage-soins-chat-age,SAT07,hero,Deux mains brossant délicatement le dos d'un vieux chat au pelage grisonnant un peu emmêlé.
17,17.png,toilettage-soins-chat-age-2.png,toilettage-soins-chat-age,SAT07,secondaire,La patte d'un vieux chat au poil grisonnant qu'une main humaine examine doucement.
18,18.png,hero-stimuler-chat-age-en-douceur.png,stimuler-chat-age-en-douceur,SAT08,hero,Un vieux chat au pelage grisonnant jouant paisiblement au sol avec une balle souple et une plume.
19,19.png,stimuler-chat-age-en-douceur-2.png,stimuler-chat-age-en-douceur,SAT08,secondaire,Un chat âgé au pelage grisonnant explorant avec curiosité un carton ouvert et un tapis de fouille posés au sol.
20,20.png,hero-suivi-veterinaire-chat-senior.png,suivi-veterinaire-chat-senior,SAT09,hero,Un vieux chat calme au pelage grisonnant posé sur une table de consultation.
21,21.png,suivi-veterinaire-chat-senior-2.png,suivi-veterinaire-chat-senior,SAT09,secondaire,Un propriétaire pesant attentivement son vieux chat au pelage grisonnant à la maison.
22,22.png,hero-confort-grand-age-fin-de-vie-chat.png,confort-grand-age-fin-de-vie-chat,SAT10,hero,"Un très vieux chat au pelage grisonnant lové contre son maître sur un canapé, complicité tranquille."
23,23.png,confort-grand-age-fin-de-vie-chat-2.png,confort-grand-age-fin-de-vie-chat,SAT10,secondaire,Un vieux chat au pelage grisonnant reposant sur un couchage chaud et moelleux.
24,24.png,hero-changements-comportement-chat-age.png,changements-comportement-chat-age,SAT11,hero,"Un vieux chat au pelage grisonnant retiré sous un meuble bas, à demi caché dans l'ombre."
25,25.png,changements-comportement-chat-age-2.png,changements-comportement-chat-age,SAT11,secondaire,"Un vieux chat au museau grisonnant miaulant, gueule entrouverte."
26,26.png,hero-idees-recues-chat-senior.png,idees-recues-chat-senior,SAT12,hero,"Un vieux chat au pelage grisonnant, maigre mais alerte et le regard vif."
27,27.png,idees-recues-chat-senior-2.png,idees-recues-chat-senior,SAT12,secondaire,Un maître assis dans un salon lumineux et chaleureux.
28,28.png,hero-toilettage-brossage-chat-adulte.png,toilettage-brossage-chat-adulte,SAT13,hero,Une main brossant délicatement le dos d'un chat à poil court détendu sur un plaid clair.
29,29.png,toilettage-brossage-chat-adulte-2.png,toilettage-brossage-chat-adulte,SAT13,secondaire,Un chat à poil long calme sur les genoux d'une personne qui démêle délicatement une mèche avec un peigne.
