num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
1,1.png,hero-proprete-chaton.png,proprete-chaton,PILIER,hero,Un tout petit chaton en train de gratter maladroitement dans un bac à bords très bas posé au sol.
2,2.png,proprete-chaton-2.png,proprete-chaton,PILIER,secondaire,"Un chaton sortant fièrement d'un petit bac accessible posé près d'un couchage douillet, démarche assurée."
3,3.png,proprete-chaton-3.png,proprete-chaton,PILIER,secondaire,"Un chaton confortablement lové dans les bras de sa propriétaire assise, regard vif et détendu."
4,4.png,hero-litiere-chaton-apprentissage.png,litiere-chaton-apprentissage,SAT01,hero,Un tout petit chaton en train de gratter maladroitement dans un bac à bords très bas.
5,5.png,litiere-chaton-apprentissage-2.png,litiere-chaton-apprentissage,SAT01,secondaire,"Un chaton sortant d'un petit bac accessible posé près de son couchage douillet, démarche fière et assurée."
6,6.png,hero-chaton-propre-combien-temps.png,chaton-propre-combien-temps,SAT02,hero,"Un jeune chaton tigré explore prudemment un salon lumineux, une patte levée."
7,7.png,chaton-propre-combien-temps-2.png,chaton-propre-combien-temps,SAT02,secondaire,Un chaton assis calmement dans un petit bac à litière à bords bas.
8,8.png,hero-chaton-fait-pipi-hors-litiere.png,chaton-fait-pipi-hors-litiere,SAT03,hero,Un tout petit chaton assis au sol près d'un grand bac aux parois hautes qu'il regarde d'un air perplexe.
9,9.png,chaton-fait-pipi-hors-litiere-2.png,chaton-fait-pipi-hors-litiere,SAT03,secondaire,Une main d'adulte déposant doucement un petit bac à bords bas près du couchage moelleux d'un chaton attentif.
10,10.png,hero-chaton-mange-litiere-danger.png,chaton-mange-litiere-danger,SAT04,hero,Un tout petit chaton curieux penché au-dessus de son bac.
11,11.png,chaton-mange-litiere-danger-2.png,chaton-mange-litiere-danger,SAT04,secondaire,"Un chaton alerte et vif au regard éveillé, assis bien droit sur un tapis clair à côté d'un petit jouet."
12,12.png,hero-erreurs-proprete-chaton.png,erreurs-proprete-chaton,SAT05,hero,Un tout petit chaton assis au sol près d'une petite tache.
13,13.png,erreurs-proprete-chaton-2.png,erreurs-proprete-chaton,SAT05,secondaire,Un chaton curieux et détendu explorant tranquillement un petit bac à bords bas posé près de son panier douillet.
14,14.png,hero-premiere-litiere-chaton-choisir.png,premiere-litiere-chaton-choisir,SAT06,hero,Un tout petit chaton enjambant sans effort le rebord très bas d'une barquette posée à même le sol.
15,15.png,premiere-litiere-chaton-choisir-2.png,premiere-litiere-chaton-choisir,SAT06,secondaire,"Le même chaton un peu plus grand, assis avec assurance à côté d'un bac ouvert légèrement plus grand."
16,16.png,hero-ou-placer-litiere-chaton.png,ou-placer-litiere-chaton,SAT07,hero,Un tout petit chaton pelotonné dans un couchage douillet.
17,17.png,ou-placer-litiere-chaton-2.png,ou-placer-litiere-chaton,SAT07,secondaire,Un chaton descendant prudemment une marche d'escalier dans une maison lumineuse.
18,18.png,hero-transition-litiere-chaton.png,transition-litiere-chaton,SAT08,hero,Un tout jeune chaton reniflant avec attention le rebord d'un bac de litière posé au sol dans un salon lumineux.
19,19.png,transition-litiere-chaton-2.png,transition-litiere-chaton,SAT08,secondaire,Un chaton entrant avec assurance dans son bac de litière posé dans un coin calme d'un appartement bien installé.
