cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
19,cluster-chaton-alimentation-chat,PILIER,alimentation-chaton,,L'alimentation du chaton : bien le nourrir au quotidien,Alimentation du chaton : bien débuter,"Aliment de croissance, rythme des repas, transition en douceur et eau : les bases pour bien nourrir un chaton, avec le réflexe vétérinaire.","Votre chaton grandit vite et vous doutez de son assiette ? Voici les bases pour bien le nourrir, du sevrage à l'âge adulte.","cluster-chaton-alimentation-chat, alimentation-chaton, nourrir-chaton",articles/cluster-19-chaton-alimentation-chat/alimentation-chaton.html,PROMPTS-IMAGES_CH19_chaton-alimentation-chat.md,17,3
19,cluster-chaton-alimentation-chat,SAT07,biberonnage-chaton-orphelin,alimentation-chaton,Chaton orphelin : l'urgence et les bons gestes,Chaton orphelin : réagir dans l'urgence,"Un chaton orphelin est une urgence : réchauffer sans nourrir, jamais de lait de vache, et appeler vite un vétérinaire ou une association.","Vous avez trouvé un chaton orphelin ? Voici les gestes d'urgence et surtout qui appeler, sans jamais improviser le nourrissage.","cluster-chaton-alimentation-chat, chaton-orphelin, biberonnage-chaton",articles/cluster-19-chaton-alimentation-chat/biberonnage-chaton-orphelin.html,PROMPTS-IMAGES_CH19_chaton-alimentation-chat.md,4,2
19,cluster-chaton-alimentation-chat,SAT09,chaton-ne-mange-pas,alimentation-chaton,Le chaton qui ne mange pas : une urgence,Le chaton qui ne mange pas : réagir,"Un chaton qui cesse de manger se déshydrate en quelques heures. Le point de bascule, les signes d'urgence et quand appeler le vétérinaire.","Votre chaton refuse de manger ? Chez un si jeune animal, on ne temporise pas. Voici quand appeler le vétérinaire, sans attendre.","cluster-chaton-alimentation-chat, chaton-ne-mange-pas, chaton-anorexie",articles/cluster-19-chaton-alimentation-chat/chaton-ne-mange-pas.html,PROMPTS-IMAGES_CH19_chaton-alimentation-chat.md,5,2
19,cluster-chaton-alimentation-chat,SAT03,combien-nourrir-chaton-quantite,alimentation-chaton,Combien nourrir un chaton : la juste quantité,Combien nourrir un chaton chaque jour,"La bonne quantité pour un chaton se lit sur sa silhouette, pas sur un tableau. Repères souples, état corporel et rôle du vétérinaire.","Vous doutez de la quantité à donner ? Voici comment la régler sur le corps de votre chaton, sans balance ni tableau.","cluster-chaton-alimentation-chat, quantite-nourriture-chaton, ration-chaton",articles/cluster-19-chaton-alimentation-chat/combien-nourrir-chaton-quantite.html,PROMPTS-IMAGES_CH19_chaton-alimentation-chat.md,9,2
19,cluster-chaton-alimentation-chat,SAT11,croissance-poids-chaton,alimentation-chaton,La croissance et le poids du chaton,La croissance et le poids du chaton,"La croissance d'un chaton se juge à sa régularité et à son état corporel, pas à un barème poids-âge. Suivi, repères et signaux d'alerte.","Votre chaton pèse-t-il le bon poids ? Voici comment suivre sa croissance sans tableau, en lisant sa silhouette.","cluster-chaton-alimentation-chat, croissance-chaton, poids-chaton",articles/cluster-19-chaton-alimentation-chat/croissance-poids-chaton.html,PROMPTS-IMAGES_CH19_chaton-alimentation-chat.md,8,2
19,cluster-chaton-alimentation-chat,SAT02,croquettes-ou-patee-chaton,alimentation-chaton,Croquettes ou pâtée pour un chaton,Croquettes ou pâtée pour son chaton,"Humide ou sec pour un chaton ? Les deux conviennent s'ils sont formulés pour la croissance. Atouts, précautions et comment les associer.","Croquettes ou pâtée pour votre chaton ? Les deux, souvent. Voici comment choisir sans vous tromper de camp.","cluster-chaton-alimentation-chat, croquettes-chaton, patee-chaton",articles/cluster-19-chaton-alimentation-chat/croquettes-ou-patee-chaton.html,PROMPTS-IMAGES_CH19_chaton-alimentation-chat.md,9,2
19,cluster-chaton-alimentation-chat,SAT10,eau-hydratation-chaton,alimentation-chaton,L'eau et l'hydratation du chaton,Aider un chaton à boire : hydratation,"Aider un chaton à boire assez : eau fraîche à volonté, à l'écart de la gamelle, plusieurs points d'eau, et les signes de déshydratation.","Votre chaton semble ne jamais boire ? Voici comment l'aider à s'hydrater, et repérer une déshydratation à temps.","cluster-chaton-alimentation-chat, hydratation-chaton, eau-chaton",articles/cluster-19-chaton-alimentation-chat/eau-hydratation-chaton.html,PROMPTS-IMAGES_CH19_chaton-alimentation-chat.md,4,2
19,cluster-chaton-alimentation-chat,SAT12,erreurs-alimentation-chaton,alimentation-chaton,Les erreurs d'alimentation du chaton,Les erreurs d'alimentation du chaton,"Lait, restes de table, aliment adulte trop tôt, gavage : les idées reçues sur l'alimentation du chaton, démontées une à une.","Lait, restes de table, gavage : votre chaton en pâtit peut-être. Voici les erreurs d'alimentation les plus courantes, corrigées.","cluster-chaton-alimentation-chat, erreurs-alimentation-chaton, idees-recues-chaton",articles/cluster-19-chaton-alimentation-chat/erreurs-alimentation-chaton.html,PROMPTS-IMAGES_CH19_chaton-alimentation-chat.md,8,2
19,cluster-chaton-alimentation-chat,SAT04,frequence-repas-chaton,alimentation-chaton,La fréquence des repas du chaton,Combien de repas par jour pour un chaton,"Un chaton mange souvent, en petits repas qu'on espace en grandissant. Repères de rythme, libre-service et routine, sans nombre figé.","Combien de repas par jour pour votre chaton ? Voici le rythme à adopter, du tout-petit à l'approche de l'âge adulte.","cluster-chaton-alimentation-chat, frequence-repas-chaton, rythme-repas-chaton",articles/cluster-19-chaton-alimentation-chat/frequence-repas-chaton.html,PROMPTS-IMAGES_CH19_chaton-alimentation-chat.md,6,2
19,cluster-chaton-alimentation-chat,SAT08,lait-vache-danger-chaton,alimentation-chaton,Le lait de vache et le chaton : pourquoi l'éviter,Lait de vache : danger pour le chaton,"Après le sevrage, le chaton digère mal le lactose : le lait de vache provoque des diarrhées et ne le nourrit pas. Quoi donner à la place.","Une soucoupe de lait pour votre chaton ? Mauvaise idée. Voici pourquoi le lait de vache est à proscrire, et quoi donner à la place.","cluster-chaton-alimentation-chat, lait-vache-chaton, lactose-chaton",articles/cluster-19-chaton-alimentation-chat/lait-vache-danger-chaton.html,PROMPTS-IMAGES_CH19_chaton-alimentation-chat.md,6,2
