num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
1,1.png,hero-sante-chaton.png,sante-chaton,PILIER,hero,Portrait doux d'un chaton attentif tenu contre une épaule dans un intérieur clair et chaleureux.
2,2.png,sante-chaton-2.png,sante-chaton,PILIER,secondaire,Un chaton calme sur la table d'examen d'une clinique pendant qu'une main de vétérinaire l'ausculte avec douceur.
3,3.png,sante-chaton-3.png,sante-chaton,PILIER,secondaire,Un chaton en pleine forme jouant sur un tapis clair près d'une fenêtre ensoleillée.
4,4.png,hero-sante-chaton-premier-veterinaire.png,sante-chaton-premier-veterinaire,SAT01,hero,"Un vétérinaire examinant les oreilles d'un chaton posé sur une table d'examen claire, gestes délicats et attentifs."
5,5.png,sante-chaton-premier-veterinaire-2.png,sante-chaton-premier-veterinaire,SAT01,secondaire,"Un chaton calme et curieux à l'intérieur d'un transporteur ouvert posé dans un salon clair, tissu douillet."
6,6.png,hero-sommeil-croissance-chaton.png,sommeil-croissance-chaton,SAT02,hero,"Un chaton profondément endormi, roulé en boule dans un couchage douillet, respiration paisible."
7,7.png,sommeil-croissance-chaton-2.png,sommeil-croissance-chaton,SAT02,secondaire,Un chaton en pleine croissance étirant longuement ses pattes au réveil sur un tapis ensoleillé.
8,8.png,hero-vaccins-chaton-calendrier.png,vaccins-chaton-calendrier,SAT03,hero,"Un chaton attentif blotti dans des mains, regard curieux et paisible."
9,9.png,vaccins-chaton-calendrier-2.png,vaccins-chaton-calendrier,SAT03,secondaire,Un chaton calme observant par une fenêtre lumineuse depuis l'intérieur d'un foyer douillet.
10,10.png,hero-vermifuge-chaton.png,vermifuge-chaton,SAT04,hero,"Un jeune chaton au ventre légèrement rebondi blotti dans une couverture claire, expression calme et vulnérable."
11,11.png,vermifuge-chaton-2.png,vermifuge-chaton,SAT04,secondaire,Un chaton détendu recevant un soin doux des mains d'un adulte dans une cuisine lumineuse.
12,12.png,hero-puces-tiques-chaton-antiparasitaires.png,puces-tiques-chaton-antiparasitaires,SAT05,hero,Le ventre d'un chaton examiné par deux mains attentives qui écartent les poils clairs.
13,13.png,puces-tiques-chaton-antiparasitaires-2.png,puces-tiques-chaton-antiparasitaires,SAT05,secondaire,Un chaton paisible tenu délicatement sur les genoux d'une personne pendant un soin sur la nuque.
14,14.png,hero-identification-puce-chaton.png,identification-puce-chaton,SAT06,hero,La nuque d'un chaton tenu avec tendresse par des mains.
15,15.png,identification-puce-chaton-2.png,identification-puce-chaton,SAT06,secondaire,Un chaton calme sur une table d'examen pendant qu'une main de vétérinaire remplit un document.
16,16.png,hero-sterilisation-chaton.png,sterilisation-chaton,SAT07,hero,Portrait d'un jeune chat assis près d'une fenêtre dans un intérieur chaleureux.
17,17.png,sterilisation-chaton-2.png,sterilisation-chaton,SAT07,secondaire,Un jeune chat détendu au repos sur une couverture douce après un soin.
18,18.png,hero-signes-maladie-urgence-chaton.png,signes-maladie-urgence-chaton,SAT08,hero,Un chaton un peu apathique blotti dans un panier moelleux près d'une fenêtre claire.
19,19.png,signes-maladie-urgence-chaton-2.png,signes-maladie-urgence-chaton,SAT08,secondaire,"Une personne au téléphone dans un salon, tenant contre elle un chaton enveloppé dans une couverture."
20,20.png,hero-diarrhee-vomissements-chaton.png,diarrhee-vomissements-chaton,SAT09,hero,"Une litière propre dans un intérieur clair, un jeune chat pensif assis à proximité."
21,21.png,diarrhee-vomissements-chaton-2.png,diarrhee-vomissements-chaton,SAT09,secondaire,Un jeune chat qui boit à une gamelle d'eau fraîche près d'une fenêtre lumineuse.
22,22.png,hero-soins-hygiene-chaton.png,soins-hygiene-chaton,SAT10,hero,"Le visage d'un chaton tenu délicatement, une main d'adulte approche une compresse propre du coin de l'œil."
23,23.png,soins-hygiene-chaton-2.png,soins-hygiene-chaton,SAT10,secondaire,Un chaton détendu couché sur les genoux d'une personne assise dans un salon lumineux.
24,24.png,hero-assurance-budget-sante-chaton.png,assurance-budget-sante-chaton,SAT11,hero,Un chaton curieux assis près d'un carnet de notes et d'une tasse sur une table en bois clair.
25,25.png,assurance-budget-sante-chaton-2.png,assurance-budget-sante-chaton,SAT11,secondaire,Un chaton paisiblement endormi en boule dans un panier douillet près d'une fenêtre lumineuse.
26,26.png,hero-erreurs-sante-chaton.png,erreurs-sante-chaton,SAT12,hero,"Une armoire à pharmacie de salle de bains ouverte, boîtes de médicaments humains."
27,27.png,erreurs-sante-chaton-2.png,erreurs-sante-chaton,SAT12,secondaire,Un chaton un peu abattu couché en boule sur une couverture claire près d'une gamelle pleine intacte.
