num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
54,54.png,hero-socialiser-son-chiot.png,socialiser-son-chiot,PILIER,hero,"Un chiot de deux mois assis dans un salon, oreilles détendues."
55,55.png,socialiser-son-chiot-2.png,socialiser-son-chiot,PILIER,secondaire,"Un chiot en laisse sur un trottoir de ville, détendu."
56,56.png,socialiser-son-chiot-3.png,socialiser-son-chiot,PILIER,secondaire,Un cours collectif de chiots en intérieur ou sur herbe.
57,57.png,hero-fenetre-socialisation-chiot.png,fenetre-socialisation-chiot,SAT01,hero,Un chiot de six à sept semaines encore au milieu de sa portée.
58,58.png,fenetre-socialisation-chiot-2.png,fenetre-socialisation-chiot,SAT01,secondaire,Un chiot de neuf semaines dans un salon lumineux.
59,59.png,hero-sortir-chiot-avant-vaccins.png,sortir-chiot-avant-vaccins,SAT02,hero,Un chiot de deux mois porté dans les bras d'une personne qui marche le long d'un marché de village animé.
60,60.png,sortir-chiot-avant-vaccins-2.png,sortir-chiot-avant-vaccins,SAT02,secondaire,"Dans un salon lumineux, un chiot de dix semaines s'approchant avec curiosité d'un grand chien adulte calme couché au sol."
61,61.png,hero-chiot-rencontre-autres-chiens.png,chiot-rencontre-autres-chiens,SAT03,hero,"Dans un jardin lumineux, un chiot de trois mois et un grand chien adulte calme au pelage clair."
62,62.png,chiot-rencontre-autres-chiens-2.png,chiot-rencontre-autres-chiens,SAT03,secondaire,"Une pelouse, deux jeunes chiens de gabarit voisin jouant à jeu égal."
63,63.png,hero-habituer-chiot-personnes-inconnues.png,habituer-chiot-personnes-inconnues,SAT04,hero,Un chiot de trois mois dans un salon lumineux.
64,64.png,habituer-chiot-personnes-inconnues-2.png,habituer-chiot-personnes-inconnues,SAT04,secondaire,"Un enfant assis en tailleur au sol, mains sur les genoux, regard doux."
65,65.png,hero-habituer-chiot-manipulation.png,habituer-chiot-manipulation,SAT05,hero,Une main d'adulte tenant délicatement la patte avant d'un chiot assis et détendu sur un canapé clair.
66,66.png,habituer-chiot-manipulation-2.png,habituer-chiot-manipulation,SAT05,secondaire,"Un chiot au poil mi-long couché sur le flanc, parfaitement détendu."
67,67.png,hero-habituer-chiot-bruits.png,habituer-chiot-bruits,SAT06,hero,"Un chiot de deux mois assis dans un salon lumineux, détendu."
68,68.png,habituer-chiot-bruits-2.png,habituer-chiot-bruits,SAT06,secondaire,"Un chiot calme allongé au sol d'une cuisine, oreilles détendues."
69,69.png,hero-habituer-chiot-ville-exterieur.png,habituer-chiot-ville-exterieur,SAT07,hero,"Un chiot de trois mois en laisse sur un large trottoir, assis et détendu."
70,70.png,habituer-chiot-ville-exterieur-2.png,habituer-chiot-ville-exterieur,SAT07,secondaire,Un chiot curieux qui avance une patte sur une grille métallique de trottoir.
71,71.png,hero-habituer-chiot-veterinaire-soins.png,habituer-chiot-veterinaire-soins,SAT08,hero,"Un chiot de trois mois assis calmement sur une table d'examen recouverte d'un tapis antidérapant, détendu."
72,72.png,habituer-chiot-veterinaire-soins-2.png,habituer-chiot-veterinaire-soins,SAT08,secondaire,Un chiot explorant calmement sa caisse de transport ouverte posée au sol dans un salon chaleureux.
73,73.png,hero-ecole-du-chiot-cours-collectifs.png,ecole-du-chiot-cours-collectifs,SAT09,hero,Un petit groupe de trois ou quatre chiots de tailles différentes explorant calmement une salle sur un sol antidérapant.
74,74.png,ecole-du-chiot-cours-collectifs-2.png,ecole-du-chiot-cours-collectifs,SAT09,secondaire,"Un chiot timide de trois mois assis un peu à l'écart du groupe, oreilles légèrement en arrière."
75,75.png,hero-chiot-peureux-craintif.png,chiot-peureux-craintif,SAT10,hero,Un chiot de trois mois légèrement en retrait dans un salon lumineux.
76,76.png,chiot-peureux-craintif-2.png,chiot-peureux-craintif,SAT10,secondaire,"Le même chiot un peu plus tard, désormais assis plus près du visiteur."
77,77.png,hero-erreurs-socialisation-chiot.png,erreurs-socialisation-chiot,SAT11,hero,"Un chiot de trois mois visiblement débordé au milieu d'une scène trop intense, oreilles plaquées en arrière."
78,78.png,erreurs-socialisation-chiot-2.png,erreurs-socialisation-chiot,SAT11,secondaire,"Le même chiot, cette fois posé et détendu à bonne distance d'une scène animée."
