cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
6,cluster-chiot-sante,PILIER,sante-soins-chiot,,Santé et soins du chiot : le guide des premiers mois,Santé du chiot : le guide complet,"Prévention, rendez-vous vétérinaires et signes à surveiller : le guide complet de la santé et des soins du chiot pour des premiers mois sereins.","Le guide central de la santé du chiot : prévention, calendrier des rendez-vous vétérinaires et signes à surveiller pour des premiers mois sereins. De quoi veiller sur lui en confiance, c'est ici.","cluster-chiot-sante, pilier, chiot, sante, prevention",articles/cluster-6-chiot-sante/sante-soins-chiot.html,PROMPTS-IMAGES_C6_chiot-sante.md,14,3
6,cluster-chiot-sante,SAT10,assurance-budget-sante-chiot,sante-soins-chiot,Assurance et budget santé pour un chiot,Assurance santé du chiot : utile ?,Anticiper le budget santé de la première année et comprendre l'assurance animale pour que l'argent ne pèse jamais sur une décision de soin.,"Anticiper le budget santé d'un chiot et comprendre l'assurance animale pour choisir en confiance. De quoi aborder l'avenir sereinement, c'est ici.","cluster-chiot-sante, satellite, chiot, sante, budget_sante",articles/cluster-6-chiot-sante/assurance-budget-sante-chiot.html,PROMPTS-IMAGES_C6_chiot-sante.md,4,2
6,cluster-chiot-sante,SAT08,diarrhee-vomissements-chiot,sante-soins-chiot,Diarrhée et vomissements du chiot : que faire,Chiot qui vomit ou a la diarrhée : réagir,Diarrhée et vomissements du chiot : fréquents mais à surveiller de près à cause du risque de déshydratation. Quand consulter et le réflexe vétérinaire.,"Diarrhée et vomissements du chiot, fréquents mais à surveiller, avec le réflexe vétérinaire au bon moment. De quoi réagir sans paniquer, c'est ici.","cluster-chiot-sante, satellite, chiot, sante, digestion",articles/cluster-6-chiot-sante/diarrhee-vomissements-chiot.html,PROMPTS-IMAGES_C6_chiot-sante.md,4,2
6,cluster-chiot-sante,SAT11,erreurs-sante-soins-chiot,sante-soins-chiot,Santé du chiot : les erreurs à éviter,Erreurs de santé du chiot à éviter,"Automédication, signe négligé, mauvais produit : les erreurs de santé les plus courantes avec un chiot, démontées une à une, sans culpabiliser.","Les erreurs de santé à éviter avec un chiot, démontées une à une, pour lui offrir le meilleur départ. De quoi avancer sereinement, à retrouver ici.","cluster-chiot-sante, satellite, chiot, sante, erreurs",articles/cluster-6-chiot-sante/erreurs-sante-soins-chiot.html,PROMPTS-IMAGES_C6_chiot-sante.md,5,2
6,cluster-chiot-sante,SAT05,identification-puce-chiot,sante-soins-chiot,"L'identification du chiot : puce, obligation et démarches",Identification du chiot : puce obligatoire,"L'identification du chiot est obligatoire en France : puce électronique, fichier I-CAD, démarches et transfert à son nom. Tout ce qu'il faut savoir.","L'identification du chiot, une obligation légale : puce, I-CAD et démarches expliquées simplement. De quoi être en règle l'esprit tranquille, à retrouver ici.","cluster-chiot-sante, satellite, chiot, sante, identification",articles/cluster-6-chiot-sante/identification-puce-chiot.html,PROMPTS-IMAGES_C6_chiot-sante.md,3,2
6,cluster-chiot-sante,SAT04,premiere-visite-veterinaire-chiot,sante-soins-chiot,La première visite chez le vétérinaire avec son chiot,Première visite véto du chiot : préparer,"Quand y aller, ce qui s'y passe et les questions à poser : préparer la première visite vétérinaire de son chiot en douceur et en confiance.","Préparer la première visite vétérinaire du chiot et les bonnes questions à poser. De quoi aborder ce rendez-vous sereinement, c'est ici.","cluster-chiot-sante, satellite, chiot, sante, veterinaire",articles/cluster-6-chiot-sante/premiere-visite-veterinaire-chiot.html,PROMPTS-IMAGES_C6_chiot-sante.md,5,2
6,cluster-chiot-sante,SAT03,puces-tiques-antiparasitaires-chiot,sante-soins-chiot,"Puces, tiques et antiparasitaires chez le chiot",Antiparasitaire chiot : puces et tiques,"Protéger un chiot des puces et des tiques avec des produits adaptés à son âge et à son poids, choisis avec le vétérinaire. Le guide complet.","Protéger son chiot des puces et des tiques avec des produits adaptés à son âge, choisis avec le vétérinaire. De quoi le garder à l'abri des parasites, à retrouver ici.","cluster-chiot-sante, satellite, chiot, sante, antiparasitaires",articles/cluster-6-chiot-sante/puces-tiques-antiparasitaires-chiot.html,PROMPTS-IMAGES_C6_chiot-sante.md,4,2
6,cluster-chiot-sante,SAT07,signes-maladie-urgences-chiot,sante-soins-chiot,Reconnaître les signes de maladie et les urgences chez le chiot,Chiot malade : signes et urgences,"Reconnaître un chiot en bonne santé, repérer les signes qui alertent et distinguer ce qui attend de l'urgence. Le bon réflexe : consulter à temps.","Reconnaître les signes de maladie et les vraies urgences chez le chiot, pour réagir au bon moment. De quoi veiller sur lui l'esprit alerte, à retrouver ici.","cluster-chiot-sante, satellite, chiot, sante, urgences",articles/cluster-6-chiot-sante/signes-maladie-urgences-chiot.html,PROMPTS-IMAGES_C6_chiot-sante.md,4,2
6,cluster-chiot-sante,SAT09,soins-quotidiens-hygiene-chiot,sante-soins-chiot,Les soins d'hygiène quotidiens du chiot,Soins d'hygiène du chiot : les bases,"Yeux, oreilles, dents, griffes, poil : les gestes d'hygiène doux des premiers mois du chiot, appris tôt et en douceur, sans jamais forcer.","Les gestes d'hygiène quotidiens du chiot, en douceur : yeux, oreilles, dents, griffes. De quoi prendre soin de lui au fil des jours, à retrouver ici.","cluster-chiot-sante, satellite, chiot, sante, hygiene",articles/cluster-6-chiot-sante/soins-quotidiens-hygiene-chiot.html,PROMPTS-IMAGES_C6_chiot-sante.md,7,2
6,cluster-chiot-sante,SAT06,sterilisation-castration-chiot,sante-soins-chiot,Stérilisation et castration du chiot : s'informer,Stériliser un chiot : quand y penser,"Stérilisation et castration du chiot : une information équilibrée pour décider, le moment venu, avec son vétérinaire, sans position toute faite.","S'informer sur la stérilisation du chiot pour décider, le moment venu, avec son vétérinaire. De quoi y voir plus clair sans pression, c'est ici.","cluster-chiot-sante, satellite, chiot, sante, sterilisation",articles/cluster-6-chiot-sante/sterilisation-castration-chiot.html,PROMPTS-IMAGES_C6_chiot-sante.md,4,2
