num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
1,1.png,hero-jeu-chaton.png,jeu-chaton,PILIER,hero,Un chaton bondissant en l'air vers une canne à plumes.
2,2.png,jeu-chaton-2.png,jeu-chaton,PILIER,secondaire,"Un chaton en position d'affût derrière un pied de meuble, pupilles dilatées et croupe basse."
3,3.png,jeu-chaton-3.png,jeu-chaton,PILIER,secondaire,Un chaton attrapant fermement un leurre à plumes entre ses pattes avant.
4,4.png,hero-morsures-griffades-jeu-chaton.png,morsures-griffades-jeu-chaton,SAT01,hero,Un chaton attrapant en plein bond une canne-jouet à plumes.
5,5.png,morsures-griffades-jeu-chaton-2.png,morsures-griffades-jeu-chaton,SAT01,secondaire,"Un chaton allongé au sol, mordillant doucement une souris en peluche tenue entre ses pattes avant."
6,6.png,hero-dentition-chaton.png,dentition-chaton,SAT02,hero,"La gueule entrouverte d'un chaton laissant voir de petites dents de lait pointues et blanches, museau détendu."
7,7.png,dentition-chaton-2.png,dentition-chaton,SAT02,secondaire,Un chaton de quelques mois mordillant tranquillement un jouet souple à mâcher tenu au sol entre ses pattes.
8,8.png,hero-chaton-mord-pourquoi.png,chaton-mord-pourquoi,SAT03,hero,"Un chaton sur le dos, pattes avant enserrant un jouet en peluche qu'il mordille en plein jeu."
9,9.png,chaton-mord-pourquoi-2.png,chaton-mord-pourquoi,SAT03,secondaire,"Un chaton sur les genoux d'une personne, queue commençant à fouetter et oreilles légèrement pivotées."
10,10.png,hero-chaton-mord-mains-pieds.png,chaton-mord-mains-pieds,SAT04,hero,"Un chaton bondissant sur une cheville en mouvement dans un couloir, embuscade typique."
11,11.png,chaton-mord-mains-pieds-2.png,chaton-mord-mains-pieds,SAT04,secondaire,Une personne assise animant une canne à plumes au sol tandis qu'un chaton l'attrape à pleines pattes.
12,12.png,hero-apprendre-chaton-ne-pas-mordre.png,apprendre-chaton-ne-pas-mordre,SAT05,hero,Deux chatons de la même portée en train de se chamailler doucement au sol.
13,13.png,apprendre-chaton-ne-pas-mordre-2.png,apprendre-chaton-ne-pas-mordre,SAT05,secondaire,Un chaton mordillant avec application une canne-jouet tenue à distance par une main humaine détendue.
14,14.png,hero-chaton-perd-dents-lait.png,chaton-perd-dents-lait,SAT06,hero,Macro d'une toute petite dent de lait de chaton posée sur un doigt ou un tissu clair.
15,15.png,chaton-perd-dents-lait-2.png,chaton-perd-dents-lait,SAT06,secondaire,La gueule d'un jeune chat montrant une double canine.
16,16.png,hero-soulager-dentition-chaton.png,soulager-dentition-chaton,SAT07,hero,Un chaton mordillant avec application un jouet souple à mâcher adapté à sa taille.
17,17.png,soulager-dentition-chaton-2.png,soulager-dentition-chaton,SAT07,secondaire,Les mains d'une personne regroupant des câbles électriques dans une gaine tandis qu'un chaton observe à côté.
18,18.png,hero-jouets-adaptes-chaton.png,jouets-adaptes-chaton,SAT08,hero,Comparaison visuelle de deux jouets posés côte à côte.
19,19.png,jouets-adaptes-chaton-2.png,jouets-adaptes-chaton,SAT08,secondaire,Un chaton jouant seul avec une balle légère de bonne taille sur un sol clair.
20,20.png,hero-jeu-chasse-simulee-chaton.png,jeu-chasse-simulee-chaton,SAT09,hero,"Un chaton en plein affût, corps aplati et croupe frémissante."
21,21.png,jeu-chasse-simulee-chaton-2.png,jeu-chasse-simulee-chaton,SAT09,secondaire,Un chaton tenant fermement un leurre à plumes entre ses pattes avant en fin de séance.
22,22.png,hero-chaton-hyperactif-surexcite.png,chaton-hyperactif-surexcite,SAT10,hero,"Un chaton en pleine course folle, corps en pleine détente au-dessus d'un canapé."
23,23.png,chaton-hyperactif-surexcite-2.png,chaton-hyperactif-surexcite,SAT10,secondaire,"Un chaton apaisé après une séance de jeu, allongé et en train de se toiletter près d'une gamelle."
24,24.png,hero-chaton-reveille-nuit-jouer.png,chaton-reveille-nuit-jouer,SAT11,hero,"Un chaton bien éveillé et joueur sur un lit dans la pénombre, une silhouette endormie à côté."
25,25.png,chaton-reveille-nuit-jouer-2.png,chaton-reveille-nuit-jouer,SAT11,secondaire,Un chaton repu et endormi en boule dans un panier douillet en fin de soirée.
26,26.png,hero-erreurs-jeu-mordillements-chaton.png,erreurs-jeu-mordillements-chaton,SAT12,hero,"Illustration en deux volets, d'un côté une main qui redirige calmement un chaton vers un jouet."
27,27.png,erreurs-jeu-mordillements-chaton-2.png,erreurs-jeu-mordillements-chaton,SAT12,secondaire,"Un chaton fixant un point lumineux au sol, corps tendu et frustré."
