cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
6,cluster-litiere-chat,PILIER,litiere-proprete-chat,,La litière et la propreté du chat : le guide complet,Litière et propreté du chat : le guide | Gus & Frost,"Litière, bac, emplacement, entretien : les quatre réglages qui font la propreté d'un chat, le réflexe vétérinaire devant toute malpropreté, et le guide détaillé vers lequel aller pour chaque cas.","Un chat qui fait à côté n'est jamais capricieux. Voici le système en quatre réglages qui fonde sa propreté, et par où commencer.","cluster-litiere-chat, litiere-chat, malproprete-chat",articles/cluster-6-litiere-chat/litiere-proprete-chat.html,PROMPTS-IMAGES_CH6_litiere-chat.md,18,3
6,cluster-litiere-chat,SAT06,chat-fait-hors-litiere,litiere-proprete-chat,Mon chat fait hors de sa litière : que faire,Mon chat fait hors de sa litière : que faire | Gus & Frost,"La démarche en trois temps : écarter d'abord une cause médicale, repérer les signes qui imposent une urgence, distinguer marquage et élimination, puis reprendre les réglages du coin toilette.","Votre chat propre s'est mis à faire à côté. Voici la démarche ordonnée à suivre, en commençant toujours par la santé.","cluster-litiere-chat, malproprete-chat, chat-urine-hors-bac",articles/cluster-6-litiere-chat/chat-fait-hors-litiere.html,PROMPTS-IMAGES_CH6_litiere-chat.md,6,2
6,cluster-litiere-chat,SAT02,choisir-bac-litiere-chat,litiere-proprete-chat,Choisir le bac à litière de son chat,Choisir le bac à litière de son chat | Gus & Frost,"Taille, hauteur des bords, bac couvert ou ouvert, modèles autonettoyants, matière : les critères du chat pour un bac qu'il utilise sans réticence, et ce qui explique bien des débordements.",Un bac trop petit ou trop haut suffit à faire fuir un chat. Voici les critères qui comptent vraiment avant d'acheter.,"cluster-litiere-chat, bac-litiere-chat, equipement-chat",articles/cluster-6-litiere-chat/choisir-bac-litiere-chat.html,PROMPTS-IMAGES_CH6_litiere-chat.md,5,2
6,cluster-litiere-chat,SAT01,choisir-litiere-chat,litiere-proprete-chat,Quelle litière choisir pour son chat,Quelle litière choisir pour son chat | Gus & Frost,"Agglomérante, minérale, végétale, silice : ce que vaut chaque famille, le profil de substrat que la plupart des chats préfèrent, l'épaisseur à viser et le test qui laisse le vôtre trancher.","La litière est vendue à votre nez, pas à celui de votre chat. Voici comment choisir un substrat qu'il acceptera durablement.","cluster-litiere-chat, litiere-chat, substrat-litiere",articles/cluster-6-litiere-chat/choisir-litiere-chat.html,PROMPTS-IMAGES_CH6_litiere-chat.md,5,2
6,cluster-litiere-chat,SAT04,combien-bacs-litiere-chat,litiere-proprete-chat,Combien de bacs à litière : la règle n+1,Combien de bacs à litière pour un chat | Gus & Frost,"Pourquoi prévoir deux bacs même pour un chat unique, comment se calcule la règle n+1 issue du consensus vétérinaire, et pourquoi répartir les bacs compte autant que les multiplier.","Deux bacs côte à côte n'en font qu'un aux yeux du chat. Voici combien de bacs prévoir, et surtout où les répartir.","cluster-litiere-chat, nombre-bacs-litiere, regle-n-plus-1",articles/cluster-6-litiere-chat/combien-bacs-litiere-chat.html,PROMPTS-IMAGES_CH6_litiere-chat.md,5,2
6,cluster-litiere-chat,SAT08,elimination-inappropriee-chat,litiere-proprete-chat,L'élimination inappropriée : aversion et préférence,L'élimination inappropriée chez le chat | Gus & Frost,"Le chat s'accroupit et dépose un volume normal hors du bac : reconnaître ce cas, écarter la cause médicale, puis démêler l'aversion du bac de la préférence pour un autre lieu ou un autre support.","Votre chat semble avoir choisi de faire ailleurs. Voici les deux ressorts possibles, et les réglages à revoir pour l'y ramener.","cluster-litiere-chat, elimination-inappropriee, aversion-bac-litiere",articles/cluster-6-litiere-chat/elimination-inappropriee-chat.html,PROMPTS-IMAGES_CH6_litiere-chat.md,7,2
6,cluster-litiere-chat,SAT05,entretenir-litiere-chat,litiere-proprete-chat,Entretenir la litière de son chat,Comment entretenir la litière de son chat | Gus & Frost,"Retrait quotidien des amas, quantité de litière à maintenir, rythme de renouvellement et de lavage du bac, produits à éviter : la routine qui garde le coin toilette attractif pour le chat.",Un bac négligé fait fuir un chat propre. Voici la routine d'entretien quotidienne et les erreurs qui découragent le vôtre.,"cluster-litiere-chat, entretien-litiere, hygiene-chat",articles/cluster-6-litiere-chat/entretenir-litiere-chat.html,PROMPTS-IMAGES_CH6_litiere-chat.md,5,2
6,cluster-litiere-chat,SAT12,idees-recues-litiere-chat,litiere-proprete-chat,Idées reçues et erreurs de litière,Litière du chat : les idées reçues | Gus & Frost,"Litière parfumée, bac couvert obligatoire, changement brutal de marque, chat qui se vengerait, punition : cinq croyances répandues confrontées à l'observation et aux recommandations vétérinaires.",Ces conseils de litière semblent tomber sous le sens. Voici cinq idées reçues qui poussent à faire l'inverse de ce qui aide.,"cluster-litiere-chat, idees-recues-chat, erreurs-litiere",articles/cluster-6-litiere-chat/idees-recues-litiere-chat.html,PROMPTS-IMAGES_CH6_litiere-chat.md,9,2
6,cluster-litiere-chat,SAT11,litiere-chat-age-senior,litiere-proprete-chat,La litière du chat âgé,La litière du chat âgé : adapter le bac | Gus & Frost,"Souplesse qui diminue, arthrose souvent silencieuse : pourquoi un chat âgé se met à faire à côté, et comment adapter les bords du bac, sa taille et son emplacement pour lui faciliter l'accès.","Un chat âgé ne devient pas malpropre par négligence. Voici l'obstacle qu'il rencontre, et comment lui simplifier l'accès.","cluster-litiere-chat, chat-senior, arthrose-chat",articles/cluster-6-litiere-chat/litiere-chat-age-senior.html,PROMPTS-IMAGES_CH6_litiere-chat.md,4,2
6,cluster-litiere-chat,SAT10,litiere-chaton-apprentissage,litiere-proprete-chat,La litière du chaton : l'apprentissage,La litière du chaton : l'apprentissage | Gus & Frost,"L'usage de la litière est largement instinctif chez le chaton : à quel âge il apparaît, quel bac et quelle litière choisir, où poser le bac les premiers jours et quoi faire en cas d'oubli.",Il n'y a presque rien à apprendre à un chaton. Voici comment lui faciliter la tâche pour que l'instinct fasse le reste.,"cluster-litiere-chat, litiere-chaton, apprentissage-proprete",articles/cluster-6-litiere-chat/litiere-chaton-apprentissage.html,PROMPTS-IMAGES_CH6_litiere-chat.md,4,2
