cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
9,cluster-chaton-chat,PILIER,accueillir-chaton,,Accueillir un chaton : le guide complet des premiers mois,Accueillir un chaton : guide des premiers mois | Gus & Frost,"Arrivée, adaptation, socialisation, jeu, dentition, repas, sommeil et premier parcours vétérinaire : la carte complète des premiers mois d'un chaton, et les signes qui imposent de consulter vite.","Vous venez d'accueillir un chaton et les questions se bousculent. Voici la carte des premiers mois, dans l'ordre où cela compte.","cluster-chaton-chat, accueillir-chaton, premiers-mois-chaton",articles/cluster-9-chaton-chat/accueillir-chaton.html,PROMPTS-IMAGES_CH9_chaton-chat.md,20,3
9,cluster-chaton-chat,SAT09,alimentation-chaton,accueillir-chaton,L'alimentation du chaton : les bases pour bien démarrer,L'alimentation du chaton : bien démarrer | Gus & Frost,"Aliment de croissance, repas fractionnés, transition progressive, eau à l'écart de la gamelle, humide et sec, erreurs fréquentes dont le lait de vache, et les signes qui imposent un avis rapide.","Mange-t-il assez ? Voici les principes simples qui suffisent à bien démarrer l'assiette d'un chaton, sans transformer un repas en calcul.","cluster-chaton-chat, alimentation-chaton, repas-chaton",articles/cluster-9-chaton-chat/alimentation-chaton.html,PROMPTS-IMAGES_CH9_chaton-chat.md,5,2
9,cluster-chaton-chat,SAT08,dentition-chaton,accueillir-chaton,"La dentition du chaton : poussées, mordillements et dents de lait",La dentition du chaton : les dents de lait | Gus & Frost,"Les deux dentitions du chat, le calendrier en repères souples, les mordillements de poussée, les dents de lait introuvables, les soins de la bouche et les signes qui doivent alerter.","Votre chaton mordille tout ce qui passe. Voici ce qui se joue dans sa bouche ces semaines-là, et les rares signes qui méritent un avis.","cluster-chaton-chat, dentition-chaton, dents-de-lait-chat",articles/cluster-9-chaton-chat/dentition-chaton.html,PROMPTS-IMAGES_CH9_chaton-chat.md,4,2
9,cluster-chaton-chat,SAT12,erreurs-accueil-chaton,accueillir-chaton,Idées reçues et erreurs à l'arrivée d'un chaton,Erreurs à l'arrivée d'un chaton : idées reçues | Gus & Frost,"Adopter trop jeune, jouer à la main, sortir trop tôt, laisser seul toute la journée, punir, donner du lait : six idées reçues passées au format mythe et réalité, sans jamais juger personne.","Les erreurs d'accueil sont presque toujours des erreurs d'affection. Voici six idées reçues tenaces, et ce que la réalité en dit.","cluster-chaton-chat, erreurs-chaton, idees-recues-chat",articles/cluster-9-chaton-chat/erreurs-accueil-chaton.html,PROMPTS-IMAGES_CH9_chaton-chat.md,7,2
9,cluster-chaton-chat,SAT06,jeu-chaton,accueillir-chaton,"Le jeu du chaton : un besoin, pas un passe-temps","Le jeu du chaton : un besoin, pas un loisir | Gus & Frost","Chasse simulée, évolution du jeu avec l'âge, séances courtes terminées sur une capture, surexcitation, ennui du chaton privé de jeu : comment jouer avec lui et pourquoi cela le construit.","Chez un chaton, jouer n'est pas se distraire : c'est apprendre son métier de chat. Voici le rythme et les gestes qui comblent ce besoin.","cluster-chaton-chat, jeu-chaton, chasse-simulee",articles/cluster-9-chaton-chat/jeu-chaton.html,PROMPTS-IMAGES_CH9_chaton-chat.md,6,2
9,cluster-chaton-chat,SAT05,manipuler-habituer-chaton,accueillir-chaton,"Habituer son chaton aux manipulations, au transport et aux soins",Habituer son chaton aux manipulations | Gus & Frost,"Toucher tout le corps, apprivoiser la brosse, faire du transporteur un allié, aborder la voiture : la méthode par petits paliers positifs pour un chat que l'on soigne sans lutte toute sa vie.","Couper une griffe ne devrait jamais tourner à la lutte. Voici comment habituer votre chaton aux soins, par paliers et sans jamais forcer.","cluster-chaton-chat, manipulation-chaton, transporteur-chat",articles/cluster-9-chaton-chat/manipuler-habituer-chaton.html,PROMPTS-IMAGES_CH9_chaton-chat.md,5,2
9,cluster-chaton-chat,SAT07,morsures-griffades-jeu-chaton,accueillir-chaton,Morsures et griffades du jeu : les canaliser sans punir,Morsures du jeu chez le chaton : canaliser | Gus & Frost,"Pourquoi un chaton mord en jouant, ce que la mère et la fratrie lui apprennent, l'erreur de la main-jouet, la redirection vers un jouet et la différence avec une morsure de peur.","Votre chaton vous mordille les mains et vous le croyez agressif. Voici comment rediriger ce jeu, sans souffler dessus ni le gronder.","cluster-chaton-chat, morsure-chaton, griffades-jeu",articles/cluster-9-chaton-chat/morsures-griffades-jeu-chaton.html,PROMPTS-IMAGES_CH9_chaton-chat.md,7,2
9,cluster-chaton-chat,SAT03,premiers-jours-chaton,accueillir-chaton,Les premiers jours d'un chaton à la maison,Les premiers jours d'un chaton à la maison | Gus & Frost,"Pièce refuge, élargissement progressif du territoire, premières nuits, présentation aux enfants : comment accompagner un chaton sans le brusquer, et ce qui n'est pas de la simple timidité.","Votre chaton se cache et vous n'osez plus bouger. Voici comment traverser ces premiers jours en douceur, et ce qui doit vous alerter.","cluster-chaton-chat, premiers-jours-chaton, adaptation-chaton",articles/cluster-9-chaton-chat/premiers-jours-chaton.html,PROMPTS-IMAGES_CH9_chaton-chat.md,7,2
9,cluster-chaton-chat,SAT01,preparer-arrivee-chaton,accueillir-chaton,Préparer l'arrivée d'un chaton : le matériel essentiel,Préparer l'arrivée d'un chaton : le matériel | Gus & Frost,"Couchage, gamelles, bac à litière à bords bas, griffoir, transporteur, jouets et pièce refuge : ce qu'il faut réunir avant le jour J et comment répartir ces ressources dans le logement.",Un chaton arrive bientôt chez vous. Voici le matériel à réunir avant le jour J et la façon de l'installer pour lui offrir un cadre lisible.,"cluster-chaton-chat, materiel-chaton, arrivee-chaton",articles/cluster-9-chaton-chat/preparer-arrivee-chaton.html,PROMPTS-IMAGES_CH9_chaton-chat.md,7,2
9,cluster-chaton-chat,SAT10,sante-chaton-premier-veterinaire,accueillir-chaton,La santé du chaton et le premier parcours vétérinaire,Santé du chaton : le premier vétérinaire | Gus & Frost,"Première visite, vaccination, vermifuge et antiparasitaires, identification par puce, stérilisation à venir : le principe de chaque étape, dont le détail se décide avec le vétérinaire.","Le premier parcours de soins n'est pas une épreuve. Voici à quoi sert chaque étape, et les signes qui imposent de consulter sans attendre.","cluster-chaton-chat, sante-chaton, vaccination-chaton",articles/cluster-9-chaton-chat/sante-chaton-premier-veterinaire.html,PROMPTS-IMAGES_CH9_chaton-chat.md,4,2
