num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
1,1.png,hero-langage-du-chat.png,langage-du-chat,PILIER,hero,"Un chat assis de profil, attentif, oreilles dressées et queue enroulée autour des pattes, lumière naturelle."
2,2.png,langage-du-chat-2.png,langage-du-chat,PILIER,secondaire,"Gros plan sur le visage d'un chat aux yeux mi-clos, expression douce et détendue."
3,3.png,langage-du-chat-3.png,langage-du-chat,PILIER,secondaire,"Un chat qui se frotte la joue contre le coin d'un meuble en bois, ambiance chaleureuse d'intérieur."
4,4.png,hero-queue-chat-signification.png,queue-chat-signification,SAT01,hero,"Un chat qui s'avance vers la caméra, queue dressée bien verticale avec le bout recourbé, allure joyeuse."
5,5.png,queue-chat-signification-2.png,queue-chat-signification,SAT01,secondaire,"Un chat vu de dos, queue dressée qui vibre légèrement, tourné vers une gamelle ou vers son humain."
6,6.png,hero-oreilles-chat-emotions.png,oreilles-chat-emotions,SAT02,hero,"Portrait d'un chat aux oreilles bien dressées et orientées vers l'avant, regard curieux et attentif."
7,7.png,oreilles-chat-emotions-2.png,oreilles-chat-emotions,SAT02,secondaire,"Un chat aux oreilles couchées en arrière contre la tête, posture légèrement reculée, expression méfiante."
8,8.png,hero-clignement-lent-chat.png,clignement-lent-chat,SAT03,hero,"Un chat allongé confortablement qui fixe doucement l'objectif, les yeux à demi fermés dans un clignement lent."
9,9.png,clignement-lent-chat-2.png,clignement-lent-chat,SAT03,secondaire,"Une personne assise face à son chat, tous deux les yeux mi-clos, échange de clignements lents dans une ambiance calme."
10,10.png,hero-ronronnement-chat-signification.png,ronronnement-chat-signification,SAT04,hero,"Un chat lové sur les genoux de son humain, yeux mi-clos, dans une posture de ronronnement de bien-être."
11,11.png,ronronnement-chat-signification-2.png,ronronnement-chat-signification,SAT04,secondaire,"Un chat au corps un peu tassé qui ronronne seul dans un coin, ambiance plus feutrée, posture à surveiller."
12,12.png,hero-miaulements-chat-comprendre.png,miaulements-chat-comprendre,SAT05,hero,"Un chat la gueule ouverte en plein miaulement, tourné vers son humain, dans une cuisine."
13,13.png,miaulements-chat-comprendre-2.png,miaulements-chat-comprendre,SAT05,secondaire,"Un chat posté à la fenêtre qui gazouille devant un oiseau, corps tendu vers la vitre."
14,14.png,hero-vibrisses-moustaches-chat.png,vibrisses-moustaches-chat,SAT06,hero,Gros plan latéral sur le museau d'un chat mettant en valeur ses longues vibrisses déployées.
15,15.png,vibrisses-moustaches-chat-2.png,vibrisses-moustaches-chat,SAT06,secondaire,"Un chat qui mange dans une gamelle large et peu profonde, vibrisses détendues et libres."
16,16.png,hero-pupilles-yeux-chat.png,pupilles-yeux-chat,SAT07,hero,"Portrait rapproché d'un chat aux pupilles très dilatées dans une pièce éclairée, expression d'excitation."
17,17.png,pupilles-yeux-chat-2.png,pupilles-yeux-chat,SAT07,secondaire,"Deux chats qui se font face, l'un au regard fixe soutenu, l'autre détournant les yeux, tension palpable."
18,18.png,hero-postures-corps-chat.png,postures-corps-chat,SAT08,hero,"Un chat allongé sur le flanc, pattes étirées, dans un rayon de soleil, parfaitement détendu."
19,19.png,postures-corps-chat-2.png,postures-corps-chat,SAT08,secondaire,"Un chat sur le dos, ventre exposé, dans une posture de confiance, un humain à proximité sans le toucher."
20,20.png,hero-signes-agacement-inconfort-chat.png,signes-agacement-inconfort-chat,SAT09,hero,"Une main caresse un chat dont la queue commence à fouetter et les oreilles à reculer, tension naissante."
21,21.png,signes-agacement-inconfort-chat-2.png,signes-agacement-inconfort-chat,SAT09,secondaire,"Un chat qui se détourne calmement d'une main tendue, choisissant de ne pas interagir, ambiance respectueuse."
22,22.png,hero-marquage-facial-frottements-chat.png,marquage-facial-frottements-chat,SAT10,hero,"Un chat qui frotte vigoureusement sa joue contre l'angle d'un meuble, expression satisfaite."
23,23.png,marquage-facial-frottements-chat-2.png,marquage-facial-frottements-chat,SAT10,secondaire,"Un chat qui donne un coup de tête affectueux contre la main de son humain, échange de confiance."
24,24.png,hero-observer-chat-carnet-signaux.png,observer-chat-carnet-signaux,SAT11,hero,"Une personne observe attentivement son chat installé sur le canapé, regard bienveillant et posé."
25,25.png,observer-chat-carnet-signaux-2.png,observer-chat-carnet-signaux,SAT11,secondaire,"Un carnet d'observation ouvert avec quelques notes, un chat détendu en arrière-plan flou."
26,26.png,hero-idees-recues-langage-chat.png,idees-recues-langage-chat,SAT12,hero,"Un chat au corps un peu tendu qui ronronne, contredisant l'idée que ronron rime toujours avec bonheur."
27,27.png,idees-recues-langage-chat-2.png,idees-recues-langage-chat,SAT12,secondaire,"Un humain et un chat en pleine complicité, échange de regards doux, illustrant une relation bien comprise."
