cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
10,cluster-cohabitation-chat,PILIER,cohabitation-chats-vie-sociale,,"Cohabitation, tensions et vie sociale du chat : comprendre et apaiser",Cohabitation et tensions entre chats | Gus & Frost,"Sociabilité réelle du chat, conflits, agression redirigée, seuil de tolérance : le guide complet pour comprendre les tensions, sécuriser le foyer et savoir quand consulter.",Un chat qui feule ou mord n'est ni méchant ni dominant : il réagit. Voici comment lire ces situations et sécuriser votre foyer.,"cluster-cohabitation-chat, cohabitation-chats, agression-chat",articles/cluster-10-cohabitation-chat/cohabitation-chats-vie-sociale.html,PROMPTS-IMAGES_CH10_cohabitation-chat.md,18,3
10,cluster-cohabitation-chat,SAT04,agression-redirigee-chat,cohabitation-chats-vie-sociale,L'agression redirigée chez le chat : comprendre et sécuriser,L'agression redirigée chez le chat | Gus & Frost,"Un chat déclenché par un stimulus inaccessible reporte son agression sur un proche. Le mécanisme, les gestes de sécurité, et pourquoi ne jamais toucher un chat en état d'excitation.",La cible n'a rien fait : elle était simplement là. Voici comment reconnaître une agression redirigée et quoi faire dans l'instant.,"cluster-cohabitation-chat, agression-redirigee-chat, securite-chat",articles/cluster-10-cohabitation-chat/agression-redirigee-chat.html,PROMPTS-IMAGES_CH10_cohabitation-chat.md,8,2
10,cluster-cohabitation-chat,SAT08,amenager-ressources-tensions-chats,cohabitation-chats-vie-sociale,Aménager les ressources pour apaiser les tensions entre chats,Aménager les ressources entre chats | Gus & Frost,"La réponse aux tensions n'est pas comportementale mais matérielle : multiplier et répartir gamelles, litières, couchages, hauteurs et points de retrait. Le levier le mieux documenté.",Beaucoup de conflits entre chats naissent d'une compétition pour des ressources rares. Voici comment organiser l'espace pour les désamorcer.,"cluster-cohabitation-chat, ressources-chats, amenagement-territoire-chat",articles/cluster-10-cohabitation-chat/amenager-ressources-tensions-chats.html,PROMPTS-IMAGES_CH10_cohabitation-chat.md,7,2
10,cluster-cohabitation-chat,SAT07,chat-et-arrivee-bebe,cohabitation-chats-vie-sociale,"Chat et bébé : sécurité, hygiène et toxoplasmose",Chat et bébé : sécurité et toxoplasmose | Gus & Frost,"Se séparer du chat n'est jamais la réponse. Ce que dit la santé publique sur la toxoplasmose, les gestes d'hygiène pendant la grossesse, et la sécurité au quotidien une fois le bébé là.","Non, l'arrivée d'un bébé n'oblige pas à se séparer du chat. Voici ce que dit vraiment le risque sanitaire, et comment préparer la maison.","cluster-cohabitation-chat, chat-arrivee-bebe, toxoplasmose-chat",articles/cluster-10-cohabitation-chat/chat-et-arrivee-bebe.html,PROMPTS-IMAGES_CH10_cohabitation-chat.md,4,2
10,cluster-cohabitation-chat,SAT06,cohabitation-chat-chien,cohabitation-chats-vie-sociale,Faire cohabiter un chat et un chien,Faire cohabiter un chat et un chien | Gus & Frost,"Deux espèces qui ne parlent pas la même langue peuvent très bien s'entendre. Présentation supervisée, espaces de repli en hauteur, ressources séparées : ce qui fait la réussite.","Chat et chien cohabitent souvent très bien, mais rarement par hasard. Voici comment préparer la rencontre et sécuriser le quotidien.","cluster-cohabitation-chat, cohabitation-chat-chien, presentation-chat-chien",articles/cluster-10-cohabitation-chat/cohabitation-chat-chien.html,PROMPTS-IMAGES_CH10_cohabitation-chat.md,4,2
10,cluster-cohabitation-chat,SAT03,conflits-entre-chats-foyer,cohabitation-chats-vie-sociale,Conflits entre chats du foyer : les repérer et les désamorcer,Conflits entre chats du même foyer | Gus & Frost,"La forme de conflit la plus répandue ne fait aucun bruit : blocages d'accès, regards fixes, évitement. Comment repérer la tension silencieuse, la désamorcer, et quand consulter.","Un conflit entre chats se voit rarement. Voici comment repérer la tension silencieuse qui s'installe, et par quoi commencer pour l'apaiser.","cluster-cohabitation-chat, conflits-chats, tension-silencieuse-chat",articles/cluster-10-cohabitation-chat/conflits-entre-chats-foyer.html,PROMPTS-IMAGES_CH10_cohabitation-chat.md,9,2
10,cluster-cohabitation-chat,SAT11,consulter-comportementaliste-chat,cohabitation-chats-vie-sociale,Quand consulter un vétérinaire comportementaliste pour son chat,Consulter un comportementaliste chat | Gus & Frost,"On commence toujours par le vétérinaire : chez le chat, une agression nouvelle est souvent d'origine douloureuse. Quels signaux imposent la consultation, vers qui aller, comment ça se passe.","Attendre trop longtemps est l'erreur la plus fréquente. Voici les signaux qui imposent un avis professionnel, et par qui commencer.","cluster-cohabitation-chat, comportementaliste-chat, consultation-veterinaire-chat",articles/cluster-10-cohabitation-chat/consulter-comportementaliste-chat.html,PROMPTS-IMAGES_CH10_cohabitation-chat.md,6,2
10,cluster-cohabitation-chat,SAT12,idees-recues-agression-cohabitation-chat,cohabitation-chats-vie-sociale,Idées reçues sur l'agression et la cohabitation entre chats,Idées reçues : agression et cohabitation | Gus & Frost,"« Il est jaloux », « il veut dominer », « ils s'habitueront seuls » : chaque croyance oriente l'action dans la mauvaise direction. Les mythes corrigés, sans punition ni recadrage.",Croire qu'un chat domine ou se venge coûte cher en tensions installées. Voici ce que disent vraiment ces situations.,"cluster-cohabitation-chat, idees-recues-agression-chat, mythes-cohabitation-chat",articles/cluster-10-cohabitation-chat/idees-recues-agression-cohabitation-chat.html,PROMPTS-IMAGES_CH10_cohabitation-chat.md,7,2
10,cluster-cohabitation-chat,SAT09,jeu-brutal-jeune-chat,cohabitation-chats-vie-sociale,Le jeu trop brutal du jeune chat : canaliser sans punir,Canaliser le jeu brutal du jeune chat | Gus & Frost,"Ce que l'on prend pour de l'agression est presque toujours du jeu de prédation. Comment distinguer les deux, rediriger vers des jouets, et pourquoi ne jamais jouer à la main.","Votre chaton ne vous en veut pas : il chasse. Voici comment canaliser ces bonds sans le punir, et vers quoi rediriger son énergie.","cluster-cohabitation-chat, jeu-brutal-chaton, jeu-predation-chat",articles/cluster-10-cohabitation-chat/jeu-brutal-jeune-chat.html,PROMPTS-IMAGES_CH10_cohabitation-chat.md,4,2
10,cluster-cohabitation-chat,SAT10,peur-agression-defensive-chat,cohabitation-chats-vie-sociale,Quand la peur bascule en agression défensive,Peur et agression défensive du chat | Gus & Frost,"Un chat acculé attaque en dernier recours, après avoir tenté de fuir puis de se figer. Comment lire la peur, ne jamais bloquer la fuite, sécuriser, et à quel moment consulter.",Ce chat n'attaque pas par rancune : on lui a retiré sa porte de sortie. Voici comment lire la peur et lui rendre une issue.,"cluster-cohabitation-chat, agression-defensive-chat, peur-chat",articles/cluster-10-cohabitation-chat/peur-agression-defensive-chat.html,PROMPTS-IMAGES_CH10_cohabitation-chat.md,6,2
