cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
19,cluster-chaton-socialisation-chat,PILIER,socialisation-chaton,,La socialisation du chaton : le guide complet,La socialisation du chaton : le guide,"Fenêtre sensible, exposition positive, méthode sans forcer, rattrapage et réflexe vétérinaire : tout comprendre pour un chat adulte confiant.","Les premières semaines façonnent le chat adulte. Voici comment accompagner la socialisation de votre chaton, sans jamais le brusquer.","cluster-chaton-socialisation-chat, socialisation-chaton, fenetre-sensible-chaton",articles/cluster-19-chaton-socialisation-chat/socialisation-chaton.html,PROMPTS-IMAGES_CH19_chaton-socialisation-chat.md,18,3
19,cluster-chaton-socialisation-chat,SAT10,adopter-un-ou-deux-chatons,socialisation-chaton,Adopter un ou deux chatons ?,Faut-il adopter un ou deux chatons ?,"Un seul chaton ou deux ? Ce que change un compagnon de portée sur le jeu, l'énergie et le développement social, et comment peser ce choix sans idée reçue.","Un chaton ou deux ? Voici ce qu'un compagnon de portée apporte, ce qu'il ne règle pas, et comment décider selon votre foyer.","cluster-chaton-socialisation-chat, adopter-deux-chatons, developpement-social-chaton",articles/cluster-19-chaton-socialisation-chat/adopter-un-ou-deux-chatons.html,PROMPTS-IMAGES_CH19_chaton-socialisation-chat.md,6,2
19,cluster-chaton-socialisation-chat,SAT05,chaton-autres-animaux-socialisation,socialisation-chaton,Socialiser son chaton aux autres animaux,Socialiser son chaton aux autres animaux,"Exposer un chaton au chien du foyer ou à un autre chat pendant la fenêtre sensible, dans le calme et sans forcer : les bases d'une rencontre sereine.","Chien ou autre chat à la maison ? Voici comment poser des bases sereines pendant la fenêtre, sans jamais forcer la rencontre.","cluster-chaton-socialisation-chat, chaton-autres-animaux, chaton-chien",articles/cluster-19-chaton-socialisation-chat/chaton-autres-animaux-socialisation.html,PROMPTS-IMAGES_CH19_chaton-socialisation-chat.md,6,2
19,cluster-chaton-socialisation-chat,SAT08,chaton-caresses-contact-positif,socialisation-chaton,"Le chaton, les caresses et le contact positif",Chaton : caresses et contact positif,"Où et comment caresser un chaton, quelles zones éviter, comment lire ses signaux pour s'arrêter à temps : construire la confiance par le contact.","Bien caresser un chaton, cela s'apprend. Voici les bonnes zones, les signaux à lire, et comment bâtir la confiance sans excès.","cluster-chaton-socialisation-chat, caresses-chaton, contact-positif-chat",articles/cluster-19-chaton-socialisation-chat/chaton-caresses-contact-positif.html,PROMPTS-IMAGES_CH19_chaton-socialisation-chat.md,6,2
19,cluster-chaton-socialisation-chat,SAT09,chaton-timide-gagner-confiance,socialisation-chaton,Chaton timide : l'aider à gagner en confiance,Chaton timide : gagner en confiance,"Refuge, patience et petits paliers pour aider un chaton réservé à s'ouvrir, et savoir distinguer la timidité d'une peur installée à confier à un pro.","Un chaton réservé n'est pas un chaton malheureux. Voici comment l'aider à gagner en confiance, à son rythme et sans le forcer.","cluster-chaton-socialisation-chat, chaton-timide, confiance-chaton",articles/cluster-19-chaton-socialisation-chat/chaton-timide-gagner-confiance.html,PROMPTS-IMAGES_CH19_chaton-socialisation-chat.md,5,2
19,cluster-chaton-socialisation-chat,SAT12,erreurs-socialisation-chaton,socialisation-chaton,Les erreurs de socialisation du chaton,Les erreurs de socialisation du chaton,"Trop tard, isoler pour protéger, forcer pour habituer : six idées reçues sur la socialisation du chaton passées au format mythe et réalité.","Isoler un chaton pour le protéger ? Le forcer pour l'habituer ? Voici six idées reçues sur la socialisation, et ce qu'en dit la réalité.","cluster-chaton-socialisation-chat, erreurs-socialisation-chaton, idees-recues-chaton",articles/cluster-19-chaton-socialisation-chat/erreurs-socialisation-chaton.html,PROMPTS-IMAGES_CH19_chaton-socialisation-chat.md,5,2
19,cluster-chaton-socialisation-chat,SAT02,fenetre-socialisation-chaton-age,socialisation-chaton,La fenêtre de socialisation du chaton : à quel âge ?,Fenêtre de socialisation du chaton : l'âge,"Entre deux et sept semaines, jusque vers neuf ou dix : ce qu'est la période sensible, pourquoi elle est souvent déjà passée, et ce qui reste possible.","À quel âge un chaton se socialise-t-il ? Voici la période sensible, ses limites, et pourquoi rien n'est joué quand elle est passée.","cluster-chaton-socialisation-chat, fenetre-socialisation-chaton, periode-sensible-chat",articles/cluster-19-chaton-socialisation-chat/fenetre-socialisation-chaton-age.html,PROMPTS-IMAGES_CH19_chaton-socialisation-chat.md,5,2
19,cluster-chaton-socialisation-chat,SAT06,habituer-chaton-transport,socialisation-chaton,Habituer son chaton au transport : caisse et voiture,Habituer son chaton à la caisse et voiture,Rendre la caisse de transport familière et dédramatiser la voiture par paliers : la méthode pour des trajets et des rendez-vous vétérinaires sereins.,"Le transporteur ne devrait pas rimer avec panique. Voici comment habituer votre chaton à la caisse et à la voiture, sans stress.","cluster-chaton-socialisation-chat, chaton-transport, transporteur-chat",articles/cluster-19-chaton-socialisation-chat/habituer-chaton-transport.html,PROMPTS-IMAGES_CH19_chaton-socialisation-chat.md,5,2
19,cluster-chaton-socialisation-chat,SAT07,habituer-chaton-visiteurs,socialisation-chaton,Habituer son chaton aux visiteurs,Habituer son chaton aux invités et visites,"Gérer les visites sans stresser un chaton : laisser le contact venir de lui, briefer les invités, garder un refuge. La méthode pour des visites sereines.","Votre chaton se cache dès qu'on sonne ? Voici comment gérer les visites, sans jamais forcer le contact avec vos invités.","cluster-chaton-socialisation-chat, chaton-visiteurs, chaton-invites",articles/cluster-19-chaton-socialisation-chat/habituer-chaton-visiteurs.html,PROMPTS-IMAGES_CH19_chaton-socialisation-chat.md,5,2
19,cluster-chaton-socialisation-chat,SAT01,manipuler-habituer-chaton,socialisation-chaton,"Habituer son chaton aux manipulations, aux soins et au transport",Habituer son chaton aux manipulations,"Toucher tout le corps, apprivoiser la brosse et le transporteur, aborder la voiture : la méthode par petits paliers pour un chat facile à soigner.","Couper une griffe ne devrait jamais tourner à la lutte. Voici comment habituer votre chaton aux soins, par paliers et sans forcer.","cluster-chaton-socialisation-chat, manipulation-chaton, transporteur-chat",articles/cluster-19-chaton-socialisation-chat/manipuler-habituer-chaton.html,PROMPTS-IMAGES_CH19_chaton-socialisation-chat.md,7,2
19,cluster-chaton-socialisation-chat,SAT11,socialisation-chaton-refuge-eleveur,socialisation-chaton,La socialisation du chaton en refuge et chez l'éleveur,"Socialisation du chaton : refuge, éleveur","La fenêtre sensible se joue avant l'adoption : ce que change le lieu d'élevage, quoi observer et demander à l'éleveur ou au refuge avant d'adopter.",Le chat de demain se prépare avant l'adoption. Voici quoi observer et demander à l'éleveur ou au refuge pour bien choisir.,"cluster-chaton-socialisation-chat, chaton-refuge, chaton-eleveur",articles/cluster-19-chaton-socialisation-chat/socialisation-chaton-refuge-eleveur.html,PROMPTS-IMAGES_CH19_chaton-socialisation-chat.md,4,2
19,cluster-chaton-socialisation-chat,SAT04,socialiser-chaton-bruits-maison,socialisation-chaton,Habituer son chaton aux bruits de la maison,Habituer son chaton aux bruits maison,"Aspirateur, sonnette, télévision : désensibiliser un chaton aux bruits du foyer par la distance, le volume et l'association positive, sans le brusquer.","Votre chaton sursaute à l'aspirateur ? Voici comment l'habituer aux bruits de la maison, en douceur et par petits paliers.","cluster-chaton-socialisation-chat, chaton-bruits, desensibilisation-chat",articles/cluster-19-chaton-socialisation-chat/socialiser-chaton-bruits-maison.html,PROMPTS-IMAGES_CH19_chaton-socialisation-chat.md,5,2
19,cluster-chaton-socialisation-chat,SAT03,socialiser-chaton-humains,socialisation-chaton,Socialiser son chaton aux humains,Socialiser son chaton aux gens et enfants,"Exposer un chaton à des personnes variées, hommes, femmes, enfants, sans jamais forcer le contact : la méthode pour un chat sociable et confiant.","Un chaton apprend à faire confiance aux gens un à un. Voici comment lui présenter des personnes variées, sans jamais le forcer.","cluster-chaton-socialisation-chat, socialiser-chaton-humains, chaton-enfants",articles/cluster-19-chaton-socialisation-chat/socialiser-chaton-humains.html,PROMPTS-IMAGES_CH19_chaton-socialisation-chat.md,5,2
