cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
7,cluster-soins-toilettage,PILIER,soins-toilettage-chien,,Soins et toilettage du chien : le guide complet pour des soins sans stress,Soins et toilettage du chien : le guide complet | Gus & Frost,"Brossage, griffes, bain, oreilles, dents, visite chez le vétérinaire : apprenez à prendre soin de votre chien en douceur, sans le forcer ni le stresser.",Prendre soin de son chien ne devrait jamais tourner à la lutte. Voici comment transformer chaque geste de soin en un moment de confiance partagée.,"cluster-soins-toilettage, soins-chien, toilettage-chien",articles/cluster-7-soins-toilettage/soins-toilettage-chien.html,PROMPTS-IMAGES_C7_soins-toilettage.md,15,3
7,cluster-soins-toilettage,SAT01,soins-cooperatifs-chien,soins-toilettage-chien,Les soins coopératifs : soigner son chien avec son consentement,Soins coopératifs du chien : soigner sans forcer | Gus & Frost,Les soins coopératifs apprennent à votre chien à participer à ses soins plutôt qu'à les subir. Découvrez les principes et les premiers exercices à mettre en place.,"Imaginez un chien qui participe à ses soins au lieu de les subir. Les soins coopératifs remplacent la contrainte par la coopération, geste après geste.","cluster-soins-toilettage, soins-cooperatifs, consentement-chien",articles/cluster-7-soins-toilettage/soins-cooperatifs-chien.html,PROMPTS-IMAGES_C7_soins-toilettage.md,5,2
7,cluster-soins-toilettage,SAT02,habituer-chien-manipulation,soins-toilettage-chien,"Habituer son chien à être manipulé : pattes, oreilles, gueule",Habituer son chien à la manipulation | Gus & Frost,"Un chien habitué à être touché partout accepte mieux ses soins. Méthode progressive pour manipuler pattes, oreilles et gueule sans créer de tension.","Toucher les pattes, soulever une oreille, regarder les dents : ces gestes s'apprennent. Voici comment habituer votre chien à la manipulation, en douceur.","cluster-soins-toilettage, manipulation-chien, desensibilisation",articles/cluster-7-soins-toilettage/habituer-chien-manipulation.html,PROMPTS-IMAGES_C7_soins-toilettage.md,6,2
7,cluster-soins-toilettage,SAT03,brosser-chien-poil,soins-toilettage-chien,Brosser son chien : à quelle fréquence et avec quelle brosse,"Brosser son chien : fréquence, brosse, méthode | Gus & Frost","Poil court, long, double ou frisé : chaque pelage a ses besoins. Choisissez la bonne brosse et la bonne fréquence pour un brossage efficace et agréable.","Un bon brossage dépend d'abord du type de poil. Voici comment choisir votre brosse, la bonne fréquence et une méthode que votre chien finit par apprécier.","cluster-soins-toilettage, brossage-chien, entretien-poil",articles/cluster-7-soins-toilettage/brosser-chien-poil.html,PROMPTS-IMAGES_C7_soins-toilettage.md,4,2
7,cluster-soins-toilettage,SAT04,couper-griffes-chien,soins-toilettage-chien,Couper les griffes de son chien sans stress,Couper les griffes de son chien sans stress | Gus & Frost,"La coupe de griffes inquiète beaucoup de chiens. Repérez la limite à ne pas dépasser, le bon matériel et la progression pour y arriver sereinement.","La coupe de griffes est souvent un moment redouté. En comprenant où couper et en avançant par étapes, elle devient un geste rapide et sans appréhension.","cluster-soins-toilettage, coupe-griffes, soins-pattes",articles/cluster-7-soins-toilettage/couper-griffes-chien.html,PROMPTS-IMAGES_C7_soins-toilettage.md,5,2
7,cluster-soins-toilettage,SAT05,bain-chien,soins-toilettage-chien,"Donner le bain à son chien : quand, à quelle fréquence et comment",Donner le bain à son chien : le guide complet | Gus & Frost,"Trop de bains abîment la peau du chien. Découvrez la fréquence adaptée, le bon shampooing et une méthode pour un bain calme, du mouillage au séchage.","Faut-il vraiment laver son chien souvent ? Voici la fréquence qui respecte sa peau, le bon produit et une méthode pour un bain sans panique ni bataille.","cluster-soins-toilettage, bain-chien, hygiene-chien",articles/cluster-7-soins-toilettage/bain-chien.html,PROMPTS-IMAGES_C7_soins-toilettage.md,6,2
7,cluster-soins-toilettage,SAT06,nettoyer-oreilles-chien,soins-toilettage-chien,Nettoyer les oreilles de son chien en toute sécurité,Nettoyer les oreilles de son chien | Gus & Frost,"Des oreilles propres préviennent bien des infections. Apprenez à repérer une oreille saine, à utiliser un nettoyant adapté et les gestes à ne jamais faire.","Une oreille qui sent mauvais ou qui gratte mérite attention. Voici comment nettoyer les oreilles de votre chien sans risque, et quand consulter le vétérinaire.","cluster-soins-toilettage, oreilles-chien, hygiene-chien",articles/cluster-7-soins-toilettage/nettoyer-oreilles-chien.html,PROMPTS-IMAGES_C7_soins-toilettage.md,7,2
7,cluster-soins-toilettage,SAT07,hygiene-dentaire-chien,soins-toilettage-chien,L'hygiène dentaire du chien : prévenir le tartre au quotidien,Hygiène dentaire du chien : prévenir le tartre | Gus & Frost,"Le tartre s'installe vite et pèse sur la santé générale du chien. Brossage des dents, alternatives et bons réflexes pour préserver sa bouche au quotidien.","La bouche du chien se néglige facilement, jusqu'à ce que le tartre s'installe. Voici les gestes simples qui préservent ses dents et sa santé sur le long terme.","cluster-soins-toilettage, hygiene-dentaire, sante-chien",articles/cluster-7-soins-toilettage/hygiene-dentaire-chien.html,PROMPTS-IMAGES_C7_soins-toilettage.md,7,2
7,cluster-soins-toilettage,SAT08,soin-coussinets-pattes-chien,soins-toilettage-chien,Prendre soin des coussinets et des pattes de son chien,Soin des coussinets et des pattes du chien | Gus & Frost,"Chaleur, sel de déneigement, coupures : les coussinets sont exposés toute l'année. Découvrez comment les inspecter, les protéger et les entretenir.","Les coussinets encaissent le bitume brûlant, le sel et les cailloux. Voici comment vérifier les pattes de votre chien et les garder saines en toute saison.","cluster-soins-toilettage, coussinets-chien, soins-pattes",articles/cluster-7-soins-toilettage/soin-coussinets-pattes-chien.html,PROMPTS-IMAGES_C7_soins-toilettage.md,4,2
7,cluster-soins-toilettage,SAT09,chien-visite-veterinaire,soins-toilettage-chien,Préparer la visite chez le vétérinaire pour un chien serein,Préparer la visite chez le vétérinaire | Gus & Frost,"Beaucoup de chiens redoutent le vétérinaire. Préparez la salle d'attente, le transport et la consultation pour un rendez-vous nettement plus calme.",La salle d'attente fait grimper le stress de bien des chiens. Voici comment préparer la visite chez le vétérinaire pour qu'elle se passe le plus calmement possible.,"cluster-soins-toilettage, visite-veterinaire, stress-chien",articles/cluster-7-soins-toilettage/chien-visite-veterinaire.html,PROMPTS-IMAGES_C7_soins-toilettage.md,6,2
