cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
3,cluster-craintif-chat,PILIER,chat-craintif,,Le chat craintif : comprendre et apaiser ses peurs,Chat craintif : comprendre et apaiser ses peurs | Gus & Frost,"Pourquoi la peur est une émotion normale, comment la reconnaître, les deux règles d'or (ne jamais forcer, ne jamais punir), le réflexe médical et par où commencer : le guide du chat craintif.","Votre chat file sous le canapé au moindre bruit. Voici d'où vient sa peur et comment l'aider à retrouver confiance, à son rythme.","cluster-craintif-chat, chat-craintif, peur-du-chat",articles/cluster-3-craintif-chat/chat-craintif.html,PROMPTS-IMAGES_CH3_craintif-chat.md,23,3
3,cluster-craintif-chat,SAT09,chat-craintif-adopte,chat-craintif,Accompagner un chat craintif adopté,Accompagner un chat craintif adopté | Gus & Frost,"Pièce refuge, règle du laisser-venir, paliers progressifs, élargissement du territoire : comment aider un chat de refuge ou peu socialisé à reprendre confiance, sans jamais le forcer ni le punir.","Votre chat adopté se terre depuis son arrivée. Voici la marche à suivre, jour après jour, pour qu'il vienne à vous de lui-même.","cluster-craintif-chat, chat-adopte, confiance-chat",articles/cluster-3-craintif-chat/chat-craintif-adopte.html,PROMPTS-IMAGES_CH3_craintif-chat.md,7,2
3,cluster-craintif-chat,SAT05,chat-peur-bruits,chat-craintif,"La peur des bruits chez le chat : feux d'artifice, orage, aspirateur",Chat qui a peur des bruits : que faire | Gus & Frost,"Feux d'artifice, orage, aspirateur : pourquoi ces bruits effraient tant les chats, comment protéger le vôtre sur le moment sans le brusquer, et comment réduire sa peur dans la durée.","Un claquement, et votre chat disparaît sous le lit. Voici quoi faire sur le moment, et comment apaiser cette peur dans la durée.","cluster-craintif-chat, peur-des-bruits, bruits-forts-chat",articles/cluster-3-craintif-chat/chat-peur-bruits.html,PROMPTS-IMAGES_CH3_craintif-chat.md,4,2
3,cluster-craintif-chat,SAT06,chat-peur-visiteurs-inconnus,chat-craintif,Le chat qui a peur des visiteurs et des inconnus,Chat qui a peur des visiteurs : que faire | Gus & Frost,"Pourquoi votre chat s'évapore dès qu'un invité arrive, comment lui garantir un refuge pendant la visite, quelles consignes donner à vos invités, et quoi faire s'il souffle ou griffe.","Votre chat disparaît dès qu'on sonne à la porte. Voici comment organiser les visites pour qu'il les vive mieux, sans le forcer.","cluster-craintif-chat, peur-des-inconnus, visiteurs-chat",articles/cluster-3-craintif-chat/chat-peur-visiteurs-inconnus.html,PROMPTS-IMAGES_CH3_craintif-chat.md,5,2
3,cluster-craintif-chat,SAT03,chat-qui-se-cache,chat-craintif,Le chat qui se cache et se retire : quand s'inquiéter,Le chat qui se cache : quand s'inquiéter | Gus & Frost,"Se cacher aide le chat à réguler ses émotions : pourquoi aller le chercher est contre-productif, comment aménager plutôt que déloger, et à quoi reconnaître un retrait qui impose de consulter.","Un chat qui se cache prend soin de lui à sa manière. Voici pourquoi c'est sain, et le seul cas où ce retrait doit vous inquiéter.","cluster-craintif-chat, chat-qui-se-cache, cachettes-chat",articles/cluster-3-craintif-chat/chat-qui-se-cache.html,PROMPTS-IMAGES_CH3_craintif-chat.md,5,2
3,cluster-craintif-chat,SAT01,comprendre-peur-chat,chat-craintif,Comprendre la peur chez le chat : mécanisme et origines,Comprendre la peur chez le chat : origines | Gus & Frost,"Comment la peur s'active dans le corps du chat, ce que la socialisation des premières semaines et le tempérament hérité y changent, et où passe la frontière avec la peur problématique.","Si votre chat est peureux, ce n'est ni sa faute ni la vôtre. Voici d'où vient réellement la peur et quand elle cesse d'être normale.","cluster-craintif-chat, peur-du-chat, socialisation-chaton",articles/cluster-3-craintif-chat/comprendre-peur-chat.html,PROMPTS-IMAGES_CH3_craintif-chat.md,8,2
3,cluster-craintif-chat,SAT04,desensibilisation-chat-en-douceur,chat-craintif,Désensibiliser un chat en douceur : la méthode pas à pas,Désensibiliser un chat en douceur : méthode | Gus & Frost,"Désensibilisation et contre-conditionnement expliqués simplement : repérer le seuil de peur, choisir la récompense, avancer par paliers minuscules, ne jamais forcer, et quand consulter.","On n'habitue pas un chat à sa peur en le forçant. Voici la méthode douce, palier par palier, pour l'aider à s'apaiser à son rythme.","cluster-craintif-chat, desensibilisation-chat, contre-conditionnement",articles/cluster-3-craintif-chat/desensibilisation-chat-en-douceur.html,PROMPTS-IMAGES_CH3_craintif-chat.md,6,2
3,cluster-craintif-chat,SAT12,erreurs-idees-recues-peur-chat,chat-craintif,Peur du chat : les erreurs et les idées reçues,Peur du chat : erreurs et idées reçues | Gus & Frost,"Forcer, punir, materner à contretemps, attendre que le temps fasse son œuvre, parler de caractère dominant, déloger un chat caché : six croyances répandues, et le geste à leur substituer.",Les maladresses face à un chat qui a peur partent d'un bon sentiment. Voici six idées reçues et le geste juste qui les remplace.,"cluster-craintif-chat, idees-recues-chat, erreurs-a-eviter",articles/cluster-3-craintif-chat/erreurs-idees-recues-peur-chat.html,PROMPTS-IMAGES_CH3_craintif-chat.md,5,2
3,cluster-craintif-chat,SAT10,peur-soudaine-chat-veterinaire,chat-craintif,Une peur soudaine chez le chat : écarter d'abord le médical,Peur soudaine du chat : écarter le médical | Gus & Frost,"Le chat masque la douleur : pourquoi une peur ou un retrait nouveau et brutal doit d'abord faire consulter, comment le distinguer d'une timidité ancienne, et ce que change l'examen vétérinaire.",Votre chat est devenu craintif du jour au lendemain. Voici pourquoi ce changement se vérifie chez le vétérinaire avant tout.,"cluster-craintif-chat, peur-soudaine, veterinaire-chat",articles/cluster-3-craintif-chat/peur-soudaine-chat-veterinaire.html,PROMPTS-IMAGES_CH3_craintif-chat.md,5,2
3,cluster-craintif-chat,SAT11,pheromones-aides-apaisantes-chat-peur,chat-craintif,Phéromones et aides apaisantes face à la peur du chat,Phéromones et chat peureux : ce qu'on sait | Gus & Frost,"Diffuseurs, sprays, colliers, compléments : ce que dit réellement la preuve scientifique, pourquoi ces aides restent un appoint derrière l'environnement, et ce qui relève du vétérinaire.","Un diffuseur ne remplacera pas l'aménagement de votre maison. Voici ce que valent vraiment les aides apaisantes, preuves à l'appui.","cluster-craintif-chat, pheromones-chat, aides-apaisantes",articles/cluster-3-craintif-chat/pheromones-aides-apaisantes-chat-peur.html,PROMPTS-IMAGES_CH3_craintif-chat.md,6,2
3,cluster-craintif-chat,SAT02,reconnaitre-chat-peureux,chat-craintif,Reconnaître un chat peureux : les signes de peur,Reconnaître un chat peureux : les signes | Gus & Frost,"Fuite, figement, oreilles plaquées, pupilles dilatées : les signes de la peur aiguë, ceux de la peur chronique que l'on confond avec un caractère réservé, et le moment où il faut consulter.","Un chat qu'on croit indépendant est parfois un chat qui a peur. Voici les signaux à lire sur son corps, et ceux qui doivent alerter.","cluster-craintif-chat, signes-de-peur, comportement-chat",articles/cluster-3-craintif-chat/reconnaitre-chat-peureux.html,PROMPTS-IMAGES_CH3_craintif-chat.md,9,2
3,cluster-craintif-chat,SAT07,refuges-cachettes-chat-craintif,chat-craintif,Refuges et cachettes : aménager la maison d'un chat craintif,Refuges et cachettes du chat craintif | Gus & Frost,"Où placer les cachettes, comment les répartir dans le logement, comment offrir de la hauteur sans danger et pourquoi un refuge doit toujours garder une issue ouverte pour un chat sensible.","Un chat rassuré est un chat qui peut disparaître quand il le veut. Voici comment aménager refuges, cachettes et points en hauteur.","cluster-craintif-chat, refuges-chat, cachettes-chat",articles/cluster-3-craintif-chat/refuges-cachettes-chat-craintif.html,PROMPTS-IMAGES_CH3_craintif-chat.md,5,2
3,cluster-craintif-chat,SAT08,routine-previsibilite-chat-craintif,chat-craintif,Routine et prévisibilité : sécuriser un chat peureux,Routine et prévisibilité du chat peureux | Gus & Frost,"L'imprévisible nourrit la peur : horaires réguliers, gestes annoncés, transitions progressives, repères olfactifs et stabilité des lieux de ressources, avec l'apport de la recherche.","Pour un chat craintif, l'incertitude entretient la peur. Voici comment installer des repères stables qui l'apaisent au quotidien.","cluster-craintif-chat, routine-chat, previsibilite-chat",articles/cluster-3-craintif-chat/routine-previsibilite-chat-craintif.html,PROMPTS-IMAGES_CH3_craintif-chat.md,6,2
