num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
1,1.png,hero-chat-serein-quotidien.png,chat-serein-quotidien,PILIER,hero,"Dans un salon lumineux vu en légère plongée, un chat installé en hauteur sur une étagère observe la pièce."
2,2.png,chat-serein-quotidien-2.png,chat-serein-quotidien,PILIER,secondaire,"Un chat en pleine séquence de jeu, corps ramassé prêt à bondir, pupilles dilatées."
3,3.png,chat-serein-quotidien-3.png,chat-serein-quotidien,PILIER,secondaire,"Portrait rapproché d'un chat qui adresse un clignement lent des yeux à la caméra, paupières mi-closes."
4,4.png,hero-routine-chat-previsibilite.png,routine-chat-previsibilite,SAT01,hero,"Dans une cuisine en fin de journée, un chat assis bien droit près de sa gamelle vide."
5,5.png,routine-chat-previsibilite-2.png,routine-chat-previsibilite,SAT01,secondaire,"Un chat qui frotte sa joue contre l'angle d'un meuble, yeux mi-clos."
6,6.png,hero-sommeil-chat.png,sommeil-chat,SAT02,hero,"Un chat profondément endormi, roulé en boule sur un plaid clair posé sur un rebord de fenêtre ensoleillé."
7,7.png,sommeil-chat-2.png,sommeil-chat,SAT02,secondaire,"Un chat parfaitement éveillé et alerte assis près d'une fenêtre, pupilles rondes, oreilles dressées vers l'extérieur."
8,8.png,hero-importance-jeu-chat.png,importance-jeu-chat,SAT03,hero,"Un chat tapi au ras du sol en pleine phase d'approche, arrière-train relevé et frémissant."
9,9.png,importance-jeu-chat-2.png,importance-jeu-chat,SAT03,secondaire,"Dans un salon en fin de journée, un chat en plein bond au-dessus du tapis."
10,10.png,hero-stress-chat-signes-causes.png,stress-chat-signes-causes,SAT04,hero,"Un chat tapi tout au fond sous un meuble bas dans la pénombre, corps ramassé."
11,11.png,stress-chat-signes-causes-2.png,stress-chat-signes-causes,SAT04,secondaire,"Dans un salon en désordre de déménagement, cartons empilés, meubles déplacés."
12,12.png,hero-reduire-stress-ambiant-chat.png,reduire-stress-ambiant-chat,SAT05,hero,"Dans un salon calme, un chat installé en hauteur sur une étagère observe la pièce d'un air détendu."
13,13.png,reduire-stress-ambiant-chat-2.png,reduire-stress-ambiant-chat,SAT05,secondaire,"Un chat allongé sur un couchage moelleux placé dans un recoin tranquille, paupières mi-closes, posture entièrement relâchée."
14,14.png,hero-ressources-chat-regle-nplus1.png,ressources-chat-regle-nplus1,SAT06,hero,"Dans un intérieur, un même chat photographié à deux points distincts d'une pièce ouverte : une gamelle près."
15,15.png,ressources-chat-regle-nplus1-2.png,ressources-chat-regle-nplus1,SAT06,secondaire,"Un chat installé sur une étagère en hauteur près d'une fenêtre, regard tourné vers la pièce."
16,16.png,hero-securite-refuges-chat.png,securite-refuges-chat,SAT07,hero,Un chat adulte lové au fond d'un abri fermé en tissu posé au sol dans un coin calme.
17,17.png,securite-refuges-chat-2.png,securite-refuges-chat,SAT07,secondaire,"Un séjour habité, un chat installé sur une étagère haute dégagée observe la pièce d'en haut."
18,18.png,hero-environnement-apaisant-chat.png,environnement-apaisant-chat,SAT08,hero,"Dans un intérieur, un chat installé sur un rebord de fenêtre en hauteur."
19,19.png,environnement-apaisant-chat-2.png,environnement-apaisant-chat,SAT08,secondaire,"Un chat qui inspecte prudemment un objet neuf posé au sol, sac en toile ou petit carton."
20,20.png,hero-pheromones-chat-efficacite.png,pheromones-chat-efficacite,SAT09,hero,"Dans un salon paisible en fin de journée, un chat couché en boule sur un rebord de fenêtre."
21,21.png,pheromones-chat-efficacite-2.png,pheromones-chat-efficacite,SAT09,secondaire,"Un chat qui se frotte contre les jambes de son humain assis, corps longeant la jambe."
22,22.png,hero-plusieurs-chats-harmonie-quotidien.png,plusieurs-chats-harmonie-quotidien,SAT10,hero,"Dans un salon lumineux vu de face, deux chats installés chacun à un endroit distinct."
23,23.png,plusieurs-chats-harmonie-quotidien-2.png,plusieurs-chats-harmonie-quotidien,SAT10,secondaire,Un chat installé seul dans une cachette surélevée type niche ou panier fermé.
24,24.png,hero-signes-chat-bien-etre.png,signes-chat-bien-etre,SAT11,hero,"Un chat allongé sur le flanc en plein soleil sur un tapis, pattes déployées, ventre partiellement exposé."
25,25.png,signes-chat-bien-etre-2.png,signes-chat-bien-etre,SAT11,secondaire,"Le sol sur un chat qui s'avance vers l'objectif, queue dressée bien verticale avec l'extrémité recourbée."
26,26.png,hero-idees-recues-bien-etre-chat.png,idees-recues-bien-etre-chat,SAT12,hero,"Dans un salon habité vu de trois quarts, un chat adulte circule au sol vers son humain assis."
27,27.png,idees-recues-bien-etre-chat-2.png,idees-recues-bien-etre-chat,SAT12,secondaire,"Deux chats adultes dans une même pièce lumineuse, chacun sur son propre couchage à distance l'un de l'autre."
