cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
6,cluster-chiot-education,PILIER,eduquer-son-chiot,,"Éduquer son chiot : poser les bonnes bases, en douceur",Éduquer un chiot : le guide complet,"Éduquer son chiot en renforcement positif : par où commencer, dans quel ordre, avec quels principes. Le guide complet des premières bases, sans punition.","Le guide complet pour éduquer son chiot en douceur : par où commencer, les grands apprentissages et les principes du renforcement positif.","cluster-chiot-education, pilier, chiot, education, apprentissage",articles/cluster-6-chiot-education/eduquer-son-chiot.html,PROMPTS-IMAGES_C6_chiot-education.md,18,3
6,cluster-chiot-education,SAT02,apprendre-nom-attention-chiot,eduquer-son-chiot,Apprendre son nom et l'attention à un chiot,Apprendre son nom à un chiot : la base,"Apprendre son nom et l'attention à un chiot : le contact visuel, capter le regard avec plaisir. La première brique de tous les apprentissages.","Comment apprendre son nom et l'attention à un chiot : capter son regard avec plaisir, la base de tous les apprentissages.","cluster-chiot-education, satellite, chiot, education, attention",articles/cluster-6-chiot-education/apprendre-nom-attention-chiot.html,PROMPTS-IMAGES_C6_chiot-education.md,5,2
6,cluster-chiot-education,SAT05,apprendre-rappel-chiot,eduquer-son-chiot,Apprendre le rappel à un chiot,Apprendre le rappel à un chiot : méthode,"Apprendre le rappel à un chiot de façon ludique et positive : faire du retour une fête, choisir un mot, sécuriser les débuts avec une longe.","Apprendre le rappel à un chiot comme un jeu : faire du retour une fête, pour un rappel fiable et sûr.","cluster-chiot-education, satellite, chiot, education, rappel",articles/cluster-6-chiot-education/apprendre-rappel-chiot.html,PROMPTS-IMAGES_C6_chiot-education.md,5,2
6,cluster-chiot-education,SAT08,autocontrole-gerer-excitation-chiot,eduquer-son-chiot,Apprendre l'autocontrôle à un chiot trop excité,Autocontrôle du chiot : canaliser l'énergie,"Apprendre l'autocontrôle à un chiot trop excité : gérer la frustration, apprendre à attendre et à revenir au calme après un pic d'excitation.","Aider un chiot trop excité à s'autocontrôler : attendre, gérer la frustration et revenir au calme.","cluster-chiot-education, satellite, chiot, education, autocontrole",articles/cluster-6-chiot-education/autocontrole-gerer-excitation-chiot.html,PROMPTS-IMAGES_C6_chiot-education.md,6,2
6,cluster-chiot-education,SAT04,caisse-education-chiot,eduquer-son-chiot,La caisse comme outil d'éducation du chiot,Caisse d'éducation du chiot : bien l'utiliser,"La caisse d'éducation du chiot : un refuge rassurant, jamais une punition. La choisir, l'aménager et l'introduire par étapes en confiance.","Faire de la caisse un refuge et un outil d'autonomie pour son chiot, jamais une punition.","cluster-chiot-education, satellite, chiot, education, materiel",articles/cluster-6-chiot-education/caisse-education-chiot.html,PROMPTS-IMAGES_C6_chiot-education.md,5,2
6,cluster-chiot-education,SAT10,clicker-recompenses-chiot,eduquer-son-chiot,Clicker et récompenses pour éduquer un chiot,Clicker et friandises pour éduquer un chiot,"Clicker et récompenses pour éduquer un chiot : charger le clicker, doser les friandises, varier les récompenses et sevrer progressivement.","Utiliser le clicker et bien doser les récompenses pour éduquer son chiot, puis alléger les friandises.","cluster-chiot-education, satellite, chiot, education, recompenses",articles/cluster-6-chiot-education/clicker-recompenses-chiot.html,PROMPTS-IMAGES_C6_chiot-education.md,5,2
6,cluster-chiot-education,SAT11,erreurs-education-chiot,eduquer-son-chiot,Éducation du chiot : les erreurs à éviter,Erreurs d'éducation du chiot : ce qu'il faut éviter,"Les erreurs d'éducation du chiot à éviter : punition, incohérence, séances trop longues, mauvais timing. Chaque faux pas corrigé en douceur.","Les erreurs d'éducation du chiot les plus courantes, chacune corrigée par la bonne pratique, sans culpabiliser.","cluster-chiot-education, satellite, chiot, education, erreurs",articles/cluster-6-chiot-education/erreurs-education-chiot.html,PROMPTS-IMAGES_C6_chiot-education.md,5,2
6,cluster-chiot-education,SAT06,habituer-chiot-laisse-marche,eduquer-son-chiot,Habituer un chiot à la laisse et à marcher sans tirer,Chiot et laisse : les premiers pas,"Habituer un chiot à la laisse et à la marche sans tirer : découvrir le matériel, récompenser la laisse détendue. Sans matériel coercitif.","Habituer un chiot à la laisse pas à pas et poser les bases d'une marche détendue, sans tirer ni forcer.","cluster-chiot-education, satellite, chiot, education, marche_en_laisse",articles/cluster-6-chiot-education/habituer-chiot-laisse-marche.html,PROMPTS-IMAGES_C6_chiot-education.md,5,2
6,cluster-chiot-education,SAT07,poser-limites-interdits-chiot,eduquer-son-chiot,Poser des limites à un chiot sans le punir,Limites du chiot : les poser en douceur,"Poser des limites à un chiot sans le punir : des interdits clairs et cohérents, la redirection vers ce qui est permis. Zéro punition.",Poser des limites claires et cohérentes à un chiot en le redirigeant plutôt qu'en le punissant.,"cluster-chiot-education, satellite, chiot, education, limites",articles/cluster-6-chiot-education/poser-limites-interdits-chiot.html,PROMPTS-IMAGES_C6_chiot-education.md,4,2
6,cluster-chiot-education,SAT03,premiers-ordres-assis-couche-chiot,eduquer-son-chiot,"Apprendre les premiers ordres à un chiot : assis, couché","Premiers ordres du chiot : assis, couché","Apprendre l'assis et le couché à un chiot en douceur : le leurre, le timing, des séances courtes. Sans jamais forcer la position.","Apprendre l'assis et le couché à un chiot par le leurre et la récompense, en séances courtes et sans forcer.","cluster-chiot-education, satellite, chiot, education, obeissance",articles/cluster-6-chiot-education/premiers-ordres-assis-couche-chiot.html,PROMPTS-IMAGES_C6_chiot-education.md,6,2
