cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
7,cluster-griffades-chat,PILIER,pourquoi-chat-griffe,,Pourquoi les chats griffent : comprendre ce besoin et y répondre,Pourquoi les chats griffent : comprendre et que faire | Gus & Frost,"Griffer est un besoin vital pour le chat, pas un caprice. Les quatre raisons pour lesquelles il griffe, pourquoi ce n'est pas un signe de stress, et comment rediriger vers un griffoir.","Votre chat ne griffe pas le canapé pour vous embêter : il fait son métier de chat, sur le seul support convenable qu'il ait trouvé. Voici pourquoi il griffe, et comment lui offrir mieux.","cluster-griffades-chat, pourquoi-chat-griffe, griffades-chat",articles/cluster-7-griffades-chat/pourquoi-chat-griffe.html,PROMPTS-IMAGES_CH7_griffades-chat.md,14,3
7,cluster-griffades-chat,SAT01,arbre-a-chat-ou-griffoir,pourquoi-chat-griffe,Arbre à chat ou griffoir : lequel choisir ?,Arbre à chat ou griffoir : lequel choisir ? | Gus & Frost,"Faut-il un simple griffoir ou un arbre à chat complet ? Comparaison honnête sur ce qui compte pour la griffade : hauteur, stabilité, matière, encombrement et budget.","Le griffoir suffit-il, ou faut-il investir dans un arbre à chat ? Voici la comparaison, du seul point de vue qui compte ici : celui des griffes de votre chat.","cluster-griffades-chat, arbre-a-chat-ou-griffoir, choisir-griffoir-chat",articles/cluster-7-griffades-chat/arbre-a-chat-ou-griffoir.html,PROMPTS-IMAGES_CH7_griffades-chat.md,6,2
7,cluster-griffades-chat,SAT08,chat-griffe-canape-meubles,pourquoi-chat-griffe,Mon chat griffe le canapé : la méthode qui marche,Mon chat griffe le canapé : la méthode qui marche | Gus & Frost,"Le canapé est un excellent griffoir, de son point de vue. La méthode complète pour rediriger les griffades vers le bon support, sans punir, et sans y passer six mois.","Votre chat n'a pas choisi le canapé pour vous nuire : il a choisi le meilleur support disponible. Voici comment lui en offrir un meilleur, et fermer l'ancien.","cluster-griffades-chat, chat-griffe-canape, rediriger-griffades-chat",articles/cluster-7-griffades-chat/chat-griffe-canape-meubles.html,PROMPTS-IMAGES_CH7_griffades-chat.md,8,2
7,cluster-griffades-chat,SAT07,chat-n-utilise-pas-griffoir,pourquoi-chat-griffe,Mon chat n'utilise pas son griffoir : que faire,Mon chat n'utilise pas son griffoir : que faire | Gus & Frost,"Le griffoir est là, et il l'ignore. Les cinq raisons habituelles, comment le rendre irrésistible avec l'herbe à chat et le jeu, et le geste qu'il ne faut surtout jamais faire.","Il vous a coûté cher et il sert de perchoir à poussière. Voici pourquoi votre chat boude son griffoir, et comment le lui faire adopter sans jamais lui prendre les pattes.","cluster-griffades-chat, chat-ignore-griffoir, rendre-griffoir-attractif",articles/cluster-7-griffades-chat/chat-n-utilise-pas-griffoir.html,PROMPTS-IMAGES_CH7_griffades-chat.md,7,2
7,cluster-griffades-chat,SAT04,choisir-griffoir-chat,pourquoi-chat-griffe,Choisir un griffoir : les critères qui comptent,Choisir un griffoir pour chat : les bons critères | Gus & Frost,"Matière, hauteur, stabilité, largeur : tous les griffoirs ne se valent pas, et le critère le plus important est celui qu'on regarde le moins. Les critères qui font qu'un chat l'adopte.","Un griffoir qui bouge est un griffoir mort. Voici les critères qui font qu'un chat adopte son griffoir plutôt que votre canapé, en commençant par le plus sous-estimé de tous.","cluster-griffades-chat, choisir-griffoir-chat, griffoir-chat",articles/cluster-7-griffades-chat/choisir-griffoir-chat.html,PROMPTS-IMAGES_CH7_griffades-chat.md,5,2
7,cluster-griffades-chat,SAT10,degriffage-chat,pourquoi-chat-griffe,Le dégriffage du chat : pourquoi c'est interdit,"Dégriffage du chat : interdit, et pourquoi | Gus & Frost","Le dégriffage n'est pas une coupe de griffes : c'est l'amputation de la dernière phalange de chaque doigt. Il est interdit en France. Ce qu'il provoque, et les alternatives réelles.","Le dégriffage n'est pas une manucure. C'est une amputation, elle est interdite en France, et voici ce qu'elle laisse derrière elle chez les chats qui l'ont subie.","cluster-griffades-chat, degriffage-chat, onyxectomie-chat",articles/cluster-7-griffades-chat/degriffage-chat.html,PROMPTS-IMAGES_CH7_griffades-chat.md,5,2
7,cluster-griffades-chat,SAT12,entretenir-changer-griffoir-chat,pourquoi-chat-griffe,Entretenir et remplacer un griffoir,Entretenir et remplacer le griffoir de son chat | Gus & Frost,"Un griffoir usé est un griffoir aimé : le remplacer trop tôt est l'erreur la plus commune. Comment l'entretenir, pourquoi ne pas le laver, et comment introduire le nouveau.","Ce griffoir effiloché que vous voulez jeter est exactement celui que votre chat préfère. Voici quand le remplacer vraiment, et comment faire accepter son successeur.","cluster-griffades-chat, entretenir-griffoir, remplacer-griffoir-chat",articles/cluster-7-griffades-chat/entretenir-changer-griffoir-chat.html,PROMPTS-IMAGES_CH7_griffades-chat.md,5,2
7,cluster-griffades-chat,SAT11,griffades-chaton-apprentissage,pourquoi-chat-griffe,Apprendre au chaton à utiliser son griffoir,Apprendre au chaton à utiliser son griffoir | Gus & Frost,"Tout se joue dans les premières semaines : présenter le bon support dès l'arrivée, choisir ce qui plaît aux chatons, et ne jamais associer la griffade à un conflit avec vous.",Un chaton qui apprend tout de suite où griffer est un chat qui ne griffera jamais votre canapé. Voici comment poser ce réflexe pendant qu'il est encore facile à poser.,"cluster-griffades-chat, griffades-chaton, griffoir-chaton",articles/cluster-7-griffades-chat/griffades-chaton-apprentissage.html,PROMPTS-IMAGES_CH7_griffades-chat.md,5,2
7,cluster-griffades-chat,SAT02,griffades-marquage-chat,pourquoi-chat-griffe,La griffade comme marquage : trace visible et odeur,La griffade du chat est-elle un marquage ? | Gus & Frost,"En griffant, le chat laisse une trace visible et dépose une odeur par ses coussinets. Ce que dit vraiment cette signature, et pourquoi sa fonction de marquage est aujourd'hui débattue.","La griffade laisse une double signature : une marque qu'on voit et une odeur qu'on ne sent pas. Voici ce qu'elle raconte, et ce que la recherche récente vient nuancer.","cluster-griffades-chat, marquage-griffade-chat, signal-griffade-chat",articles/cluster-7-griffades-chat/griffades-marquage-chat.html,PROMPTS-IMAGES_CH7_griffades-chat.md,6,2
7,cluster-griffades-chat,SAT03,griffes-du-chat-entretien,pourquoi-chat-griffe,"Les griffes du chat : anatomie, mue et entretien","Griffes du chat : anatomie, mue et entretien | Gus & Frost","La griffe du chat est rétractile et se renouvelle en perdant sa gaine. Comprendre son fonctionnement, savoir s'il faut la couper, et repérer ce qui doit alerter chez le chat âgé.","Les petits copeaux de griffe retrouvés sur le griffoir ne sont pas des griffes cassées. Voici comment fonctionne la griffe du chat, et quand son entretien devient une affaire de vétérinaire.","cluster-griffades-chat, griffes-du-chat, couper-griffes-chat",articles/cluster-7-griffades-chat/griffes-du-chat-entretien.html,PROMPTS-IMAGES_CH7_griffades-chat.md,4,2
7,cluster-griffades-chat,SAT05,griffoir-vertical-ou-horizontal-chat,pourquoi-chat-griffe,Griffoir vertical ou horizontal : lequel choisir,Griffoir vertical ou horizontal : lequel choisir ? | Gus & Frost,"Certains chats griffent debout, d'autres à plat, et cela ne se devine pas : cela s'observe. Comment repérer la préférence de votre chat et pourquoi proposer les deux orientations.","Votre chat griffe-t-il debout ou à plat ? La réponse est dans vos meubles. Voici comment lire ses préférences avant d'acheter, plutôt qu'après.","cluster-griffades-chat, griffoir-vertical-horizontal, preference-griffade-chat",articles/cluster-7-griffades-chat/griffoir-vertical-ou-horizontal-chat.html,PROMPTS-IMAGES_CH7_griffades-chat.md,7,2
