num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
104,104.png,hero-mordillements-dentition-chiot.png,mordillements-dentition-chiot,PILIER,hero,Un chiot de deux mois assis sur un tapis de salon.
105,105.png,mordillements-dentition-chiot-2.png,mordillements-dentition-chiot,PILIER,secondaire,La gueule entrouverte d'un chiot de quatre mois tenu délicatement par une main humaine qui soulève une babine.
106,106.png,mordillements-dentition-chiot-3.png,mordillements-dentition-chiot,PILIER,secondaire,Un enfant de six ou sept ans assis par terre tendant un jouet à mâcher en corde à.
107,107.png,hero-chiot-mordille-pourquoi.png,chiot-mordille-pourquoi,SAT01,hero,Un chiot de deux ou trois mois en pleine exploration.
108,108.png,chiot-mordille-pourquoi-2.png,chiot-mordille-pourquoi,SAT01,secondaire,"Un chiot visiblement surexcité en fin de journée, gueule ouverte en plein jeu."
109,109.png,hero-chiot-mordille-inhibition-morsure.png,chiot-mordille-inhibition-morsure,SAT02,hero,Une main humaine qui se retire doucement pendant qu'un chiot de trois mois marque un net temps d'arrêt.
110,110.png,chiot-mordille-inhibition-morsure-2.png,chiot-mordille-inhibition-morsure,SAT02,secondaire,Un chiot au poil clair mâchouillant avec entrain un jouet à mâcher en forme de boudin tendu.
111,111.png,hero-arreter-chiot-mordiller-mains-pieds.png,arreter-chiot-mordiller-mains-pieds,SAT03,hero,"Dans une cuisine, un chiot de trois mois accroché au bas d'un pantalon mordille la cheville d'une personne calme."
112,112.png,arreter-chiot-mordiller-mains-pieds-2.png,arreter-chiot-mordiller-mains-pieds,SAT03,secondaire,La même personne à présent accroupie à hauteur du chiot dans la cuisine.
113,113.png,hero-dentition-chiot-etapes.png,dentition-chiot-etapes,SAT04,hero,La gueule légèrement entrouverte d'un chiot de deux mois montrant ses petites dents de lait pointues.
114,114.png,dentition-chiot-etapes-2.png,dentition-chiot-etapes,SAT04,secondaire,Une personne soulevant doucement la babine d'un chiot de cinq mois pour observer une dent définitive.
115,115.png,hero-chiot-perd-dents-lait.png,chiot-perd-dents-lait,SAT05,hero,Une minuscule dent de lait blanche posée sur le bout d'un doigt.
116,116.png,chiot-perd-dents-lait-2.png,chiot-perd-dents-lait,SAT05,secondaire,Une personne soulevant avec douceur la babine d'un chiot de petite race.
117,117.png,hero-soulager-douleur-dents-chiot.png,soulager-douleur-dents-chiot,SAT06,hero,Un chiot de quatre mois allongé sur un carrelage frais.
118,118.png,soulager-douleur-dents-chiot-2.png,soulager-douleur-dents-chiot,SAT06,secondaire,"Une personne accroupie présente à un chiot un petit linge humide roulé et refroidi, qu'il mordille doucement."
119,119.png,hero-chiot-besoin-macher.png,chiot-besoin-macher,SAT07,hero,"Un chiot allongé dans son panier douillet, absorbé par la mastication d'un jouet à mâcher souple adapté à sa taille."
120,120.png,chiot-besoin-macher-2.png,chiot-besoin-macher,SAT07,secondaire,"Un chiot installé sur un tapis, concentré sur un jouet de mastication garni de type jouet à fourrer."
121,121.png,hero-jouets-mastication-chiot.png,jouets-mastication-chiot,SAT08,hero,Un chiot choisissant parmi plusieurs jouets à mâcher de tailles et de textures différentes posés sur le sol d'un salon.
122,122.png,jouets-mastication-chiot-2.png,jouets-mastication-chiot,SAT08,secondaire,Une main tenant un jouet en caoutchouc souple pendant qu'un chiot le mordille avec application.
123,123.png,hero-chiot-mache-detruit-tout.png,chiot-mache-detruit-tout,SAT09,hero,"Dans un salon français lumineux, un chiot de trois mois assis près d'un coussin et d'une chaussure légèrement mâchouillés."
124,124.png,chiot-mache-detruit-tout-2.png,chiot-mache-detruit-tout,SAT09,secondaire,Un chiot de trois mois installé confortablement dans un coin bien aménagé du salon.
125,125.png,hero-chiot-mordille-enfants.png,chiot-mordille-enfants,SAT10,hero,Un enfant assis calmement en tailleur sur le sol d'un salon.
126,126.png,chiot-mordille-enfants-2.png,chiot-mordille-enfants,SAT10,secondaire,Un chiot roulé en boule dans son panier moelleux placé dans un coin tranquille du salon.
127,127.png,hero-erreurs-mordillements-chiot.png,erreurs-mordillements-chiot,SAT11,hero,"Un chiot de trois mois un peu inquiet, oreilles rabattues en arrière et corps légèrement reculé."
128,128.png,erreurs-mordillements-chiot-2.png,erreurs-mordillements-chiot,SAT11,secondaire,"Le même chiot, cette fois parfaitement détendu, oreilles souples et corps relâché."
