cluster_num,cluster_tag,type,slug,parent_pilier_slug,title,meta_title,meta_description,excerpt,tags,file,prompts_file,links_to_resolve,images_to_resolve
9,cluster-reactivite,PILIER,reactivite-chien,,"Le chien réactif : comprendre, sécuriser et apaiser la réactivité",Chien réactif : comprendre et apaiser la réactivité | Gus & Frost,"Aboiements, tension en laisse, réactions vers les autres chiens : comprenez d'où vient la réactivité de votre chien, sécurisez vos sorties et apaisez, sans forcer.","Un chien réactif n'est ni méchant ni mal élevé : il déborde. Voici comment comprendre ce qui se joue, sécuriser vos promenades et l'aider à redescendre.","cluster-reactivite, chien-reactif, reactivite-chien",articles/cluster-9-reactivite/reactivite-chien.html,PROMPTS-IMAGES_C9_reactivite.md,25,3
9,cluster-reactivite,SAT05,amenager-promenades-chien-reactif,reactivite-chien,Aménager ses promenades quand son chien est réactif,Aménager ses promenades avec un chien réactif | Gus & Frost,"Choix des itinéraires, des horaires et des lieux : aménager ses sorties réduit les déclencheurs et les réactions. Voici comment planifier des balades plus sereines.","La meilleure réaction est celle qu'on évite. Voici comment choisir vos itinéraires, vos horaires et vos lieux pour offrir à votre chien des promenades apaisées.","cluster-reactivite, promenade-chien-reactif, gerer-declencheurs",articles/cluster-9-reactivite/amenager-promenades-chien-reactif.html,PROMPTS-IMAGES_C9_reactivite.md,6,2
9,cluster-reactivite,SAT08,chien-frustration-laisse-congeneres,reactivite-chien,Le chien qui tire et jappe pour rejoindre ses congénères : la réactivité par frustration,Chien qui tire et jappe vers ses congénères | Gus & Frost,"Certains chiens tirent et jappent pour rejoindre les autres, par frustration, pas pour attaquer. Découvrez comment travailler l'autocontrôle et la distance en douceur.","Il jappe et tire vers chaque chien croisé, non pour l'attaquer mais pour le rejoindre. Voici comment apaiser cette frustration par l'autocontrôle et la distance.","cluster-reactivite, frustration-chien, chien-reactif-congeneres",articles/cluster-9-reactivite/chien-frustration-laisse-congeneres.html,PROMPTS-IMAGES_C9_reactivite.md,7,2
9,cluster-reactivite,SAT03,chien-reactif-laisse,reactivite-chien,Le chien réactif en laisse : comprendre et gérer la traction émotionnelle,Chien réactif en laisse : gérer la traction émotionnelle | Gus & Frost,"En laisse, un chien réactif tire par émotion, pas pour avancer. Comprenez cette traction émotionnelle et adoptez la bonne posture pour sécuriser vos sorties.","En laisse, la tension n'est pas toujours de l'impatience : c'est souvent de l'émotion. Voici comment reconnaître la traction réactive et poser un cadre sûr.","cluster-reactivite, chien-reactif-laisse, laisse-chien",articles/cluster-9-reactivite/chien-reactif-laisse.html,PROMPTS-IMAGES_C9_reactivite.md,5,2
9,cluster-reactivite,SAT12,chien-reactif-quand-consulter,reactivite-chien,Réactivité du chien : quand et comment consulter un professionnel,Chien réactif : quand et comment consulter un pro | Gus & Frost,"Certaines réactivités se gèrent seul, d'autres non. Découvrez quand consulter un vétérinaire comportementaliste ou un éducateur positif, et comment bien le choisir.","Savoir passer la main est une force, pas un échec. Voici quand consulter pour la réactivité de votre chien, vers qui se tourner et comment choisir le bon professionnel.","cluster-reactivite, consulter-comportementaliste, educateur-canin",articles/cluster-9-reactivite/chien-reactif-quand-consulter.html,PROMPTS-IMAGES_C9_reactivite.md,4,2
9,cluster-reactivite,SAT09,chien-surexcite-vue-autre-chien,reactivite-chien,Le chien surexcité à la vue d'un autre chien : canaliser l'excitation,Chien surexcité à la vue d'un autre chien | Gus & Frost,"Un chien qui s'emballe de joie à la vue d'un congénère peut apprendre à se canaliser. Découvrez comment gérer l'excitation, garder le seuil et retrouver l'attention.","Trop content, il ne s'entend plus penser dès qu'un chien apparaît. Voici comment canaliser cette excitation et récupérer l'attention de votre chien, sans le frustrer.","cluster-reactivite, chien-surexcite, canaliser-excitation",articles/cluster-9-reactivite/chien-surexcite-vue-autre-chien.html,PROMPTS-IMAGES_C9_reactivite.md,7,2
9,cluster-reactivite,SAT04,croiser-chien-personne-promenade,reactivite-chien,Croiser un chien ou une personne : les gestes qui sécurisent la rencontre,Croiser un chien ou une personne en promenade | Gus & Frost,"Demi-tour, écran, changement de trottoir, dépassement : découvrez les gestes concrets pour croiser un autre chien ou une personne sans que votre chien déborde.","Une rencontre bien gérée se prépare quelques secondes avant. Voici les manœuvres simples — demi-tour, écran, dépassement — pour sécuriser chaque croisement.","cluster-reactivite, croiser-chien, promenade-chien",articles/cluster-9-reactivite/croiser-chien-personne-promenade.html,PROMPTS-IMAGES_C9_reactivite.md,5,2
9,cluster-reactivite,SAT10,exercices-desensibilisation-chien-reactif,reactivite-chien,Désensibilisation et contre-conditionnement : les exercices de base pour un chien réactif,Exercices de désensibilisation pour chien réactif | Gus & Frost,"Jeu du regard, désengagement, association positive à distance : découvrez les exercices de base de désensibilisation et de contre-conditionnement pour un chien réactif.","Changer l'émotion, pas seulement le comportement. Voici les exercices de base — jeu du regard, désengagement, association positive — à pratiquer sous le seuil.","cluster-reactivite, desensibilisation-chien, contre-conditionnement",articles/cluster-9-reactivite/exercices-desensibilisation-chien-reactif.html,PROMPTS-IMAGES_C9_reactivite.md,5,2
9,cluster-reactivite,SAT07,faire-redescendre-chien-reactif,reactivite-chien,Faire redescendre son chien après une réaction : récupérer et repartir,Faire redescendre son chien après une réaction | Gus & Frost,"Après une réaction, le chien reste sous tension un long moment. Découvrez comment l'aider à récupérer, éviter l'accumulation et repartir sur de bonnes bases.",Une réaction ne s'arrête pas quand les aboiements cessent. Voici comment aider votre chien à vraiment redescendre avant de reprendre la route.,"cluster-reactivite, recuperation-chien, gestion-stress-chien",articles/cluster-9-reactivite/faire-redescendre-chien-reactif.html,PROMPTS-IMAGES_C9_reactivite.md,5,2
9,cluster-reactivite,SAT06,materiel-chien-reactif,reactivite-chien,"Le bon matériel pour un chien réactif : harnais, longe et muselière d'acclimatation",Le bon matériel pour un chien réactif | Gus & Frost,"Harnais, longe, muselière d'acclimatation : le bon matériel sécurise sans contraindre. Découvrez quoi choisir pour un chien réactif et pourquoi bannir l'aversif.","Bien équipé, on gère plus sereinement. Voici le matériel utile pour un chien réactif, de la longe à la muselière d'acclimatation, sans jamais recourir à l'aversif.","cluster-reactivite, materiel-chien-reactif, museliere-chien",articles/cluster-9-reactivite/materiel-chien-reactif.html,PROMPTS-IMAGES_C9_reactivite.md,6,2
