num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
79,79.png,hero-eduquer-son-chiot.png,eduquer-son-chiot,PILIER,hero,"Sur un tapis clair, une personne assise au sol tend une friandise à hauteur de museau."
80,80.png,eduquer-son-chiot-2.png,eduquer-son-chiot,PILIER,secondaire,"Dans une pièce de vie, un chiot détendu est couché à l'entrée d'une caisse ouverte garnie d'un coussin moelleux."
81,81.png,eduquer-son-chiot-3.png,eduquer-son-chiot,PILIER,secondaire,"Dans un parc herbeux au petit matin, un chiot de quatre mois trotte joyeusement vers une personne accroupie."
82,82.png,hero-quand-commencer-education-chiot.png,quand-commencer-education-chiot,SAT01,hero,"Dans une cuisine familiale lumineuse, une personne accroupie près de la gamelle félicite d'un sourire un chiot de deux mois."
83,83.png,quand-commencer-education-chiot-2.png,quand-commencer-education-chiot,SAT01,secondaire,"Sur un chemin de campagne, un jeune chien d'environ cinq mois."
84,84.png,hero-apprendre-nom-attention-chiot.png,apprendre-nom-attention-chiot,SAT02,hero,Le visage d'un chiot de trois mois assis face à sa personne.
85,85.png,apprendre-nom-attention-chiot-2.png,apprendre-nom-attention-chiot,SAT02,secondaire,"Dans un jardin verdoyant en fin de journée, un chiot de quatre mois."
86,86.png,hero-premiers-ordres-assis-couche-chiot.png,premiers-ordres-assis-couche-chiot,SAT03,hero,"Dans un salon clair, une personne accroupie remonte lentement une friandise au-dessus du museau d'un chiot."
87,87.png,premiers-ordres-assis-couche-chiot-2.png,premiers-ordres-assis-couche-chiot,SAT03,secondaire,"Dans une chambre douce, un chiot noir et feu de quatre mois est allongé calmement sur un tapis."
88,88.png,hero-caisse-education-chiot.png,caisse-education-chiot,SAT04,hero,"Dans un salon lumineux au parquet clair, un chiot de trois mois entre de lui-même dans une caisse."
89,89.png,caisse-education-chiot-2.png,caisse-education-chiot,SAT04,secondaire,"Dans une pièce de vie, un chiot de quatre mois est couché détendu au fond de sa caisse ouverte."
90,90.png,hero-apprendre-rappel-chiot.png,apprendre-rappel-chiot,SAT05,hero,"Dans un jardin verdoyant, un chiot de trois mois accourt à toute vitesse vers l'objectif."
91,91.png,apprendre-rappel-chiot-2.png,apprendre-rappel-chiot,SAT05,secondaire,"Dans une clairière ensoleillée, une personne accroupie serre contre elle un chiot de quatre mois qui vient de la rejoindre."
92,92.png,hero-habituer-chiot-laisse-marche.png,habituer-chiot-laisse-marche,SAT06,hero,"Dans un salon lumineux au parquet clair, un chiot de trois mois renifle avec curiosité un harnais souple."
93,93.png,habituer-chiot-laisse-marche-2.png,habituer-chiot-laisse-marche,SAT06,secondaire,Sur un chemin bordé d'herbe dans un parc français en fin d'après-midi.
94,94.png,hero-poser-limites-interdits-chiot.png,poser-limites-interdits-chiot,SAT07,hero,"Dans un salon lumineux, un chiot de trois mois s'apprête à poser une patte sur un canapé."
95,95.png,poser-limites-interdits-chiot-2.png,poser-limites-interdits-chiot,SAT07,secondaire,"Dans une entrée chaleureuse, un chiot de quatre mois est assis sagement devant une personne."
96,96.png,hero-autocontrole-gerer-excitation-chiot.png,autocontrole-gerer-excitation-chiot,SAT08,hero,"Dans une cuisine lumineuse, un chiot de trois mois est assis bien droit devant sa gamelle posée au sol."
97,97.png,autocontrole-gerer-excitation-chiot-2.png,autocontrole-gerer-excitation-chiot,SAT08,secondaire,"Dans un coin salon douillet, un chiot de quatre mois est couché détendu sur un tapis moelleux près d'un canapé."
98,98.png,hero-renforcement-positif-chiot.png,renforcement-positif-chiot,SAT09,hero,"Dans une cuisine lumineuse, une personne accroupie tient un petit clicker entre le pouce et l'index à hauteur."
99,99.png,renforcement-positif-chiot-2.png,renforcement-positif-chiot,SAT09,secondaire,"Dans un salon au parquet clair, un chiot roux de quatre mois assis calmement aux pieds de son humain."
100,100.png,hero-clicker-recompenses-chiot.png,clicker-recompenses-chiot,SAT10,hero,"Les mains d'une personne assise au sol, l'une tenant un petit clicker pressé entre le pouce."
101,101.png,clicker-recompenses-chiot-2.png,clicker-recompenses-chiot,SAT10,secondaire,"Dans un jardin verdoyant en fin de journée, un chiot noir et feu de cinq mois bondit joyeusement."
102,102.png,hero-erreurs-education-chiot.png,erreurs-education-chiot,SAT11,hero,"Dans une cuisine lumineuse, deux adultes et un enfant accroupis autour d'un chiot beige assis sagement."
103,103.png,erreurs-education-chiot-2.png,erreurs-education-chiot,SAT11,secondaire,"Dans un jardin verdoyant en fin de journée, une personne accroupie félicite chaleureusement un chiot noir et feu."
