num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
1,1.png,hero-socialisation-chaton.png,socialisation-chaton,PILIER,hero,Un chaton curieux avançant vers une main tendue au sol dans un salon clair.
2,2.png,socialisation-chaton-2.png,socialisation-chaton,PILIER,secondaire,Une personne accroupie présentant une friandise à un chaton près d'un aspirateur à l'arrêt.
3,3.png,socialisation-chaton-3.png,socialisation-chaton,PILIER,secondaire,Un chaton et un chien calme couché se reniflant avec précaution sur un sol clair.
4,4.png,hero-manipuler-habituer-chaton.png,manipuler-habituer-chaton,SAT01,hero,"Mains brossant délicatement un chaton détendu posé sur les genoux, expression apaisée."
5,5.png,manipuler-habituer-chaton-2.png,manipuler-habituer-chaton,SAT01,secondaire,Un chaton dont une personne soulève délicatement une patte pour l'habituer aux soins.
6,6.png,hero-fenetre-socialisation-chaton-age.png,fenetre-socialisation-chaton-age,SAT02,hero,Jeune chaton tigré observant une main humaine tendue dans un salon clair.
7,7.png,fenetre-socialisation-chaton-age-2.png,fenetre-socialisation-chaton-age,SAT02,secondaire,"Chaton gris pelotonné dans une couverture douce, regardant vers la lumière."
8,8.png,hero-socialiser-chaton-humains.png,socialiser-chaton-humains,SAT03,hero,Salon lumineux où plusieurs personnes d'âges et d'allures différentes sont assises calmement.
9,9.png,socialiser-chaton-humains-2.png,socialiser-chaton-humains,SAT03,secondaire,Jeune enfant accroupi tendant doucement la main vers un chaton pendant qu'un adulte veille à côté.
10,10.png,hero-socialiser-chaton-bruits-maison.png,socialiser-chaton-bruits-maison,SAT04,hero,Chaton assis calme au sol qui observe un aspirateur éteint posé à distance dans un salon clair.
11,11.png,socialiser-chaton-bruits-maison-2.png,socialiser-chaton-bruits-maison,SAT04,secondaire,"Chaton détendu qui mange dans une gamelle près d'une cachette ouverte, dans un intérieur calme et lumineux."
12,12.png,hero-chaton-autres-animaux-socialisation.png,chaton-autres-animaux-socialisation,SAT05,hero,"Un salon clair, un chaton assis en hauteur sur un rebord observant à distance un chien couché."
13,13.png,chaton-autres-animaux-socialisation-2.png,chaton-autres-animaux-socialisation,SAT05,secondaire,"Deux chats séparés par une porte entrouverte, un chaton curieux d'un côté et un chat adulte de l'autre."
14,14.png,hero-habituer-chaton-transport.png,habituer-chaton-transport,SAT06,hero,"Chaton détendu couché à l'intérieur d'une caisse de transport ouverte posée dans un salon, couchage douillet."
15,15.png,habituer-chaton-transport-2.png,habituer-chaton-transport,SAT06,secondaire,"Caisse de transport calée sur la banquette arrière d'une voiture, un chaton visible à l'intérieur."
16,16.png,hero-habituer-chaton-visiteurs.png,habituer-chaton-visiteurs,SAT07,hero,"Dans un salon, une invitée assise reste calme et laisse un chaton curieux s'approcher pour la renifler."
17,17.png,habituer-chaton-visiteurs-2.png,habituer-chaton-visiteurs,SAT07,secondaire,"Chaton observant des invités depuis un perchoir en hauteur, à distance de sécurité."
18,18.png,hero-chaton-caresses-contact-positif.png,chaton-caresses-contact-positif,SAT08,hero,Une main caressant doucement le dessus de la tête et la joue d'un chaton aux yeux mi-clos.
19,19.png,chaton-caresses-contact-positif-2.png,chaton-caresses-contact-positif,SAT08,secondaire,Un chaton assis sur un canapé qui tend le museau vers une main tendue et immobile.
20,20.png,hero-chaton-timide-gagner-confiance.png,chaton-timide-gagner-confiance,SAT09,hero,"Chaton discret posé au bord d'un canapé, observant la pièce à distance, oreilles dressées vers l'avant."
21,21.png,chaton-timide-gagner-confiance-2.png,chaton-timide-gagner-confiance,SAT09,secondaire,"Personne assise au sol de profil, tendant calmement la main vers un chaton qui s'approche pour renifler."
22,22.png,hero-adopter-un-ou-deux-chatons.png,adopter-un-ou-deux-chatons,SAT10,hero,Deux chatons de la même portée en plein jeu sur un tapis clair.
23,23.png,adopter-un-ou-deux-chatons-2.png,adopter-un-ou-deux-chatons,SAT10,secondaire,Un seul chaton attentif assis sur les genoux d'une personne dans un fauteuil.
24,24.png,hero-socialisation-chaton-refuge-eleveur.png,socialisation-chaton-refuge-eleveur,SAT11,hero,Chaton curieux explorant un salon familial animé avec plusieurs personnes autour.
25,25.png,socialisation-chaton-refuge-eleveur-2.png,socialisation-chaton-refuge-eleveur,SAT11,secondaire,Jeune chaton réservé avançant prudemment vers une main posée au sol dans une pièce calme.
26,26.png,hero-erreurs-socialisation-chaton.png,erreurs-socialisation-chaton,SAT12,hero,Jeune chaton observant une pièce animée depuis un rebord de fenêtre.
27,27.png,erreurs-socialisation-chaton-2.png,erreurs-socialisation-chaton,SAT12,secondaire,"Petit chaton réfugié sous un meuble en bois, observant prudemment la pièce."
