num,fichier_origine,nouveau_fichier,article_slug,type,role,alt
1,1.png,hero-chien-ressent-emotions-maitre.png,chien-ressent-emotions-maitre,PILIER,hero,"Une personne assise sur les marches d'un perron, regard dans le vide, épaules basses ; son chien."
2,2.png,chien-ressent-emotions-maitre-2.png,chien-ressent-emotions-maitre,PILIER,secondaire,"Une personne debout, immobile, mains dans les poches au bord d'un chemin ; son chien explore un buisson."
3,3.png,chien-ressent-emotions-maitre-3.png,chien-ressent-emotions-maitre,PILIER,secondaire,"Une main d'adulte posée à plat sur le sol, paume ouverte."
4,4.png,hero-stress-maitre-se-transmet-chien.png,stress-maitre-se-transmet-chien,SAT01,hero,"Une personne debout de dos dans une rue passante, laisse tendue."
5,5.png,stress-maitre-se-transmet-chien-2.png,stress-maitre-se-transmet-chien,SAT01,secondaire,"Une main adulte tenant une laisse, poing serré, tendons apparents, veine saillante, sur fond de trottoir flou."
6,6.png,hero-maitre-anxieux-chien-anxieux.png,maitre-anxieux-chien-anxieux,SAT02,hero,"Une personne assise par terre dos au mur d'un couloir, genoux repliés."
7,7.png,maitre-anxieux-chien-anxieux-2.png,maitre-anxieux-chien-anxieux,SAT02,secondaire,"Deux tasses froides sur une table basse, un plaid froissé."
8,8.png,hero-rester-calme-face-chien-peur.png,rester-calme-face-chien-peur,SAT03,hero,"Dans l'entrée d'une pièce, une personne assise à même le sol, dos au mur."
9,9.png,rester-calme-face-chien-peur-2.png,rester-calme-face-chien-peur,SAT03,secondaire,"Un visage adulte au repos, mâchoire détendue, regard dirigé vers le côté et non vers l'objectif."
10,10.png,hero-voix-ton-parler-a-son-chien.png,voix-ton-parler-a-son-chien,SAT04,hero,"Une personne accroupie dans une cuisine parle à son chien assis face à elle, bouche ouverte."
11,11.png,voix-ton-parler-a-son-chien-2.png,voix-ton-parler-a-son-chien,SAT04,secondaire,"La tête d'un chien de trois quarts, oreilles orientées vers l'arrière comme s'il écoutait derrière lui."
12,12.png,hero-langage-corporel-humain-chien.png,langage-corporel-humain-chien,SAT05,hero,"Une personne accroupie de biais sur un sentier, corps tourné à quarante-cinq degrés, regard vers l'horizon."
13,13.png,langage-corporel-humain-chien-2.png,langage-corporel-humain-chien,SAT05,secondaire,"Une main d'adulte posée à plat au sol, paume vers le ciel, immobile."
14,14.png,hero-respiration-ancrage-calme-chien.png,respiration-ancrage-calme-chien,SAT06,hero,"Une personne debout dans un jardin au petit matin, pieds ancrés, épaules basses."
15,15.png,respiration-ancrage-calme-chien-2.png,respiration-ancrage-calme-chien,SAT06,secondaire,"Une main qui relâche volontairement sa prise sur une laisse en corde, doigts qui s'ouvrent."
16,16.png,hero-etre-base-de-securite-chien.png,etre-base-de-securite-chien,SAT07,hero,"Dans une pièce, une personne assise dans un fauteuil, absorbée par un livre."
17,17.png,etre-base-de-securite-chien-2.png,etre-base-de-securite-chien,SAT07,secondaire,Une personne debout immobile près d'une porte d'entrée ouverte.
18,18.png,hero-tension-laisse-chien.png,tension-laisse-chien,SAT08,hero,"Un poing fermé autour d'une laisse, phalanges blanchies, bras raide."
19,19.png,tension-laisse-chien-2.png,tension-laisse-chien,SAT08,secondaire,"Une personne et son chien marchent sur un chemin de campagne, laisse formant une courbe détendue."
20,20.png,hero-coherence-famille-chien-anxieux.png,coherence-famille-chien-anxieux,SAT09,hero,"Dans un salon en fin de journée, trois personnes occupées à des choses différentes ; le chien."
21,21.png,coherence-famille-chien-anxieux-2.png,coherence-famille-chien-anxieux,SAT09,secondaire,"Une feuille de papier aimantée à un frigo, écrite à la main."
22,22.png,hero-projeter-emotions-sur-chien.png,projeter-emotions-sur-chien,SAT10,hero,Un chien tête basse et oreilles plaquées devant une personne debout dont on ne voit.
23,23.png,projeter-emotions-sur-chien-2.png,projeter-emotions-sur-chien,SAT10,secondaire,"Le visage d'un chien de trois quarts, museau détourné, un œil visible."
24,24.png,hero-fatigue-emotionnelle-maitre-chien-anxieux.png,fatigue-emotionnelle-maitre-chien-anxieux,SAT11,hero,"Une personne assise seule au bord d'un lit dans la pénombre, dos voûté."
25,25.png,fatigue-emotionnelle-maitre-chien-anxieux-2.png,fatigue-emotionnelle-maitre-chien-anxieux,SAT11,secondaire,"Deux mains posées à plat sur une table de cuisine, immobiles."
26,26.png,hero-renforcer-lien-confiance-chien.png,renforcer-lien-confiance-chien,SAT12,hero,"Dans une cuisine, une personne accroupie de dos qui prépare quelque chose au sol ; le chien attend."
27,27.png,renforcer-lien-confiance-chien-2.png,renforcer-lien-confiance-chien,SAT12,secondaire,"Un chien couché, yeux mi-clos, une main humaine posée à plat sur son flanc, immobile."
